hit_id,adv_form_lower,adj_form_lower,bigram_lower,neg_form_lower,all_forms_lower,text_window,token_str
pcc_eng_15_034.8414_x0547217_25:39-40-41,that,serious,that_serious,ain't,ain't_that_serious,"think , you know , he ain't that serious after all , "" sen.",""" He 's always got a wonderful way when there 's a serious thing you 're doing , he 's got some different little plan or view on it that makes you think , you know , he ain't that serious after all , "" Sen."
pcc_eng_val_2.02208_x19776_175:4-5-6,that,serious,that_serious,ain't,ain't_that_serious,of course it ain't that serious but it tells you where they,Of course it ain't that serious but it tells you where they mind was at .
pcc_eng_23_089.8215_x1435611_30:09-10-11,that,serious,that_serious,n't,n't_that_serious,"'s be honest : that was n't that serious , at least not at that","But let 's be honest : that was n't that serious , at least not at that point in her 20 - year plus career ."
pcc_eng_19_041.5681_x0654860_12:11-12-13,that,serious,that_serious,n't,n't_that_serious,the topic even if it is n't that serious .,Ask serious questions about the topic even if it is n't that serious .
pcc_eng_03_008.4210_x0120004_082:3-4-5,that,serious,that_serious,n't,n't_that_serious,it is n't that serious and i do n't think it,"It is n't that serious and I do n't think it was the reason for why he ran the way he did , but it was just indicative of what kind of race it was ."
nyt_eng_19990222_0094_50:11-12-13,that,serious,that_serious,n't,n't_that_serious,"the people out there listening are n't that serious about it , '' jackson continues","`` You forget that the people out there listening are n't that serious about it , '' Jackson continues ."
pcc_eng_07_028.6466_x0447163_1278:3-4-5,that,serious,that_serious,n't,n't_that_serious,It was n't that serious .,It was n't that serious .
pcc_eng_12_033.1464_x0520293_09:3-4-5,that,serious,that_serious,n't,n't_that_serious,It was n't that serious of a conversation .,It was n't that serious of a conversation .
pcc_eng_24_023.7165_x0367244_23:11-13-14,that,serious,that_serious,n't,n't_that_serious,"standing , so it could n't be that serious .","There were still nine apps standing , so it could n't be that serious ."
pcc_eng_26_093.4326_x1494829_07:3-4-5,that,serious,that_serious,n't,n't_that_serious,It was n't that serious,It was n't that serious
nyt_eng_20070226_0079_18:10-12-13,that,serious,that_serious,n't,n't_that_serious,"stranger than fiction '' is n't all that serious anyway , just quirky fun .","but then , `` Stranger Than Fiction '' is n't all that serious anyway , just quirky fun ."
pcc_eng_01_040.5561_x0639222_04:7-8-9,that,serious,that_serious,n't,n't_that_serious,staff - means you probably were n't that serious about the job in the first,staff - means you probably were n't that serious about the job in the first place .
pcc_eng_10_054.9898_x0873182_39:5-6-7,that,serious,that_serious,n't,n't_that_serious,I knew it was n't that serious .,I knew it was n't that serious .
pcc_eng_24_101.7350_x1629728_12:21-22-23,that,serious,that_serious,n't,n't_that_serious,the victim that what happened was n't that serious .,"In the second stage , the perpetrator minimizes the abuse and tries to convince the victim that what happened was n't that serious ."
pcc_eng_17_002.7867_x0028722_027:7-8-9,that,serious,that_serious,n't,n't_that_serious,latrice was right -- it is n't that serious .,Latrice was right -- it is n't that serious .
pcc_eng_00_009.5108_x0137432_1:20-21-22,that,serious,that_serious,n't,n't_that_serious,"reham khan , as she was n't that serious about her work and also hinted","Days back a report floating all around claimed that Neo TV has terminated Reham Khan , as she was n't that serious about her work and also hinted that she could n't get the desired TRP 's for Neo TV in exchange of hefty salary ."
pcc_eng_00_073.9437_x1179239_076:6-7-8,that,serious,that_serious,n't,n't_that_serious,"however , the decision is n't that serious for everyone .","However , the decision is n't that serious for everyone ."
pcc_eng_26_090.6511_x1449913_053:08-09-10,that,serious,that_serious,n't,n't_that_serious,the ankle injury he suffered is n't that serious .,Hopefully the ankle injury he suffered is n't that serious .
pcc_eng_21_024.8042_x0384632_23:14-15-16,that,serious,that_serious,n't,n't_that_serious,if parker 's current injury is n't that serious .,"The point guard question remains , even if Parker 's current injury is n't that serious ."
pcc_eng_23_086.9806_x1389699_07:22-23-24,that,serious,that_serious,n't,n't_that_serious,", suggests the problem really is n't that serious and is easily solved with a","A different font then sets out a few-page section that , in a sardonic tone , suggests the problem really is n't that serious and is easily solved with a handful of simple tips ."
nyt_eng_20000811_0228_91:28-30-31,that,serious,that_serious,n't,n't_that_serious,they might think i was n't all that serious . '',"`` But in my world , '' he adds , `` if I invested just $ 250,000 in a new company , they might think I was n't all that serious . ''"
pcc_eng_11_069.3426_x1106303_5:13-14-15,that,serious,that_serious,n't,n't_that_serious,"having fun and "" it is n't that serious "" .","She explained that she was just having fun and "" it is n't that serious "" ."
pcc_eng_27_005.4487_x0071396_43:40-41-42,that,serious,that_serious,n't,n't_that_serious,fact that the czech government is n't that serious about cracking down on people smoking,""" The fact that the health minister who does generally try and change things and introduce new legislation ca n't affect changes on how tobacco is controlled , that speaks volumes to the fact that the Czech government is n't that serious about cracking down on people smoking . """
