hit_id,adv_form_lower,adj_form_lower,bigram_lower,neg_form_lower,all_forms_lower,text_window,token_str
pcc_eng_05_007.7389_x0109416_20:24-26-27,that,uncommon,that_uncommon,n't,n't_that_uncommon,"espionage , such scenarios are n't all that uncommon .","Obviously , the tool requires physical access to the network being targeted , but in cases of corporate espionage , such scenarios are n't all that uncommon ."
pcc_eng_25_005.4805_x0072964_39:3-4-5,that,uncommon,that_uncommon,n't,n't_that_uncommon,this is n't that uncommon but the thing that makes this,This is n't that uncommon but the thing that makes this a little inconvenient with this vape is that you have to turn it upside down and take out the wand to do this .
pcc_eng_18_088.7808_x1421549_04:31-33-34,that,uncommon,that_uncommon,n't,n't_that_uncommon,that cheney visits actually were n't all that uncommon .,"I was a relatively new employee at the store , so this was hot shit for me , but a more experienced co-worker told me that Cheney visits actually were n't all that uncommon ."
nyt_eng_20050630_0285_9:5-6-7,that,uncommon,that_uncommon,n't,n't_that_uncommon,`` our situation is n't that uncommon in the western part of the,"`` Our situation is n't that uncommon in the western part of the state , where we were seeing rainfall every three or four days , '' Peterson said ."
pcc_eng_23_039.0433_x0614585_040:16-17-18,that,uncommon,that_uncommon,n't,n't_that_uncommon,and the type of schizophrenia is n't that uncommon .,""" The man is obviously suffering from schizophrenia , and the type of schizophrenia is n't that uncommon ."
pcc_eng_16_088.6139_x1418264_23:6-7-8,that,uncommon,that_uncommon,n't,n't_that_uncommon,these sorts of spin-outs are n't that uncommon .,These sorts of spin-outs are n't that uncommon .
pcc_eng_17_079.7416_x1272578_13:16-17-18,that,uncommon,that_uncommon,n't,n't_that_uncommon,beneath the port of entry are n't that uncommon .,"As bold as it may seem , drug tunnels beneath the port of entry are n't that uncommon ."
pcc_eng_17_076.7356_x1223965_019:17-18-19,that,uncommon,that_uncommon,n't,n't_that_uncommon,", which lets face it is n't that uncommon of a thing to happen in","The story has Barry Allen seemingly returning from the grave , which lets face it is n't that uncommon of a thing to happen in comics ."
pcc_eng_16_055.3789_x0880107_414:6-7-8,that,uncommon,that_uncommon,n't,n't_that_uncommon,but then the story was n't that uncommon .,But then the story was n't that uncommon .
pcc_eng_01_108.01004_x1731797_0332:3-4-5,that,uncommon,that_uncommon,n't,n't_that_uncommon,"harris is n't that uncommon of a last name . ""","Harris is n't that uncommon of a last name . """
