hit_id,adv_form_lower,adj_form_lower,bigram_lower,neg_form_lower,all_forms_lower,text_window,token_str
pcc_eng_10_019.0776_x0292137_23:16-17-18,yet,ready,yet_ready,n't,n't_yet_ready,"with primaries , so it is n't yet ready to discuss any such venture .","Moreover , he said , Meretz is currently busy with primaries , so it is n't yet ready to discuss any such venture ."
pcc_eng_09_088.3433_x1413317_08:5-6-7,yet,ready,yet_ready,n't,n't_yet_ready,the experimental rom is n't yet ready for release but adventurous users can,The experimental ROM is n't yet ready for release but adventurous users can give it a whirl if they wish .
pcc_eng_20_001.8102_x0012907_17:08-09-10,yet,ready,yet_ready,n't,n't_yet_ready,'d outgrown judy blume but was n't yet ready for j.d. salinger .,I 'd outgrown Judy Blume but was n't yet ready for J.D. Salinger .
pcc_eng_21_020.5526_x0315846_089:11-12-13,yet,ready,yet_ready,n't,n't_yet_ready,is only essential if you are n't yet ready to get in the formation process,"In general , this is only essential if you are n't yet ready to get in the formation process ."
pcc_eng_15_100.5907_x1609509_11:4-5-6,yet,ready,yet_ready,n't,n't_yet_ready,but experts are n't yet ready to recommend that older people load,But experts are n't yet ready to recommend that older people load up on the sunshine vitamin :
nyt_eng_20001010_0018_53:11-12-13,yet,ready,yet_ready,n't,n't_yet_ready,the credit-card companies say they are n't yet ready to discuss any big retailers who,"for one thing , the credit-card companies say they are n't yet ready to discuss any big retailers who have agreed to install equipment to read the smart cards , and some merchants seem cool to the new technology ."
nyt_eng_20051007_0157_59:16-17-18,yet,ready,yet_ready,n't,n't_yet_ready,"the family pet , hatrampf is n't yet ready to say goodbye to his loyal","while his kids have adopted a miniature schnauzer as the family pet , Hatrampf is n't yet ready to say goodbye to his loyal pal ."
nyt_eng_20000309_0300_10:23-24-25,yet,ready,yet_ready,n't,n't_yet_ready,musicality that shows this crew is n't yet ready to sleep .,but their disjointedness is healed by the balm of Suzy Honeyman 's violin and a mature musicality that shows this crew is n't yet ready to sleep .
pcc_eng_02_030.0924_x0471042_109:15-16-17,yet,ready,yet_ready,n't,n't_yet_ready,young canadian mls academies probably are n't yet ready to produce the players it needs,"Unfortunately for the Canadian national team , the young Canadian MLS academies probably are n't yet ready to produce the players it needs the most ."
apw_eng_20021106_0006_11:33-34-35,yet,ready,yet_ready,n't,n't_yet_ready,_ but said his network was n't yet ready to call that contest .,"at 0225GMT , Fox News Channel 's Brit Hume reported that The Associated Press declared Republican Elizabeth Dole the winner in the North Carolina Senate race _ but said his network was n't yet ready to call that contest ."
