key,f,dP1,LRC,P1,G2,l1,l2,f1,f2,N,exp_f,unexp_f,unexp_r,dP2,P2,adv,adv_total,adj,adj_total,odds_r_disc,t,MI
NEGany~yet_clear,10406,0.5003404,8.431216,0.99951977,14363.3726276,NEGATED,yet_clear,3173681,10411,6347362,5205.5,5200.5,0.49975976,0.003277267,0.0032788424,yet,53779,clear,83958,3.2783675,50.980392,0.30082136
NEGany~exactly_sure,8794,0.50035244,8.412611,0.999659,12153.5234986,NEGATED,exactly_sure,3173681,8797,6347362,4398.5,4395.5,0.49982944,0.0027699696,0.002770915,exactly,44378,sure,134058,3.4013479,46.87217,0.30088186
NEGany~yet_ready,7501,0.5000583,8.063356,0.999467,10344.7104148,NEGATED,yet_ready,3173681,7505,6347362,3752.5,3748.5,0.49973336,0.0023622413,0.0023635016,yet,53779,ready,29641,3.2229626,43.281063,0.30079848
NEGany~yet_available,7430,0.50004756,8.049614,0.99946195,10246.1923587,NEGATED,yet_available,3173681,7434,6347362,3717.0,3713.0,0.49973083,0.0023398697,0.00234113,yet,53779,available,81972,3.218823,43.07552,0.30079624
NEGany~immediately_clear,24416,0.49947464,7.741822,0.99754864,33183.576015,NEGATED,immediately_clear,3173681,24476,6347362,12238.0,12178.0,0.4987713,0.0076743695,0.007693275,immediately,57730,clear,83958,2.609274,77.936104,0.29996407
NEGany~that_hard,9948,0.4991778,7.634192,0.9983942,13590.7355591,NEGATED,that_hard,3173681,9964,6347362,4982.0,4966.0,0.4991958,0.003129489,0.0031345305,that,166680,hard,45416,2.7816348,49.789623,0.30033204
NEGany~that_great,11032,0.4987882,7.4924064,0.9979195,15014.6029965,NEGATED,that_great,3173681,11055,6347362,5527.5,5504.5,0.49895757,0.0034688427,0.0034760898,that,166680,great,45537,2.6731153,52.407173,0.3001255
NEGany~that_different,6534,0.49715778,6.772268,0.9966443,8800.6354435,NEGATED,that_different,3173681,6556,6347362,3278.0,3256.0,0.4983165,0.002051876,0.002058808,that,166680,different,80019,2.4639218,40.2805,0.29957017
NEGany~yet_complete,2174,0.49971145,6.702455,0.9995402,2998.5653023,NEGATED,yet_complete,3173681,2175,6347362,1087.5,1086.5,0.49977002,0.00068469386,0.000685009,yet,53779,complete,8263,3.1615655,23.302362,0.30083027
NEGany~yet_sure,1977,0.49965015,6.564761,0.99949443,2725.5264101,NEGATED,yet_sure,3173681,1978,6347362,989.0,988.0,0.4997471,0.00062262086,0.00062293594,yet,53779,sure,134058,3.1202958,22.22049,0.30081037
NEGany~that_difficult,5560,0.4964954,6.5386596,0.99605876,7455.6226015,NEGATED,that_difficult,3173681,5582,6347362,2791.0,2769.0,0.49802157,0.0017449768,0.0017519089,that,166680,difficult,61518,2.3936899,37.13518,0.29931495
NEGany~exactly_clear,1746,0.4995651,6.384546,0.9994276,2405.4053736,NEGATED,exactly_clear,3173681,1747,6347362,873.5,872.5,0.49971363,0.00054983475,0.0005501498,exactly,44378,clear,83958,3.0663161,20.880617,0.30078134
NEGany~necessarily_true,3232,0.49716944,6.341107,0.99691546,4360.4063467,NEGATED,necessarily_true,3173681,3242,6347362,1621.0,1611.0,0.49845296,0.0010152248,0.0010183759,necessarily,42916,true,35146,2.4887903,28.33739,0.29968834
NEGany~necessarily_better,1887,0.49908978,6.3254876,0.99894124,2587.8695059,NEGATED,necessarily_better,3173681,1889,6347362,944.5,942.5,0.49947006,0.00059394754,0.0005945777,necessarily,42916,better,49936,2.878205,21.696787,0.30056995
NEGany~that_bad,16474,0.49316233,6.290729,0.9918719,21498.8777844,NEGATED,that_bad,3173681,16609,6347362,8304.5,8169.5,0.49590263,0.0051482804,0.005190818,that,166680,bad,119777,2.0871146,63.64964,0.29748556
NEGany~necessarily_indicative,1389,0.50010943,6.285044,1.0,1925.8668905,NEGATED,necessarily_indicative,3173681,1389,6347362,694.5,694.5,0.5,0.00043766212,0.00043766212,necessarily,42916,indicative,2319,3.4440787,18.634645,0.30103
NEGany~immediately_available,21078,0.49211088,6.169193,0.990461,27277.6972449,NEGATED,immediately_available,3173681,21281,6347362,10640.5,10437.5,0.49518454,0.0065775355,0.006641499,immediately,57730,available,81972,2.0181415,71.892204,0.29686737
NEGany~that_common,1207,0.50009507,6.081034,1.0,1673.4868579,NEGATED,that_common,3173681,1207,6347362,603.5,603.5,0.5,0.00038031547,0.00038031547,that,166680,common,34621,3.3830824,17.370953,0.30103
NEGany~exactly_new,1371,0.49937907,6.033481,0.99927115,1885.8443045,NEGATED,exactly_new,3173681,1372,6347362,686.0,685.0,0.4996353,0.0004316754,0.00043199048,exactly,44378,new,21548,2.961292,18.500006,0.30071333
NEGany~that_familiar,1126,0.5000887,5.9800525,1.0,1561.1672346,NEGATED,that_familiar,3173681,1126,6347362,563.0,563.0,0.5,0.00035479307,0.00035479307,that,166680,familiar,19650,3.3529153,16.777962,0.30103
NEGany~exactly_easy,1066,0.500084,5.900413,1.0,1477.9688471,NEGATED,exactly_easy,3173681,1066,6347362,533.0,533.0,0.5,0.00033588757,0.00033588757,exactly,44378,easy,109374,3.3291368,16.324827,0.30103
NEGany~necessarily_bad,2059,0.4958095,5.7548323,0.99564797,2751.690238,NEGATED,necessarily_bad,3173681,2068,6347362,1034.0,1025.0,0.49781448,0.00064593763,0.00064877345,necessarily,42916,bad,119777,2.3363187,22.588932,0.2991358
NEGany~terribly_surprising,949,0.50007474,5.731205,1.0,1315.7352558,NEGATED,terribly_surprising,3173681,949,6347362,474.5,474.5,0.5,0.00029902186,0.00029902186,terribly,19801,surprising,18886,3.2786548,15.402922,0.30103
NEGany~necessarily_easy,909,0.5000716,5.6684833,1.0,1260.27177,NEGATED,necessarily_easy,3173681,909,6347362,454.5,454.5,0.5,0.0002864182,0.0002864182,necessarily,42916,easy,109374,3.259957,15.074814,0.30103
