adv,key_SET,f_SET,dP1_SET,LRC_SET,P1_SET,G2_SET,l1_SET,f1_SET,f2_SET,N_SET,exp_f_SET,unexp_f_SET,unexp_r_SET,dP2_SET,P2_SET,odds_r_disc_SET,t_SET,MI_SET,key_MIR,f_MIR,dP1_MIR,LRC_MIR,P1_MIR,G2_MIR,l1_MIR,f1_MIR,f2_MIR,N_MIR,exp_f_MIR,unexp_f_MIR,unexp_r_MIR,dP2_MIR,P2_MIR,odds_r_disc_MIR,t_MIR,MI_MIR,mean_f,mean_dP1,mean_LRC,mean_P1,mean_G2,mean_f1,mean_f2,mean_N,mean_expF,mean_unexpF,mean_unexpR,mean_dP2,mean_P2,mean_oddsRDisc,mean_t,mean_MI,ratio_f_MIR,ratio_f1_MIR,ratio_f2_MIR,ratio_N_MIR
necessarily,NEG~necessarily,42595,0.4959,6.6502,0.9925,55995.1343,NEGATED,3173681,42916,6347362,21458.0000,21137.0000,0.4962,0.0133,0.0134,2.1280,102.4151,0.2978,NEG~necessarily,963,0.4706,3.8239,0.9698,1109.0283,NEGMIR,291735,993,583470,496.5000,466.5000,0.4844,0.0032,0.0033,1.5009,15.0328,0.2877,592147.1667,0.4832,5.2371,0.9812,28552.08133015625,1732708.0000,21954.5000,3465416.0000,10977.2500,10801.7500,0.4903,0.0083,0.0084,1.8145,58.7239,0.2927,0.0226,0.0919,0.0231,0.0919
that,NEG~that,164768,0.5017,6.2603,0.9885,214471.8335,NEGATED,3173681,166680,6347362,83340.0000,81428.0000,0.4942,0.0513,0.0519,1.9582,200.6030,0.2960,NEG~that,4308,0.4528,3.7636,0.9493,4499.7939,NEGMIR,291735,4538,583470,2269.0000,2039.0000,0.4733,0.0140,0.0148,1.2778,31.0656,0.2784,634285.0000,0.4773,5.0120,0.9689,109485.81371265625,1732708.0000,85609.0000,3465416.0000,42804.5000,41733.5000,0.4838,0.0326,0.0333,1.6180,115.8343,0.2872,0.0261,0.0919,0.0272,0.0919
exactly,NEG~exactly,43813,0.4907,5.9703,0.9873,55763.9932,NEGATED,3173681,44378,6347362,22189.0000,21624.0000,0.4936,0.0136,0.0138,1.8951,103.3081,0.2955,NEG~exactly,813,0.4438,3.0878,0.9432,819.8187,NEGMIR,291735,862,583470,431.0000,382.0000,0.4699,0.0026,0.0028,1.2169,13.3973,0.2756,592547.0000,0.4673,4.5290,0.9652,28291.90595727539,1732708.0000,22620.0000,3465416.0000,11310.0000,11003.0000,0.4817,0.0081,0.0083,1.5560,58.3527,0.2855,0.0186,0.0919,0.0194,0.0919
any,NEG~any,15384,0.4522,4.0142,0.9510,16135.2668,NEGATED,3173681,16176,6347362,8088.0000,7296.0000,0.4743,0.0046,0.0048,1.2901,58.8234,0.2792,NEG~any,1066,0.4852,4.4751,0.9843,1328.2692,NEGMIR,291735,1083,583470,541.5000,524.5000,0.4920,0.0036,0.0037,1.7865,16.0645,0.2942,583187.5000,0.4687,4.2446,0.9677,8731.767957519533,1732708.0000,8629.5000,3465416.0000,4314.7500,3910.2500,0.4831,0.0041,0.0043,1.5383,37.4439,0.2867,0.0693,0.0919,0.0670,0.0919
remotely,NEG~remotely,5661,0.4271,3.3038,0.9267,5269.8438,NEGATED,3173681,6109,6347362,3054.5000,2606.5000,0.4604,0.0016,0.0018,1.1019,34.6427,0.2680,NEG~remotely,1840,0.4388,3.2731,0.9373,1806.8079,NEGMIR,291735,1963,583470,981.5000,858.5000,0.4666,0.0059,0.0063,1.1758,20.0139,0.2729,580164.8333,0.4329,3.2884,0.9320,3538.3258056640625,1732708.0000,4036.0000,3465416.0000,2018.0000,1732.5000,0.4635,0.0038,0.0040,1.1389,27.3283,0.2704,0.3250,0.0919,0.3213,0.0919
yet,NEG~yet,51867,0.4684,4.5905,0.9644,58435.1734,NEGATED,3173681,53779,6347362,26889.5000,24977.5000,0.4816,0.0157,0.0163,1.4402,109.6739,0.2853,NEG~yet,320,0.2788,0.9963,0.7786,135.2752,NEGMIR,291735,411,583470,205.5000,114.5000,0.3578,0.0008,0.0011,0.5447,6.4007,0.1923,595298.8333,0.3736,2.7934,0.8715,29285.224280871582,1732708.0000,27095.0000,3465416.0000,13547.5000,12546.0000,0.4197,0.0083,0.0087,0.9925,58.0373,0.2388,0.0062,0.0919,0.0076,0.0919
immediately,NEG~immediately,56099,0.4761,4.9199,0.9717,65652.7941,NEGATED,3173681,57730,6347362,28865.0000,27234.0000,0.4855,0.0172,0.0177,1.5439,114.9831,0.2886,NEG~immediately,403,0.1974,0.5678,0.6972,92.5179,NEGMIR,291735,578,583470,289.0000,114.0000,0.2829,0.0008,0.0014,0.3619,5.6787,0.1444,596704.3333,0.3368,2.7438,0.8345,32872.65598546509,1732708.0000,29154.0000,3465416.0000,14577.0000,13674.0000,0.3842,0.0090,0.0095,0.9529,60.3309,0.2165,0.0072,0.0919,0.0100,0.0919
ever,NEG~ever,5932,0.0469,0.1267,0.5468,95.2620,NEGATED,3173681,10849,6347362,5424.5000,507.5000,0.0856,0.0003,0.0019,0.0816,6.5892,0.0388,NEG~ever,4709,0.4900,5.3249,0.9860,5953.3892,NEGMIR,291735,4776,583470,2388.0000,2321.0000,0.4929,0.0159,0.0161,1.8506,33.8229,0.2949,581947.0000,0.2684,2.7258,0.7664,3024.325565078125,1732708.0000,7812.5000,3465416.0000,3906.2500,1414.2500,0.2892,0.0081,0.0090,0.9661,20.2061,0.1669,0.7938,0.0919,0.4402,0.0919
longer,NEG~longer,1366,0.2577,1.2410,0.7576,502.6192,NEGATED,3173681,1803,6347362,901.5000,464.5000,0.3400,0.0003,0.0004,0.4948,12.5678,0.1805,NEG~longer,821,0.4769,3.9553,0.9762,977.8998,NEGMIR,291735,841,583470,420.5000,400.5000,0.4878,0.0027,0.0028,1.6040,13.9775,0.2906,578374.5000,0.3673,2.5982,0.8669,740.2595006542969,1732708.0000,1322.0000,3465416.0000,661.0000,432.5000,0.4139,0.0015,0.0016,1.0494,13.2727,0.2355,0.6010,0.0919,0.4664,0.0919
particularly,NEG~particularly,55527,0.2265,1.3293,0.7237,16109.8863,NEGATED,3173681,76722,6347362,38361.0000,17166.0000,0.3091,0.0108,0.0175,0.4230,72.8479,0.1606,NEG~particularly,9243,0.4298,3.3114,0.9225,8550.1133,NEGMIR,291735,10020,583470,5010.0000,4233.0000,0.4580,0.0290,0.0317,1.0880,44.0293,0.2660,602821.3333,0.3282,2.3203,0.8231,12329.999790625,1732708.0000,43371.0000,3465416.0000,21685.5000,10699.5000,0.3836,0.0199,0.0246,0.7555,58.4386,0.2133,0.1665,0.0919,0.1306,0.0919
