key,f,dP1,P1,LRC,G2,MI,odds_r_disc,t,N,f1,f2,exp_f,unexp_f,l1,l2,adv,adv_total,adj,adj_total
NEGany~yet_clear,10406,0.5005361,0.9997118,8.655899,14392.2504423,0.30090782,3.4746685,50.99055,6347364,3173660,10409,5204.4639223,5201.5360777,NEGATED,yet_clear,yet,53881,clear,84227
NEGany~yet_ready,7501,0.50006175,0.999467,8.063524,10344.8144741,0.3008015,3.2229688,43.281364,6347364,3173660,7505,3752.4739876,3748.5260124,NEGATED,yet_ready,yet,53881,ready,29583
NEGany~that_hard,9948,0.4992816,0.99849445,7.6830707,13602.4223547,0.30037865,2.8087933,49.794983,6347364,3173660,9963,4981.4654682,4966.5345318,NEGATED,that_hard,that,166676,hard,45061
NEGany~immediately_clear,24416,0.49898833,0.99705976,7.552266,33058.4400163,0.2997542,2.5306957,77.898254,6347364,3173660,24488,12243.9151245,12172.0848755,NEGATED,immediately_clear,immediately,58040,clear,84227
NEGany~exactly_sure,8794,0.4988798,0.9981839,7.4561048,11991.6068284,0.30024356,2.727936,46.80318,6347364,3173660,8810,4404.9694645,4389.0305355,NEGATED,exactly_sure,exactly,44503,sure,134139
NEGany~that_different,6534,0.49853203,0.99801433,7.180169,8895.1246839,0.3001698,2.685778,40.33645,6347364,3173660,6547,3273.4773081,3260.5226919,NEGATED,that_different,that,166676,different,80643
NEGany~that_great,11032,0.49788904,0.9970176,7.1750784,14908.8989487,0.29973584,2.5191429,52.359936,6347364,3173660,11065,5532.4616486,5499.5383514,NEGATED,that_great,that,166676,great,45359
NEGany~that_difficult,5560,0.49846646,0.9980255,7.0631213,7568.9963737,0.30017465,2.685182,37.2092,6347364,3173660,5571,2785.4806909,2774.5193091,NEGATED,that_difficult,that,166676,difficult,61490
NEGany~yet_complete,2174,0.49971494,0.9995402,6.702655,2998.595439,0.30083328,3.1615717,23.302525,6347364,3173660,2175,1087.4924614,1086.5075386,NEGATED,yet_complete,yet,53881,complete,8415
NEGany~yet_available,7430,0.49643207,0.9958451,6.660354,9950.0345683,0.2992248,2.373727,42.919205,6347364,3173660,7461,3730.4741401,3699.5258599,NEGATED,yet_available,yet,53881,available,82956
NEGany~that_big,6244,0.49587053,0.995377,6.468538,8332.6870476,0.29902062,2.326533,39.326267,6347364,3173660,6273,3136.4782577,3107.5217423,NEGATED,that_big,that,166676,big,42912
NEGany~exactly_clear,1746,0.49956855,0.9994276,6.3847456,2405.429573,0.30078435,3.0663223,20.880762,6347364,3173660,1747,873.4939449,872.5060551,NEGATED,exactly_clear,exactly,44503,clear,84227
NEGany~necessarily_bad,2059,0.49871057,0.9985451,6.312096,2814.0411206,0.3004007,2.7699811,22.655203,6347364,3173660,2062,1030.9928531,1028.0071469,NEGATED,necessarily_bad,necessarily,42886,bad,119509
