hit_id,bigram_lower,adv_form_lower,adj_form_lower,all_forms_lower,text_window,token_str
pcc_eng_14_010.8799_x0159570_04:6-7,any_closer,any,closer,(+)_any_closer,"it 's impossible to get any closer to adele ! ""","It 's impossible to get any closer to Adele ! """
pcc_eng_22_100.8804_x1614075_215:14-15,any_closer,any,closer,(+)_any_closer,if investors feel rent control is creeping any closer .,Birkeland warns new construction will cease if investors feel rent control is creeping any closer .
pcc_eng_03_040.0233_x0632227_01:18-19,any_closer,any,closer,(+)_any_closer,nintendo to find out if unlimited was any closer to seeing the light of day,"Following the announcement of Unmasked , we reached out to Nintendo to find out if Unlimited was any closer to seeing the light of day in Europe ."
pcc_eng_16_026.2228_x0408290_43:19-20,any_closer,any,closer,(+)_any_closer,inspires precisely zero confidence that it is any closer than it has been over the,The joint opposition 's management of Ekmeleddin Ihsanoglu 's presidential campaign inspires precisely zero confidence that it is any closer than it has been over the last decade to offering a viable political alternative .
pcc_eng_12_095.5705_x1528536_108:1-2,any_closer,any,closer,(+)_any_closer,"any closer , and it would be too","Any closer , and it would be too hot ."
pcc_eng_06_004.7664_x0061015_08:20-21,any_closer,any,closer,(+)_any_closer,vaginal opening so the penis cannot come any closer than this distance to touching it,Remember the clitoris is typically 1 to 3 inches away from the vaginal opening so the penis cannot come any closer than this distance to touching it .
pcc_eng_18_102.1186_x1638104_03:09-10,any_closer,any,closer,(+)_any_closer,was little sense that the country was any closer to reforming wall street .,There was little sense that the country was any closer to reforming Wall Street .
nyt_eng_20041212_0133_13:8-9,any_closer,any,closer,(+)_any_closer,asked whether afghanistan or its allies were any closer to capturing bin laden than they,"asked whether Afghanistan or its allies were any closer to capturing bin Laden than they were six months ago , Karzai said , `` In terms of getting him physically , let 's count on our luck and good pursuit . ''"
pcc_eng_04_090.9923_x1453690_105:12-13,any_closer,any,closer,(+)_any_closer,the shoulders to keep him from getting any closer .,She grabbed Xaq by the shoulders to keep him from getting any closer .
pcc_eng_20_099.5486_x1592393_24:7-8,any_closer,any,closer,(+)_any_closer,i asked him whether kurds were any closer to their historical dream of independence,I asked him whether Kurds were any closer to their historical dream of independence .
