hit_id,bigram_lower,adv_form_lower,adj_form_lower,all_forms_lower,text_window,token_str
pcc_eng_20_066.3126_x1055327_26:63-64,ever_present,ever,present,(+)_ever_present,economic ties with the us and the ever present entertaining media already charged with us,"One of the factors that contributed to foster a more open stance toward the role of women in Cuban society , absolutely necessary for their success in their new life on American soil , was the influence that American culture and the "" American way of life "" had on Cuban culture through the existing economic ties with the US and the ever present entertaining media already charged with US products ."
pcc_eng_00_084.3581_x1347769_11:14-15,ever_present,ever,present,(+)_ever_present,day to day and there was the ever present risk of thunder storms and the,Cut off times varied substantially from day to day and there was the ever present risk of thunder storms and the strength and location of the Sea Breeze Front to contend with .
pcc_eng_12_071.7430_x1142881_092:19-20,ever_present,ever,present,(+)_ever_present,it is possible that the ultimate remains ever present .,"But when one must hold back , for whatever reason , it is possible that the ultimate remains ever present ."
pcc_eng_10_042.0525_x0664208_20:10-11,ever_present,ever,present,(+)_ever_present,house views and daylighting solutions are an ever present feature .,Throughout the house views and daylighting solutions are an ever present feature .
pcc_eng_18_011.3529_x0167595_36:12-13,ever_present,ever,present,(+)_ever_present,"of the story itself , and the ever present doubt over whether it was possible","I enjoyed the mystery of the story itself , and the ever present doubt over whether it was possible for Nix to change the past or not ."
pcc_eng_08_066.3457_x1058482_08:13-14,ever_present,ever,present,(+)_ever_present,"untrained naked eye , its force is ever present and powerful .","Although usually invisible to the untrained naked eye , its force is ever present and powerful ."
pcc_eng_16_035.9872_x0566263_10:20-21,ever_present,ever,present,(+)_ever_present,other and for god was obvious and ever present throughout the entire wedding celebration .,The deep and growing love these two young people share for each other and for God was obvious and ever present throughout the entire wedding celebration .
pcc_eng_17_044.7879_x0707312_19:6-7,ever_present,ever,present,(+)_ever_present,""" on top of this ever present threat it is your assets could",""" On top of this ever present threat it is your assets could be eating out "" budget will allow ."
nyt_eng_19970616_0051_25:20-21,ever_present,ever,present,(+)_ever_present,"'s oil-rich sector , eager outsiders are ever present .","where large outside capital is needed , as in the Congo Republic 's oil-rich sector , eager outsiders are ever present ."
pcc_eng_19_021.2179_x0326403_078:42-43,ever_present,ever,present,(+)_ever_present,"of course , one of langdon 's ever present and enigmatic female companions .","Like Brown 's iconic sleuth , Robert Langdon , who exposes evil while in disguise as a Harvard professor of symbolism , I raced from clue to clue using my Safari browser sans , of course , one of Langdon 's ever present and enigmatic female companions ."
pcc_eng_13_047.7323_x0755645_065:29-30,ever_present,ever,present,(+)_ever_present,"traveling around a radius , and the ever present force of gravity .","The two forces that are applied to the CG are the centrifugal force , caused by the change in direction when traveling around a radius , and the ever present force of gravity ."
pcc_eng_03_018.0971_x0276462_031:13-14,ever_present,ever,present,(+)_ever_present,that he is calling carbon is actually ever present in the french .,John Yolton has persuasively argued that he is calling carbon is actually ever present in the French .
pcc_eng_17_013.1800_x0196801_04:49-50,ever_present,ever,present,(+)_ever_present,present in our name : as an ever present reminder that our call is that,"In the speech of Com. Lal Singh delivered on the occasion of the marking of the 37th anniversary of the founding of our beloved party the CGPI , our General Secretary has taken pains to explain why "" Ghadar "" is present in our name : as an ever present reminder that our call is that of revolution and no effort should be spared until this goal has been reached ."
pcc_eng_24_099.1450_x1587691_15:30-31,ever_present,ever,present,(+)_ever_present,"and fallibilities of holy texts with the ever present "" but "" ?","What is it about criticism of religion that garners complete shutdown of civil discourse , or a grudging admission of the flaws and fallibilities of holy texts with the ever present "" But "" ?"
pcc_eng_20_094.4690_x1509966_19:25-26,ever_present,ever,present,(+)_ever_present,and the looming threat of infection is ever present in a field environment .,"Small cuts and abrasions can compromise your ability to do the things you need to do , and the looming threat of infection is ever present in a field environment ."
pcc_eng_21_030.3629_x0474733_81:13-14,ever_present,ever,present,(+)_ever_present,"discomfort of cognitive dissonance , which seems ever present in the harsh light of honesty","We have to risk the discomfort of cognitive dissonance , which seems ever present in the harsh light of honesty ."
