hit_id,bigram_lower,adj_form_lower,all_forms_lower,adv_form_lower,text_window,token_str
pcc_eng_01_069.2997_x1104848_508:26-27-28,exactly_conducive,conducive,n't_exactly_conducive,exactly,certain behaviors in me that were n't exactly conducive to losing weight or getting into,"Not only did I feel like I had more energy , I also realized how watching Netflix had ingrained certain behaviors in me that were n't exactly conducive to losing weight or getting into better shape ."
pcc_eng_07_024.8862_x0386333_03:7-8-9,exactly_conducive,conducive,n't_exactly_conducive,exactly,"however , garcia 's style is n't exactly conducive to having his hand raised either","However , Garcia 's style is n't exactly conducive to having his hand raised either and has resulted in 3 - 6 - 1 record in his last ten tilts including losses in a quartet of consecutive clashes ."
pcc_eng_13_035.8124_x0562764_378:5-6-7,exactly_conducive,conducive,n't_exactly_conducive,exactly,"the lourdes environment is n't exactly conducive to spirituality , except perhaps for","The Lourdes environment is n't exactly conducive to spirituality , except perhaps for the most simplistically devout ."
pcc_eng_21_074.5469_x1188529_13:21-22-23,exactly_conducive,conducive,n't_exactly_conducive,exactly,"center , and business trips are n't exactly conducive to watching your calorie intake .","Monday through Wednesday I 'm flying out to South Dakota to visit an operations center , and business trips are n't exactly conducive to watching your calorie intake ."
pcc_eng_29_035.8399_x0562315_34:12-13-14,exactly_conducive,conducive,n't_exactly_conducive,exactly,in a tenuous job market is n't exactly conducive to cutting class in order to,The anticipatory anxiety of competing in a tenuous job market is n't exactly conducive to cutting class in order to shout into a megaphone and possibly get arrested .
pcc_eng_04_102.6625_x1642351_09:19-20-21,exactly_conducive,conducive,n't_exactly_conducive,exactly,"warm , a hot day is n't exactly conducive for partaking in lots of cider","Another plus is its indoors ( although our summers are n't overly warm , a hot day is n't exactly conducive for partaking in lots of cider ! ) ."
pcc_eng_00_064.1604_x1021148_05:16-17-18,exactly_conducive,conducive,n't_exactly_conducive,exactly,artichokes since pennsylvania 's climate is n't exactly conducive to growing them .,"( Okay , maybe just the grocers have the artichokes since Pennsylvania 's climate is n't exactly conducive to growing them ."
apw_eng_19970814_1256_11:16-17-18,exactly_conducive,conducive,n't_exactly_conducive,exactly,"there , and warsaw winters are n't exactly conducive to riding a ferris wheel .","there are some drawbacks : No main roads go there , and Warsaw winters are n't exactly conducive to riding a Ferris wheel ."
pcc_eng_07_056.4749_x0896609_054:13-14-15,exactly_conducive,conducive,n't_exactly_conducive,exactly,"foods may be , they are n't exactly conducive to eating light .","But as delicious as such comfort foods may be , they are n't exactly conducive to eating light ."
pcc_eng_25_005.0585_x0066209_38:18-19-20,exactly_conducive,conducive,n't_exactly_conducive,exactly,"that followed -- but it was n't exactly conducive to staying calm , either .","The brutal weather certainly did n't cause the looting and chaos that followed -- but it was n't exactly conducive to staying calm , either ."
pcc_eng_06_020.2735_x0311831_18:27-28-29,exactly_conducive,conducive,n't_exactly_conducive,exactly,"in the morning , which is n't exactly conducive to writing fast , crazy metal",""" Also , Brent would first work on the songs acoustically , sitting around in his underwear at his house in the morning , which is n't exactly conducive to writing fast , crazy metal songs . """
pcc_eng_29_008.3449_x0118691_04:20-21-22,exactly_conducive,conducive,n't_exactly_conducive,exactly,", and his brawling style is n't exactly conducive to career longevity .","Leben ( 20 - 6 ) is closing in on his 30th birthday , and his brawling style is n't exactly conducive to career longevity ."
pcc_eng_04_074.0755_x1180314_05:12-13-14,exactly_conducive,conducive,n't_exactly_conducive,exactly,by starting a career that was n't exactly conducive to settling down and having kids,"I derailed the plans myself by starting a career that was n't exactly conducive to settling down and having kids during my best child - bearing years , though I have no idea where "" five kids "" even came from -- it's one of those random things you think in high school before you know any better ."
