key,f,dP1,LRC,P1,G2,l1,l2,f1,f2,N,exp_f,unexp_f,unexp_r,dP2,P2,deltaP_max,deltaP_mean,odds_r_disc,t,MI,dataset
[_mirror_] immediately~available,187,0.060080055,5.433169,0.060753737,1249.244384765625,immediately,available,578,3078,583470,3.0491438,183.9508514404297,0.98369443,0.31856966,0.32352942,0.31856966,0.18932486,1.9825754,13.451818,1.7876637,mirror
[_direct_] immediately~clear,24476,0.28621745,5.4274764,0.2915267,141537.622209,immediately,clear,57730,83958,6347362,763.60785,23712.3921673,0.9688018,0.4145165,0.42397368,0.4145165,0.35036698,1.8870082,151.56717,1.5058701,direct
[_direct_] immediately~available,21281,0.25379553,5.1937146,0.25961304,115831.59331,immediately,available,57730,81972,6347362,745.5449,20535.4550697,0.96496665,0.35898045,0.36862984,0.35898045,0.306388,1.7775971,140.76942,1.4555182,direct
[_direct_] immediately~reachable,110,0.31255916,4.7455125,0.32163742,608.824452,immediately,reachable,57730,342,6347362,3.11053,106.88947,0.9717225,0.0018685356,0.0019054218,0.31255916,0.15721384,1.7149715,10.191511,1.5485582,direct
[_direct_] immediately~apparent,2134,0.20911606,4.7316046,0.2178885,10005.266533,immediately,apparent,57730,9794,6347362,89.077576,2044.9224242,0.9582579,0.035747305,0.036965184,0.20911606,0.12243168,1.4980876,44.266953,1.379426,direct
[_direct_] immediately~adjacent,95,0.28686956,4.5096745,0.29595014,507.334679,immediately,adjacent,57730,321,6347362,2.9195325,92.0804674,0.9692681,0.0016096594,0.0016455916,0.28686956,0.1442396,1.6628548,9.447257,1.5124103,direct
[_direct_] immediately~obvious,2310,0.094261676,3.4725025,0.10302381,7286.661341,immediately,obvious,57730,22422,6347362,203.93071,2106.0692867,0.9117183,0.036816213,0.040013857,0.094261676,0.06553894,1.1138037,43.819424,1.0541294,direct
[_direct_] immediately~recognizable,234,0.08683991,2.9676957,0.09590164,698.705592,immediately,recognizable,57730,2440,6347362,22.192085,211.8079145,0.90516204,0.0037026159,0.004053352,0.08683991,0.04527126,1.0652704,13.846316,1.0230178,direct
[_direct_] immediately~life-threatening,62,0.12008063,2.839142,0.12916666,221.091061,immediately,life-threatening,57730,480,6347362,4.3656564,57.634343799999996,0.9295862,0.0010075064,0.001073965,0.12008063,0.06054407,1.2118423,7.319569,1.1523422,direct
[_direct_] immediately~evident,467,0.067264475,2.7817304,0.07629472,1195.350557,immediately,evident,57730,6121,6347362,55.67121,411.3287889,0.8807897,0.0071904417,0.008089381,0.067264475,0.037227456,0.9577442,19.034027,0.9236862,direct
