hit_id,bigram_lower,adv_form_lower,adj_form_lower,all_forms_lower,text_window,token_str
pcc_eng_12_015.6818_x0237608_23:8-9,immediately_available,immediately,available,(+)_immediately_available,updates made to cyndi's list will be immediately available to the public .,Updates made to Cyndi's List will be immediately available to the public .
pcc_eng_02_088.7825_x1419293_12:3-4,immediately_available,immediately,available,(+)_immediately_available,37 are immediately available at the start and the rest,37 are immediately available at the start and the rest unlocked through playing the game .
pcc_eng_10_088.4753_x1413818_13:7-8,immediately_available,immediately,available,(+)_immediately_available,"instead of making demos freely and immediately available , publishers pay hundreds of thousands","Instead of making demos freely and immediately available , publishers pay hundreds of thousands of dollars in marketing and promotion , and develop effects - heavy sites - while treating distribution of the actual demo as a pale afterthought they outsource to gamer sites , which in turn use it as marketing for their own revenue streams ."
nyt_eng_19971106_0398_7:19-20-21,immediately_available,immediately,available,n't_immediately_available,"' statements today , they were n't immediately available .","while Mercury said in a press release that it released the auditors ' statements today , they were n't immediately available ."
pcc_eng_17_077.8430_x1241785_7:11-12-13,immediately_available,immediately,available,n't_immediately_available,andrasko prosecuted the case and was n't immediately available for comment .,Assistant District Attorney Matt Andrasko prosecuted the case and was n't immediately available for comment .
nyt_eng_19980113_0619_6:5-6-7,immediately_available,immediately,available,n't_immediately_available,Royal Bank officials were n't immediately available to comment .,Royal Bank officials were n't immediately available to comment .
nyt_eng_19960711_0192_5:6-7-8,immediately_available,immediately,available,n't_immediately_available,hfs and avis officials were n't immediately available for comment .,HFS and Avis officials were n't immediately available for comment .
apw_eng_20030108_0442_15:09-10-11,immediately_available,immediately,available,n't_immediately_available,on the plane that crashed were n't immediately available .,maintenance records on the plane that crashed were n't immediately available .
apw_eng_20021010_0233_11:4-5-6,immediately_available,immediately,available,n't_immediately_available,digitel officials were n't immediately available to comment on the implication of,"Digitel officials were n't immediately available to comment on the implication of NEC 's decision for the operator 's other debts , or its relationship with other suppliers ."
nyt_eng_19961122_0284_13:3-4-5,immediately_available,immediately,available,n't_immediately_available,Broderick was n't immediately available for comment .,Broderick was n't immediately available for comment .
nyt_eng_19970106_0380_9:26-27-28,immediately_available,immediately,available,n't_immediately_available,"'' said wien , who was n't immediately available for comment .","`` The Dow drops 1,000 points after reaching 7500 and the index closes slightly down for the year , '' said Wien , who was n't immediately available for comment ."
pcc_eng_11_091.1529_x1459248_06:6-7-8,immediately_available,immediately,available,n't_immediately_available,a representative for apple was n't immediately available to comment to cnet on the,A representative for Apple was n't immediately available to comment to CNET on the figure .
apw_eng_19971205_0459_12:1-7-8,immediately_available,immediately,available,nobody_immediately_available,nobody in the treasury office was immediately available to explain its decision .,nobody in the treasury office was immediately available to explain its decision .
