hit_id,bigram_lower,adv_form_lower,adj_form_lower,all_forms_lower,text_window,token_str
pcc_eng_03_067.6875_x1079837_099:18-19,immediately_obvious,immediately,obvious,(+)_immediately_obvious,we do - then its value is immediately obvious .,If you consume content by reading RSS feeds - as we do - then its value is immediately obvious .
pcc_eng_22_020.0913_x0307837_20:4-5,immediately_obvious,immediately,obvious,(+)_immediately_obvious,this would be immediately obvious to anyone who has played a,This would be immediately obvious to anyone who has played a decent modern - day game .
pcc_eng_07_039.1481_x0616858_102:3-4,immediately_obvious,immediately,obvious,(+)_immediately_obvious,"it was immediately obvious to the other cadets , that","It was immediately obvious to the other cadets , that here was a guy who should be playing professionally and not training for the police force , which started to raise a few questions ."
pcc_eng_14_046.9471_x0742436_13:6-7,immediately_obvious,immediately,obvious,(+)_immediately_obvious,step inside and it is immediately obvious that the driver is the absolute,Step inside and it is immediately obvious that the driver is the absolute centre of attention .
pcc_eng_18_101.9405_x1635217_5:4-5,immediately_obvious,immediately,obvious,(+)_immediately_obvious,pizza is an immediately obvious pairing to drunken cooking -- it's,"Pizza is an immediately obvious pairing to drunken cooking -- it's delicious and quick , most of us keep some basic version of the components on hand , and it 's been a classic companion to drinking since time immemorial ."
pcc_eng_22_030.6810_x0479241_25:8-9,immediately_obvious,immediately,obvious,(+)_immediately_obvious,the benefits of a thigh lift are immediately obvious .,The benefits of a thigh lift are immediately obvious .
pcc_eng_11_054.4736_x0865077_056:09-10,immediately_obvious,immediately,obvious,(+)_immediately_obvious,i am on an escalator it is immediately obvious to me that i am moving,If I am on an escalator it is immediately obvious to me that I am moving to higher altitudes .
pcc_eng_19_056.1737_x0890479_14:5-6,immediately_obvious,immediately,obvious,(+)_immediately_obvious,""" there are some immediately obvious areas that we need to lock",""" There are some immediately obvious areas that we need to lock away from urban development , areas such as the Daintree rainforest and Cape Tribulation in the north , and the productive cane lands south of Cairns ."
pcc_eng_28_044.4659_x0703328_10:7-8-9,immediately_obvious,immediately,obvious,n't_immediately_obvious,( which i realize now is n't immediately obvious in my question .,( which I realize now is n't immediately obvious in my question .
pcc_eng_10_071.1472_x1133934_03:21-22-23,immediately_obvious,immediately,obvious,n't_immediately_obvious,wars games required elements which were n't immediately obvious ( let me tell you how,"Last night I complained that winning Magic : the Gathering or Decipher 's Star Wars games required elements which were n't immediately obvious ( let me tell you how long it took me to "" decipher "" Star Wars ... )"
pcc_eng_29_005.3445_x0070240_48:22-23-24,immediately_obvious,immediately,obvious,n't_immediately_obvious,"them , perhaps something that is n't immediately obvious ?","Is there something in particular about this story you hope readers will take away with them , perhaps something that is n't immediately obvious ?"
nyt_eng_19990401_0105_36:12-13-14,immediately_obvious,immediately,obvious,n't_immediately_obvious,features in a program that are n't immediately obvious .,manuals also can point out features in a program that are n't immediately obvious .
