hit_id,bigram_lower,adv_form_lower,adj_form_lower,all_forms_lower,text_window,token_str
pcc_eng_07_050.3684_x0798080_3:8-9,necessarily_true,necessarily,true,(+)_necessarily_true,colonel muammar gaddafi proves that this is necessarily true .,Colonel Muammar Gaddafi proves that this is necessarily true .
pcc_eng_08_073.7102_x1177268_005:5-6-7,necessarily_true,necessarily,true,n't_necessarily_true,"Well , that is n't necessarily true .","Well , that is n't necessarily true ."
pcc_eng_04_004.3121_x0053685_10:16-17-18,necessarily_true,necessarily,true,n't_necessarily_true,"a depiction of himself that was n't necessarily true . """,""" And she comes in and basically gives him a depiction of himself that was n't necessarily true . """
pcc_eng_06_075.4929_x1204845_21:3-4-5,necessarily_true,necessarily,true,n't_necessarily_true,This is n't necessarily true .,This is n't necessarily true .
pcc_eng_10_046.2682_x0732459_008:18-19-20,necessarily_true,necessarily,true,n't_necessarily_true,"are a dying breed "" is n't necessarily true .","The first three prove that the common T-shirt axiom "" Snitches Are a Dying Breed "" is n't necessarily true ."
pcc_eng_13_004.8832_x0062632_25:10-11-12,necessarily_true,necessarily,true,n't_necessarily_true,true of the army tops is n't necessarily true of the institution itself at the,What is probably true of the army tops is n't necessarily true of the institution itself at the next level down - the less obviously political level .
pcc_eng_27_008.7539_x0124866_32:29-30-31,necessarily_true,necessarily,true,n't_necessarily_true,"the clear evidence that this is n't necessarily true , we still tend to conform","This is assumed to be an outgrowth of the bond women have to their children from physically producing them , and despite the clear evidence that this is n't necessarily true , we still tend to conform to this assumption ."
pcc_eng_15_016.9052_x0256548_054:3-4-5,necessarily_true,necessarily,true,n't_necessarily_true,"This is n't necessarily true , though .","This is n't necessarily true , though ."
pcc_eng_29_090.8341_x1450944_031:34-35-36,necessarily_true,necessarily,true,n't_necessarily_true,", research shows that this is n't necessarily true .","What if I told you that despite the popular belief that children are more likely to read on a device like an i Pad or a Kindle , research shows that this is n't necessarily true ."
pcc_eng_12_032.8294_x0515211_57:11-12-13,necessarily_true,necessarily,true,n't_necessarily_true,"guess by now , this is n't necessarily true .","As you can probably guess by now , this is n't necessarily true ."
pcc_eng_05_017.3912_x0265313_25:12-13-14,necessarily_true,necessarily,true,n't_necessarily_true,"for some projects , it is n't necessarily true of them all .","While this may be true for some projects , it is n't necessarily true of them all ."
pcc_eng_17_042.2464_x0666248_37:22-23-24,necessarily_true,necessarily,true,n't_necessarily_true,"this freedom , but it is n't necessarily true that 10 times the money will","Money , and to some extent fame and recognition , can sometimes help you achieve this freedom , but it is n't necessarily true that 10 times the money will give you 10 times the freedom ."
pcc_eng_05_082.4817_x1318773_082:26-27-28,necessarily_true,necessarily,true,n't_necessarily_true,"to stop -- and this is n't necessarily true , some of their best votes","But if you actually explained the pension initiative to folks and say the City Council is not doing anything to stop -- and this is n't necessarily true , some of their best votes were on the pension initiative , surprisingly , but the concern this pension initiative will keep workers out of Social Security ."
pcc_eng_17_106.3462_x1703118_09:31-32-33,necessarily_true,necessarily,true,n't_necessarily_true,"this winter , but that is n't necessarily true .","It would seem counter-intuitive to say the Raptors should pursue Jonny Flynn , basically a low-rent version of Brooks , and not Brooks himself this winter , but that is n't necessarily true ."
pcc_eng_12_008.2776_x0117707_36:3-4-5,necessarily_true,necessarily,true,n't_necessarily_true,that was n't necessarily true of straight men ( at least,That was n't necessarily true of straight men ( at least before they became so sexualized in the media ) ; straight men-like Liebling and Apple-could attract women based on that aura of power and authority I mentioned earlier .
pcc_eng_27_052.5714_x0833510_066:33-34-35,necessarily_true,necessarily,true,n't_necessarily_true,sources of happiness and success are n't necessarily true .,"But you may not be aware that research from the "" far side "" of positive psychology has shown that many of our assumptions about the sources of happiness and success are n't necessarily true ."
pcc_eng_20_093.8824_x1500515_274:14-15-16,necessarily_true,necessarily,true,n't_necessarily_true,"sex drive , but that is n't necessarily true .","Some say this is from a high sex drive , but that is n't necessarily true ."
pcc_eng_15_006.0267_x0081080_20:36-37-38,necessarily_true,necessarily,true,n't_necessarily_true,"speed distance , but this is n't necessarily true .","The math here is overly simplistic in that it assumes the animal would slow to a speed slower than your 10 as soon as they 've exhausted their maximum speed distance , but this is n't necessarily true ."
pcc_eng_08_106.0930_x1701670_55:19-20-21,necessarily_true,necessarily,true,n't_necessarily_true,believe things about themselves that are n't necessarily true,When people tend to describe themselves in especially positive ways because they believe things about themselves that are n't necessarily true
nyt_eng_20060620_0310_27:7-8-9,necessarily_true,necessarily,true,n't_necessarily_true,what you thought you knew is n't necessarily true anymore .,what you thought you knew is n't necessarily true anymore .
