key,f,dP1,LRC,P1,G2,l1,l2,f1,f2,N,exp_f,unexp_f,unexp_r,dP2,P2,deltaP_max,deltaP_mean,odds_r_disc,t,MI,dataset
[_direct_] particularly~noteworthy,360,0.25074062,4.373773,0.26277372,1627.289507,particularly,noteworthy,76722,1370,6347362,16.5595,343.4405002,0.95400137,0.0045311977,0.0046922658,0.25074062,0.12763591,1.4667307,18.100904,1.3372552,direct
[_mirror_] particularly~noteworthy,88,0.31630334,3.8175771,0.33333334,386.06378173828125,particularly,noteworthy,10020,264,583470,4.5337033,83.46629333496094,0.94848067,0.008475521,0.008782435,0.31630334,0.16238943,1.4615026,8.897537,1.2880296,mirror
[_direct_] particularly~fond,1309,0.15517515,3.7959151,0.16707084,4667.882925,particularly,fond,76722,7835,6347362,94.703415,1214.2965831,0.92765206,0.016020875,0.017061599,0.15517515,0.085598014,1.2218357,33.56255,1.140574,direct
[_mirror_] particularly~novel,54,0.30626783,3.4517615,0.3233533,232.92710876464844,particularly,novel,10020,167,583470,2.8679109,51.13208770751953,0.94689053,0.0051921685,0.0053892215,0.30626783,0.15573,1.4412683,6.958196,1.2748281,mirror
[_direct_] particularly~revelatory,61,0.2105496,3.3133104,0.22262774,253.371263,particularly,revelatory,76722,274,6347362,3.3119,57.6881,0.94570655,0.0007611105,0.00079507835,0.2105496,0.10565536,1.372197,7.3862042,1.2652526,direct
[_direct_] particularly~religious,489,0.12457521,3.3022535,0.13659218,1541.371168,particularly,religious,76722,3580,6347362,43.27227,445.7277304,0.9115087,0.005880729,0.0063736606,0.12457521,0.06522797,1.1145353,20.156506,1.0530992,direct
[_mirror_] particularly~unusual,172,0.16964594,3.054357,0.18655097,539.3321533203125,particularly,unusual,10020,922,583470,15.833616,156.1663818359375,0.9079441,0.015857795,0.017165668,0.16964594,0.09275186,1.1259959,11.907576,1.0359483,mirror
[_mirror_] particularly~fond,117,0.17671843,2.968075,0.19370861,375.30389404296875,particularly,fond,10020,604,583470,10.372564,106.62743377685547,0.9113456,0.010827401,0.011676647,0.17671843,0.09377291,1.1444016,9.85771,1.0522997,mirror
[_direct_] particularly~novel,129,0.13000186,2.967917,0.14207049,416.149925,particularly,novel,76722,908,6347362,10.975202,118.0247986,0.9149209,0.0015571654,0.0016813952,0.13000186,0.06577951,1.1335196,10.391504,1.0701772,direct
[_direct_] particularly~likeable,108,0.12515828,2.831952,0.13723,340.965992,particularly,likeable,76722,787,6347362,9.512647,98.487353,0.91191995,0.0012993973,0.0014076796,0.12515828,0.06322884,1.1161941,9.47695,1.0551224,direct
