hit_id,bigram_lower,adv_form_lower,adj_form_lower,all_forms_lower,text_window,token_str
pcc_eng_04_093.1842_x1489331_23:3-4,particularly_unusual,particularly,unusual,(+)_particularly_unusual,"it was particularly unusual because of the "" ribbing ""","It was particularly unusual because of the "" ribbing "" on the wings ( see photos above ) ."
nyt_eng_19990211_0172_36:4-5,particularly_unusual,particularly,unusual,(+)_particularly_unusual,we saw no particularly unusual rock formations .,we saw no particularly unusual rock formations .
pcc_eng_17_023.0522_x0357173_07:7-8,particularly_unusual,particularly,unusual,(+)_particularly_unusual,the museum is looking for any particularly unusual or uniquely shaped cheetos .,The museum is looking for any particularly unusual or uniquely shaped Cheetos .
pcc_eng_14_052.4083_x0830985_25:09-10,particularly_unusual,particularly,unusual,(+)_particularly_unusual,in awhile the sleepwalking sheeple catch a particularly unusual formation in their digital camera and,"Once in awhile the sleepwalking sheeple catch a particularly unusual formation in their digital camera and you find these thus portrayed as some important "" sign . """
pcc_eng_19_007.2499_x0101246_04:2-3,particularly_unusual,particularly,unusual,(+)_particularly_unusual,"one particularly unusual rack , constructed from stainless steel","One particularly unusual rack , constructed from stainless steel with room for four bikes , resembles a patch of waist - high grass ."
pcc_eng_04_042.6848_x0673563_004:42-43,particularly_unusual,particularly,unusual,(+)_particularly_unusual,( i guess i 'm in a particularly unusual line of business in this respect,"It 's just the latest time I 've been asked about my thoughts on BL , by a list of people that includes friends , colleagues , former employers , and even prospective employers ( I guess I 'm in a particularly unusual line of business in this respect ) ."
pcc_eng_26_088.2714_x1411229_17:4-5,particularly_unusual,particularly,unusual,(+)_particularly_unusual,there was a particularly unusual roast beef with horseradish canape ;,There was a particularly unusual roast beef with horseradish canape ; it was served on a spoon shaped cracker .
nyt_eng_20000510_0001_11:4-5,particularly_unusual,particularly,unusual,(+)_particularly_unusual,the painting is particularly unusual : it is both a portrait,the painting is particularly unusual : it is both a portrait and a still life .
pcc_eng_27_098.1248_x1570987_04:3-4,particularly_unusual,particularly,unusual,(+)_particularly_unusual,what was particularly unusual about this concert was a suite,What was particularly unusual about this concert was a suite of songs and dances composed by a contemporary composer .
pcc_eng_25_100.9371_x1617404_12:2-3,particularly_unusual,particularly,unusual,(+)_particularly_unusual,"in particularly unusual climatic conditions , it is possible","In particularly unusual climatic conditions , it is possible for a large group of small animals like frogs to be swept into the air and deposited as precipitation at a distant location ."
nyt_eng_20020515_0403_15:5-6,particularly_unusual,particularly,unusual,(+)_particularly_unusual,"the cross-examination itself was particularly unusual in a white-collar case , with","the cross-examination itself was particularly unusual in a white-collar case , with the defense effectively arguing that the government 's chief witness had never done anything wrong , while the witness countered repeatedly that he was indeed a felon ."
pcc_eng_21_027.8803_x0434507_32:23-24,particularly_unusual,particularly,unusual,(+)_particularly_unusual,that you feel is particularly expressive or particularly unusual .,Because sometimes those are the moments where you really want to draw out some word that you feel is particularly expressive or particularly unusual .
nyt_eng_20090325_0078_11:34-35,particularly_unusual,particularly,unusual,(+)_particularly_unusual,states with europe and latin america is particularly unusual .,"Americans have a tendency to view their own history and experience as unique , Rosenthal explained , which is why the emphasis on comparing the United States with Europe and Latin America is particularly unusual ."
pcc_eng_21_029.4759_x0460350_04:4-5,particularly_unusual,particularly,unusual,(+)_particularly_unusual,this processor is particularly unusual in that it is an asynchronous,This processor is particularly unusual in that it is an asynchronous processor .
pcc_eng_21_095.0655_x1519669_011:09-10-11,particularly_unusual,particularly,unusual,n't_particularly_unusual,", sterling 's recent conduct is n't particularly unusual or surprising .","But frankly , Sterling 's recent conduct is n't particularly unusual or surprising ."
pcc_eng_04_057.0219_x0904793_10:3-4-5,particularly_unusual,particularly,unusual,n't_particularly_unusual,"this is n't particularly unusual - theresa may , angela merkel","This is n't particularly unusual - Theresa May , Angela Merkel , Michelle Obama , Hillary Clinton , Margaret Thatcher and the Queen have all forgone a head covering on visits to Saudi Arabia ."
pcc_eng_29_083.0139_x1324615_27:20-21-22,particularly_unusual,particularly,unusual,n't_particularly_unusual,the lights going out -- are n't particularly unusual either .,"Inclement weather is obviously the most common , but technical glitches -- like the lights going out -- are n't particularly unusual either ."
pcc_eng_03_084.6117_x1353941_304:23-24-25,particularly_unusual,particularly,unusual,n't_particularly_unusual,"/ plotter continuum , which is n't particularly unusual .","In my own writing , I tend to sit somewhere in the middle of the pantser / plotter continuum , which is n't particularly unusual ."
