key,f,dP1,LRC,P1,G2,l1,l2,f1,f2,N,exp_f,unexp_f,unexp_r,dP2,P2,deltaP_max,deltaP_mean,odds_r_disc,t,MI,dataset
[_direct_] terribly~surprising,949,0.047269944,3.8141592,0.05024886,3578.565782,terribly,surprising,19801,18886,6347362,58.91608,890.0839202,0.9379177,0.045092132,0.047926873,0.047269944,0.046181038,1.2483677,28.893347,1.2070323,direct
[_mirror_] terribly~wrong,422,0.046410143,3.3999796,0.04949566,1488.0804443359375,terribly,wrong,2196,8526,583470,32.08922,389.9107971191406,0.9239592,0.17822579,0.19216758,0.17822579,0.112317964,1.2263083,18.98056,1.1189533,mirror
[_direct_] terribly~original,199,0.03920493,3.219965,0.04229543,678.003683,terribly,original,19801,4705,6347362,14.677547,184.3224529,0.9262435,0.009337875,0.010049998,0.03920493,0.0242714,1.1547191,13.066272,1.1321996,direct
[_mirror_] terribly~surprising,67,0.049099088,2.8450677,0.052755907,234.25839233398438,terribly,surprising,2196,1270,583470,4.779886,62.220115661621094,0.9286584,0.028440427,0.030510018,0.049099088,0.038769756,1.1840615,7.6013966,1.1466572,mirror
[_direct_] terribly~surprised,290,0.025557531,2.7484894,0.02863632,779.108187,terribly,surprised,19801,10127,6347362,31.591822,258.4081785,0.8910627,0.013091098,0.014645725,0.025557531,0.019324314,0.9805314,15.174251,0.96282333,direct
[_direct_] terribly~uncommon,103,0.029153166,2.560753,0.032258064,298.338807,terribly,uncommon,19801,3193,6347362,9.960767,93.0392331,0.90329355,0.0047134175,0.0052017574,0.029153166,0.016933292,1.0315027,9.167428,1.0145445,direct
[_direct_] terribly~impressed,283,0.019985331,2.4230504,0.023066264,650.913908,terribly,impressed,19801,12269,6347362,38.273926,244.7260731,0.86475646,0.012397954,0.014292208,0.019985331,0.016191643,0.88382715,14.547455,0.86888343,direct
[_direct_] terribly~fond,190,0.021156712,2.3802502,0.024250159,453.089515,terribly,fond,19801,7835,6347362,24.441782,165.5582185,0.87135905,0.0083872685,0.009595475,0.021156712,0.01477199,0.9046896,12.010856,0.89062077,direct
[_direct_] terribly~exciting,393,0.016626034,2.2688782,0.019693326,797.901292,terribly,exciting,19801,19956,6347362,62.254013,330.7459871,0.84159285,0.016755769,0.019847482,0.016755769,0.016690902,0.8153978,16.683928,0.8002252,direct
[_direct_] terribly~wrong,398,0.015699394,2.2008736,0.018766504,775.511081,terribly,wrong,19801,21208,6347362,66.159706,331.8402933,0.83376956,0.016811209,0.020099996,0.016811209,0.0162553,0.79407144,16.633652,0.7792895,direct
