hit_id,bigram_lower,adv_form_lower,adj_form_lower,all_forms_lower,text_window,token_str
pcc_eng_21_081.4001_x1299404_050:3-4,terribly_fond,terribly,fond,(+)_terribly_fond,"they are terribly fond of photos and photo albums ,","They are terribly fond of photos and photo albums , of private diaries and family chronicles ."
pcc_eng_19_048.5535_x0767434_62:7-8-9,terribly_fond,terribly,fond,n't_terribly_fond,like most petro states canada is n't terribly fond of transparency .,Like most petro states Canada is n't terribly fond of transparency .
pcc_eng_00_011.3630_x0167206_34:7-8-9,terribly_fond,terribly,fond,n't_terribly_fond,"but at first , he was n't terribly fond of the ring going over his","But at first , he was n't terribly fond of the ring going over his snout ."
pcc_eng_11_055.0126_x0873860_040:07-09-10,terribly_fond,terribly,fond,n't_terribly_fond,", after all , are n't too terribly fond of free updates , but cd","Console-makers , after all , are n't too terribly fond of free updates , but CD Projekt 's modus operandi is handing them out like candy ."
pcc_eng_14_002.9065_x0030832_125:3-4-5,terribly_fond,terribly,fond,n't_terribly_fond,i was n't terribly fond of the direction i saw painting,I was n't terribly fond of the direction I saw painting going in when I lived there .
pcc_eng_13_048.4233_x0766771_324:13-14-15,terribly_fond,terribly,fond,n't_terribly_fond,it came up that you were n't terribly fond of it .,I got the idea last time it came up that you were n't terribly fond of it .
pcc_eng_28_068.7554_x1096311_12:15-16-17,terribly_fond,terribly,fond,n't_terribly_fond,"tables and stools ( i was n't terribly fond of this arrangement , but given","Available seating consists of small and square high tables and stools ( I was n't terribly fond of this arrangement , but given the limited space , it did seem appropriate ) , and I did n't register any music ."
pcc_eng_15_047.0751_x0744924_03:16-17-18,terribly_fond,terribly,fond,n't_terribly_fond,"smalltown gossip victims , doctors are n't terribly fond of patients leaving negative comments of","Like donut shop owners , city councilmen , and smalltown gossip victims , doctors are n't terribly fond of patients leaving negative comments of them all over the Internet ."
pcc_eng_02_087.4531_x1397742_13:16-17-18,terribly_fond,terribly,fond,n't_terribly_fond,incidence where i think he was n't terribly fond of playing against a physical receiver,"He added , "" I think this was an incidence where I think he was n't terribly fond of playing against a physical receiver from the beginning of the game until late in the game ."
pcc_eng_05_006.6237_x0091381_26:4-5-6,terribly_fond,terribly,fond,n't_terribly_fond,"they also were n't terribly fond of status symbols , thus ,","They also were n't terribly fond of status symbols , thus , the idea of an Elvish palace in Mirkwood seems a bit odd to me ."
pcc_eng_10_021.6815_x0334077_75:3-4-5,terribly_fond,terribly,fond,n't_terribly_fond,i was n't terribly fond of the romantic subplot and thought,I was n't terribly fond of the romantic subplot and thought the story could have done very well without it .
pcc_eng_24_070.0566_x1117032_24:7-8-9,terribly_fond,terribly,fond,n't_terribly_fond,"to be honest , i was n't terribly fond of the bard , although i","To be honest , I was n't terribly fond of the bard , although I do appreciate some of his better -known quotes - I still have the first 5 lines of "" To be , or not to be "" memorized ."
pcc_eng_07_102.1126_x1634245_16:14-15-16,terribly_fond,terribly,fond,n't_terribly_fond,"as a kid , i was n't terribly fond of the dc comics characters .","She was a DC comics character and as a kid , I was n't terribly fond of the DC comics characters ."
pcc_eng_12_007.1258_x0098904_35:11-12-13,terribly_fond,terribly,fond,n't_terribly_fond,new hampshire gov. john lynch is n't terribly fond of this bill .,The Monitor reported that New Hampshire Gov. John Lynch is n't terribly fond of this bill .
pcc_eng_20_039.9105_x0628822_28:3-4-5,terribly_fond,terribly,fond,n't_terribly_fond,i was n't terribly fond of now and then but fit,I was n't terribly fond of Now and Then but fit very well .
pcc_eng_18_038.6044_x0608399_217:6-7-8,terribly_fond,terribly,fond,n't_terribly_fond,"tumulty explains that kerry is n't terribly fond of the clintons , as they","Tumulty explains that Kerry is n't terribly fond of the Clintons , as they were pretty tepid in their support of him in 2004 ."
pcc_eng_19_071.1918_x1133663_003:6-7-8,terribly_fond,terribly,fond,n't_terribly_fond,"for example , he was n't terribly fond of waiting for his latest brew","For example , he was n't terribly fond of waiting for his latest brew to ferment and mature to the point where he could sample it ."
pcc_eng_27_004.5788_x0057451_184:4-6-7,terribly_fond,terribly,fond,never_terribly_fond,Vila Restal had never been terribly fond of high places .,Vila Restal had never been terribly fond of high places .
