hit_id,bigram_lower,adv_form_lower,adj_form_lower,all_forms_lower,text_window,token_str
pcc_eng_25_052.7018_x0837077_34:12-13,that_big,that,big,(+)_that_big,authorization from london -- the checks were that big .,He had to get authorization from London -- the checks were that big .
pcc_eng_18_091.8927_x1471978_035:4-5,that_big,that,big,(+)_that_big,was it really that big ?,Was it really that big ?
pcc_eng_04_021.7925_x0335834_32:3-4,that_big,that,big,(+)_that_big,you 're that big and you still have that far,"You 're that big and you still have THAT far to go ? ! """
pcc_eng_19_048.7310_x0770257_06:30-31-32,that_big,that,big,n't_that_big,", because marital problems just are n't that big of an oppressor in their lives","They often come home feeling drained , stressed out , annoyed , and blame it on work , or family , or friends , because marital problems just are n't that big of an oppressor in their lives ."
pcc_eng_14_087.4774_x1397853_32:25-26-27,that_big,that,big,n't_that_big,"world , but the world is n't that big and getting from location to location","Oddly , you really only get to listen to the soundtrack when you 're driving around the open world , but the world is n't that big and getting from location to location never takes that long ."
pcc_eng_04_108.10313_x1745819_180:3-4-5,that_big,that,big,n't_that_big,"it was n't that big of a deal when , i","It was n't that big of a deal when , I mean , any one of us could kill everyone in the house ."
pcc_eng_15_030.6363_x0478966_43:22-23-24,that_big,that,big,n't_that_big,"controller , but thankfully it is n't that big of a deal .","Details like this would be hard to fix with the limited face buttons on a controller , but thankfully it is n't that big of a deal ."
pcc_eng_15_095.7459_x1531401_101:4-5-6,that_big,that,big,n't_that_big,the ledge was n't that big and an archway led into a,The ledge was n't that big and an archway led into a tunnel .
pcc_eng_02_004.7862_x0061047_59:7-8-9,that_big,that,big,n't_that_big,"and i mean , it was n't that big of a deal - but knowing","And I mean , it was n't that big of a deal - but knowing how fragile I am sometimes , and my affinity to flee from things that are too difficult , this was a huge deal to me ."
pcc_eng_08_003.9112_x0047049_15:6-7-8,that_big,that,big,n't_that_big,"not sure , florence is n't that big , is it ?","Not sure , Florence is n't that big , is it ?"
pcc_eng_19_029.8273_x0465420_06:6-7-8,that_big,that,big,n't_that_big,"quite honestly , it was n't that big of a challenge at all .","Quite honestly , it was n't that big of a challenge at all ."
nyt_eng_20001208_0077_26:12-15-16,that_big,that,big,n't_that_big,", but it does n't really seem that big as visitors jostle for room and","the 17,552-square-foot house is called a mansion , but it does n't really seem that big as visitors jostle for room and gawk at Elvis ' taste in decorating such as the stained-glass peacock doors in the living room and the purple bedroom that was used by Elvis ' parents , Vernon and Gladys ."
pcc_eng_14_032.3741_x0506900_044:6-7-8,that_big,that,big,n't_that_big,"from far away it is n't that big of a deal , but if","From far away it is n't that big of a deal , but if anyone is close enough to talk to you , it 's going to be noticeable so sadly I have n't got much use for this one ."
pcc_eng_29_006.8358_x0094357_41:20-21-22,that_big,that,big,n't_that_big,group of luger orders that was n't that big in the first place .,There were n't that many Navy 's that survived the war from a group of Luger orders that was n't that big in the first place .
pcc_eng_17_101.9203_x1631276_34:18-19-20,that_big,that,big,n't_that_big,", which to me obviously is n't that big of a deal , "" jennifer",""" He did , like , want to have phone sex , which to me obviously is n't that big of a deal , "" Jennifer said ."
pcc_eng_14_091.0307_x1455184_05:3-4-5,that_big,that,big,n't_that_big,It was n't that big of a surprise .,It was n't that big of a surprise .
pcc_eng_10_052.5012_x0833000_22:5-6-7,that_big,that,big,n't_that_big,Even if it was n't that big .,Even if it was n't that big .
pcc_eng_26_038.6422_x0608643_20:20-21-22,that_big,that,big,n't_that_big,"today , so our holsteins are n't that big , "" dennis says .",""" We did n't select for the production genetics so prevalent in Holsteins today , so our Holsteins are n't that big , "" Dennis says ."
pcc_eng_17_043.8013_x0691195_31:17-18-19,that_big,that,big,n't_that_big,"be random and that it was n't that big of a deal to them ,","The most common answer was that dice are supposed to be random and that it was n't that big of a deal to them , cost was also a big factor as well ."
nyt_eng_19970921_0003_13:13-14-15,that_big,that,big,n't_that_big,"if you lost , it was n't that big of a deal , but up","`` In the minor leagues , if you lost , it was n't that big of a deal , but up here , if you do n't win , your day is not a success ."
pcc_eng_25_037.1764_x0585578_3:13-14-15,that_big,that,big,n't_that_big,world championships and autumn marathons is n't that big this year .,But the time difference between the world championships and autumn marathons is n't that big this year .
pcc_eng_01_097.0634_x1553141_110:18-19-20,that_big,that,big,n't_that_big,spots came out so it was n't that big of a concern anymore .,"But after washing it , quite a few of the front spots came out so it was n't that big of a concern anymore ."
pcc_eng_24_107.08211_x1728265_11:25-28-29,that_big,that,big,n't_that_big,", the story must n't have been that big or important to you .","I am purposely not including a synopsis of each story , because if the ballot phrase alone is not sufficient , the story must n't have been that big or important to you ."
