key,f,dP1,LRC,P1,G2,l1,l2,f1,f2,N,exp_f,unexp_f,unexp_r,odds_r_disc,t,MI,dP2,P2,deltaP_max,deltaP_mean,dataset
[_direct_] yet~final,640,0.519228,6.58066,0.52761745,4443.691059,yet,final,53881,1213,6347362,10.2968214,629.7031786,0.9839112,2.1205869,24.891203,1.7934768,0.011786981,0.011878028,0.519228,0.2655075,direct
[_direct_] yet~official,352,0.37251788,5.631394,0.3809524,2141.313811,yet,official,53881,924,6347362,7.8435804,344.1564196,0.9777171,1.8596419,18.3436,1.6520283,0.0064420276,0.006532915,0.37251788,0.18947996,direct
[_direct_] yet~ready,7505,0.24635245,5.2071695,0.25369298,39487.382507,yet,ready,53881,29583,6347362,251.1219028,7253.8780972,0.9665394,1.6624769,83.732666,1.4754661,0.13578036,0.13928843,0.24635245,0.1910664,direct
[_direct_] yet~complete,2175,0.25031015,5.1522727,0.25846702,11318.186309,yet,complete,53881,8415,6347362,71.432607,2103.567393,0.9671574,1.6272547,45.10522,1.4835627,0.03937523,0.040366735,0.25031015,0.14484268,direct
[_direct_] yet~ripe,381,0.2537855,4.899111,0.2622161,1982.816236,yet,ripe,53881,1453,6347362,12.334115,368.665885,0.967627,1.6215564,18.887325,1.489817,0.006900803,0.0070711384,0.2537855,0.13034314,direct
[_direct_] yet~over,162,0.25581005,4.6455083,0.26427406,845.320931,yet,over,53881,613,6347362,5.2035874,156.7964126,0.9678791,1.6249235,12.31909,1.4932121,0.0029349644,0.0030066257,0.25581005,0.1293725,direct
[_direct_] yet~public,467,0.16740964,4.230967,0.17582831,2025.168237,yet,public,53881,2656,6347362,22.5460492,444.45395080000003,0.95172155,1.4005173,20.566875,1.3162464,0.008319428,0.008667248,0.16740964,0.08786453,direct
[_direct_] yet~eligible,448,0.16257074,4.174493,0.17099236,1916.40398,yet,eligible,53881,2620,6347362,22.2404552,425.7595448,0.9503561,1.3857301,20.115248,1.3041344,0.0079695005,0.008314619,0.16257074,0.08527012,direct
[_direct_] yet~clear,10409,0.11664177,3.9601753,0.1235827,39438.804345,yet,clear,53881,84227,6347362,714.9797013,9694.0202987,0.93131137,1.304817,95.01659,1.1631153,0.1814557,0.19318499,0.1814557,0.14904873,direct
[_direct_] yet~conclusive,127,0.15372692,3.694191,0.16219668,528.587017,yet,conclusive,53881,783,6347362,6.6466704,120.3533296,0.947664,1.3567063,10.679631,1.2811996,0.0022528113,0.0023570461,0.15372692,0.07798987,direct
