hit_id,bigram_lower,adv_form_lower,adj_form_lower,all_forms_lower,text_window,token_str
pcc_eng_11_006.1420_x0083322_42:30-31-32,yet_ready,yet,ready,n't_yet_ready,conyers to suggest the plan is n't yet ready for a vote in congress .,"The plan only has an outline of how to raise the funding needed for a single - payer system , which has caused Conyers to suggest the plan is n't yet ready for a vote in Congress ."
pcc_eng_11_010.9499_x0160984_08:16-17-18,yet_ready,yet,ready,n't_yet_ready,man leaving a job he was n't yet ready to surrender .,Ensign 's speech reflected the mixed emotions of a man leaving a job he was n't yet ready to surrender .
pcc_eng_15_091.7149_x1466369_33:20-21-22,yet_ready,yet,ready,n't_yet_ready,"news , that his presidents were n't yet ready to commit to ucf -- or","On the other end , Big East Commissioner Mike Tranghese delivered some expected news , that his presidents were n't yet ready to commit to UCF -- or any other school -- for football-only membership ."
pcc_eng_17_043.5605_x0687329_12:21-22-23,yet_ready,yet,ready,n't_yet_ready,"correspondence , i know they are n't yet ready to tackle composing and decomposing numbers","For example , if they are still working on one - to - one correspondence , I know they are n't yet ready to tackle composing and decomposing numbers ."
pcc_eng_28_031.5961_x0494623_068:18-19-20,yet_ready,yet,ready,n't_yet_ready,"her hair grow , but was n't yet ready to confront gender transitioning head -on","By then she had begun using women 's deodorant and letting her hair grow , but was n't yet ready to confront gender transitioning head -on ."
pcc_eng_03_031.1955_x0489009_03:19-20-21,yet_ready,yet,ready,n't_yet_ready,"a caregiver , but you are n't yet ready to surrender your independence to a","You can no longer live on your own without the help of a caregiver , but you are n't yet ready to surrender your independence to a nursing home ."
pcc_eng_29_007.6423_x0107386_09:5-6-7,yet_ready,yet,ready,n't_yet_ready,he says officials are n't yet ready to release video footage of the,He says officials are n't yet ready to release video footage of the alleged arsonist .
pcc_eng_02_043.2331_x0683369_045:12-13-14,yet_ready,yet,ready,n't_yet_ready,trade is that the royals were n't yet ready to win big .,One enduring argument against the trade is that the Royals were n't yet ready to win big .
pcc_eng_02_007.2656_x0101170_16:3-4-5,yet_ready,yet,ready,n't_yet_ready,milieu is n't yet ready for commercial marketing but it has,"Milieu is n't yet ready for commercial marketing but it has already attracted international interest with Dr Sayer invited to present his work at the Science Museum , the Institute of Contemporary Arts and University of California , Santa Barbara ."
apw_eng_20021009_0035_21:4-5-6,yet_ready,yet,ready,n't_yet_ready,"some concepts are n't yet ready for the marketplace , but to","some concepts are n't yet ready for the marketplace , but to wearable computer gurus , ideas can be as exciting as products ."
pcc_eng_08_082.7802_x1324183_02:11-12-13,yet_ready,yet,ready,not_yet_ready,of the free towns game is not yet ready .,"Unfortunately , professional review of the Free Towns game is not yet ready ."
nyt_eng_19961029_0578_4:38-39-40,yet_ready,yet,ready,not_yet_ready,made it clear that they were not yet ready to let go of one of,"three days after one final foul fly ball plunked into the open glove of third baseman Charlie Hayes and the World Series finally belonged to the Yankees again , New Yorkers made it clear that they were not yet ready to let go of one of the most emotional October baseball the city has ever seen ."
