hit_id,adv_form_lower,adj_form_lower,bigram_lower,neg_form_lower,all_forms_lower,text_window,token_str
pcc_eng_11_062.4037_x0993747_06:08-09-10,any,clearer,any_clearer,hardly,hardly_any_clearer,"end of the third dynasty was hardly any clearer than its beginning has been ,","The end of the Third Dynasty was hardly any clearer than its beginning has been , and it has proved difficult to reconcile the documentary information provided by king-lists with the evidence supplied by archaeologists ."
pcc_eng_15_008.3140_x0118197_36:19-22-23,any,clearer,any_clearer,hardly,hardly_any_clearer,st andrews faces could hardly have been any clearer .,"When the referee blew for full-time soon afterwards , then , the dejection on St Andrews faces could hardly have been any clearer ."
pcc_eng_10_010.9274_x0160335_24:16-18-19,any,clearer,any_clearer,n't,n't_any_clearer,"years , and it could n't be any clearer to darcy that a relationship between","Throw in Tom 's engagement to his girlfriend of eight years , and it could n't be any clearer to Darcy that a relationship between the two of them would n't work ."
pcc_eng_03_014.8125_x0223476_14:3-5-6,any,clearer,any_clearer,n't,n't_any_clearer,"I ca n't be any clearer than that . ""","I ca n't be any clearer than that . """
pcc_eng_10_084.0082_x1341512_17:5-7-8,any,clearer,any_clearer,n't,n't_any_clearer,the bottom line could n't be any clearer : if you need a workbench,"The bottom line could n't be any clearer : if you need a workbench , you need a Ranger ."
pcc_eng_18_019.2275_x0295083_06:12-14-15,any,clearer,any_clearer,n't,n't_any_clearer,"says , it literally could n't be any clearer :","Here 's what the Official Guide says , it literally could n't be any clearer :"
pcc_eng_21_096.9614_x1550391_29:15-16-17,any,clearer,any_clearer,n't,n't_any_clearer,"in visuals , and this is n't any clearer than during the pre-concert fight between","Otherwise , the film is generally low fidelity in visuals , and this is n't any clearer than during the pre-concert fight between Q-Tip and Phife ."
pcc_eng_12_001.9245_x0014918_20:22-24-25,any,clearer,any_clearer,n't,n't_any_clearer,"events caught on camera could n't be any clearer . """,""" I told the clients I am very confident they will get a conviction because the events caught on camera could n't be any clearer . """
pcc_eng_04_100.4609_x1606833_20:3-5-6,any,clearer,any_clearer,n't,n't_any_clearer,it could n't be any clearer : in 2008 and apparently from,"It could n't be any clearer : in 2008 and apparently from now on , America was turning away from free / mixed capitalism and embracing greater government economic management ."
pcc_eng_13_008.8532_x0126790_13:20-23-24,any,clearer,any_clearer,n't,n't_any_clearer,", the choice could n't have been any clearer .","When my older and only sister went through recruitment at my mom 's alma mater , the choice could n't have been any clearer ."
pcc_eng_29_008.4338_x0120147_17:5-7-8,any,clearer,any_clearer,n't,n't_any_clearer,but his reply could n't be any clearer that there is definitely more theme,But his reply could n't be any clearer that there is definitely more theme park excitement in store for Harry Potter fans .
