hit_id,adv_form_lower,adj_form_lower,bigram_lower,neg_form_lower,all_forms_lower,text_window,token_str
pcc_eng_19_070.9472_x1129646_06:12-14-15,any,more,any_more,n't,n't_any_more,"like , ' there ca n't be any more than that , ' "" said",""" I think he said something like , ' There ca n't be any more than that , ' "" said Durkin , explaining the remark ."
pcc_eng_10_055.8711_x0887501_21:6-8-9,any,more,any_more,n't,n't_any_more,the amount of bail ca n't be any more than is reasonable for accomplishing that,The amount of bail ca n't be any more than is reasonable for accomplishing that purpose .
pcc_eng_22_084.6616_x1352318_41:11-13-14,any,more,any_more,n't,n't_any_more,"like the cultural exposure could n't be any more than it already is , curious","And , although it feels like the cultural exposure could n't be any more than it already is , curious introverts have already discovered this as blatantly false through the exploration of Beijing 's art scene and museums ."
pcc_eng_27_009.0363_x0129438_24:09-10-11,any,more,any_more,n't,n't_any_more,"too , said the cost is n't any more than bianchi 's first request so","He , too , said the cost is n't any more than Bianchi 's first request so the cost is n't what is stopping the truck from being added now ."
apw_eng_20020430_1487_15:5-6-7,any,more,any_more,n't,n't_any_more,although earnings tuesday were n't any more or less spectacular than others released,"although earnings Tuesday were n't any more or less spectacular than others released previously , Wall Street was more willing to set aside some of its qualms _ at least for the moment ."
pcc_eng_26_037.9997_x0598253_036:16-17-18,any,more,any_more,n't,n't_any_more,me and acted like i was n't any more than a grease spot in the,"Usually , girls just turned their noses up at me and acted like I was n't any more than a grease spot in the hallway ."
pcc_eng_01_038.6433_x0608369_091:22-23-24,any,more,any_more,n't,n't_any_more,tax - but actual libertarians are n't any more in favor of letting polluters run,"They 're in favor of minimal government intervention , sure - say , a carbon tax - but actual libertarians are n't any more in favor of letting polluters run rampant than they are in letting murders walk free ."
pcc_eng_28_032.5147_x0509564_09:21-22-23,any,more,any_more,n't,n't_any_more,", and then suddenly they were n't any more .","Baby boomers will remember as kids that Cracker Jack prizes used to be cool , and then suddenly they were n't any more ."
pcc_eng_20_088.5628_x1414591_352:32-33-34,any,more,any_more,n't,n't_any_more,"as easily as though he was n't any more than a little ken doll ,","You know a toy that does n't want to play may have to be punished . "" and she rolled him over in her hand as easily as though he was n't any more than a little Ken doll , and lightly tapped him on the butt with one huge finger ."
pcc_eng_14_001.5165_x0008434_075:12-14-15,any,more,any_more,n't,n't_any_more,", the high-saturation material ca n't be any more than 10 or 15 nanometers thick","For a composite magnet to work , the high-saturation material ca n't be any more than 10 or 15 nanometers thick ."
nyt_eng_20051013_0008_16:14-15-16,any,more,any_more,n't,n't_any_more,"church ? well , this is n't any more than a nation would do to","`` Do I feel betrayed by my church ? Well , this is n't any more than a nation would do to cover up if the president was having an affair , '' said Musette Caing of Valencia ."
pcc_eng_15_047.5015_x0751703_019:08-11-12,any,more,any_more,n't,n't_any_more,galician and catalan are n't like castilian any more than portuguese or italian .,"For example , Galician and Catalan are n't like Castilian any more than Portuguese or Italian ."
pcc_eng_13_005.9084_x0079111_03:4-8-9,any,more,any_more,n't,n't_any_more,But that is n't how it is any more .,But that is n't how it is any more .
nyt_eng_20070604_0017_19:4-5-6,any,more,any_more,n't,n't_any_more,`` it was n't any more than it usually is .,`` It was n't any more than it usually is .
nyt_eng_20070530_0191_24:5-7-8,any,more,any_more,n't,n't_any_more,"however , it wo n't be any more than 8.25 percent .","however , it wo n't be any more than 8.25 percent ."
nyt_eng_20060908_0341_16:7-8-9,any,more,any_more,n't,n't_any_more,recent evidence indicates that jobs are n't any more or less disposable than they were,recent evidence indicates that jobs are n't any more or less disposable than they were in the past .
pcc_eng_27_023.1052_x0357402_21:16-17-18,any,more,any_more,n't,n't_any_more,'re certain that the scratch is n't any more than a minor one .,These treatments ought to be done only when you 're certain that the scratch is n't any more than a minor one .
pcc_eng_26_015.1924_x0229437_25:3-4-5,any,more,any_more,n't,n't_any_more,ego is n't any more than this particular : identification along,"Ego is n't any more than this particular : identification along with form , that primarily indicates thought types ."
pcc_eng_01_035.6824_x0560289_27:20-22-23,any,more,any_more,n't,n't_any_more,"do n't understand , ca n't be any more than simple tricks of a creative","I think for most people , it is easier to believe that what we do n't understand , ca n't be any more than simple tricks of a creative mind ."
pcc_eng_00_036.5120_x0573658_64:31-34-35,any,more,any_more,n't,n't_any_more,of an ounce is n't gonna be any more than an extra quarter of an,"Then lightly , sadly , he chuckled , and added in his richest voice , ' I 'm gonna hit him so hard that extra quarter of an ounce is n't gonna be any more than an extra quarter of an ounce he 's being hit with . ' """
nyt_eng_20050722_0173_12:5-8-9,any,more,any_more,n't,n't_any_more,the officers `` could n't have been any more than two or three feet behind,"the officers `` could n't have been any more than two or three feet behind him at this time , '' Whitby said , `` and he half tripped and was half pushed to the floor , and the policeman nearest to me had the black automatic pistol in his left hand . ''"
pcc_eng_05_037.3686_x0588933_46:36-38-39,any,more,any_more,n't,n't_any_more,"by the robinsons , is n't enough any more ; jeanne needs more than any","Even Canada 's health system , which so many people are holding up as a model in the current health care debate , and which has done very well indeed by the Robinsons , is n't enough any more ; Jeanne needs more than any insurance covers ."
pcc_eng_26_092.8620_x1485719_286:08-10-11,any,more,any_more,n't,n't_any_more,that simply being online is n't enough any more ; you need to be mobile,This means that simply being online is n't enough any more ; you need to be mobile ready .
