hit_id,adv_form_lower,adj_form_lower,bigram_lower,neg_form_lower,all_forms_lower,text_window,token_str
nyt_eng_20001215_0038_27:3-4-5,exactly,true,exactly_true,n't,n't_exactly_true,"that was n't exactly true , considering garrett contacted him thursday","that was n't exactly true , considering Garrett contacted him Thursday afternoon and the two had more than one conversation ."
pcc_eng_26_012.5859_x0187136_39:12-13-14,exactly,true,exactly_true,n't,n't_exactly_true,the claim of customizable controls is n't exactly true .,My other problem is that the claim of customizable controls is n't exactly true .
pcc_eng_08_107.0451_x1717118_20:13-14-15,exactly,true,exactly_true,n't,n't_exactly_true,cormier told helwani that that was n't exactly true .,"Yet a few days later , Cormier told Helwani that that was n't exactly true ."
pcc_eng_06_070.3315_x1121859_09:13-14-15,exactly,true,exactly_true,n't,n't_exactly_true,the fact that the headline is n't exactly true .,Perhaps we should begin by acknowledging the fact that the headline is n't exactly true .
pcc_eng_20_083.1820_x1327839_14:7-8-9,exactly,true,exactly_true,n't,n't_exactly_true,"yet even when the show was n't exactly true to life , as it regularly","Yet even when the show was n't exactly true to life , as it regularly was not , and even when the mechanisms of the narrative became strained or absurd -- Betty 's current sudden offer from "" the most powerful publisher in all of Britain "" to help run "" a sort of younger person 's New Yorker "" in London is crazy in so many ways -- it produced moments of emotional truth ."
pcc_eng_06_032.6992_x0512777_018:3-4-5,exactly,true,exactly_true,n't,n't_exactly_true,That is n't exactly true .,That is n't exactly true .
pcc_eng_06_102.9808_x1649775_21:22-23-24,exactly,true,exactly_true,n't,n't_exactly_true,"mature themes , "" which is n't exactly true either , "" according to amy","Scenes like that make Wilder 's memoir sound like it 's filled with scandal and mature themes , "" which is n't exactly true either , "" according to Amy Lauters , an associate professor of mass media at Minnesota State University - Mankato ."
nyt_eng_19990624_0422_44:4-5-6,exactly,true,exactly_true,n't,n't_exactly_true,"`` that was n't exactly true , '' charles brewer , the","`` That was n't exactly true , '' Charles Brewer , the company 's chief executive , said Thursday ."
pcc_eng_19_015.4935_x0233885_017:22-23-24,exactly,true,exactly_true,n't,n't_exactly_true,impression that tumblr skews young is n't exactly true .,"It 's entirely up to you , but you should know that the widely held impression that Tumblr skews young is n't exactly true ."
pcc_eng_04_104.8353_x1677449_17:12-13-14,exactly,true,exactly_true,n't,n't_exactly_true,"to me , that this is n't exactly true .","It has been pointed out to me , that this is n't exactly true ."
