key,f,dP1,LRC,P1,G2,l1,l2,f1,f2,N,exp_f,unexp_f,unexp_r,dP2,P2,adv,adv_total,adj,adj_total,odds_r_disc,t,MI
NEGany~immediately_clear,24416,0.49947464,7.741822,0.99754864,33183.576015,NEGATED,immediately_clear,3173681,24476,6347362,12238.0,12178.0,0.4987713,0.0076743695,0.007693275,immediately,57730,clear,83958,2.609274,77.936104,0.29996407
NEGany~immediately_available,21078,0.49211088,6.169193,0.990461,27277.6972449,NEGATED,immediately_available,3173681,21281,6347362,10640.5,10437.5,0.49518454,0.0065775355,0.006641499,immediately,57730,available,81972,2.0181415,71.892204,0.29686737
NEGany~immediately_possible,1000,0.4990797,5.5743823,0.999001,1372.0214009,NEGATED,immediately_possible,3173681,1001,6347362,500.5,499.5,0.4995,0.00031477644,0.00031509154,immediately,57730,possible,30222,2.8242626,15.795577,0.3005959
NEGany~immediately_obvious,2238,0.46900186,4.087785,0.9688312,2561.9067376,NEGATED,immediately_obvious,3173681,2310,6347362,1155.0,1083.0,0.4839142,0.00068248826,0.00070517487,immediately,57730,obvious,22422,1.4899156,22.892775,0.2872781
NEGany~immediately_able,626,0.469088,3.4290783,0.9690403,717.2270163,NEGATED,immediately_able,3173681,646,6347362,323.0,303.0,0.48402557,0.00019094547,0.0001972473,immediately,57730,able,22885,1.4852501,12.110315,0.2873718
NEGany~immediately_successful,290,0.4830733,3.2050915,0.9830508,358.279488,NEGATED,immediately_successful,3173681,295,6347362,147.5,142.5,0.49137932,8.9801084e-05,9.137655e-05,immediately,57730,successful,31408,1.7228224,8.367888,0.29360598
NEGany~immediately_sure,138,0.49281654,2.626968,0.9928058,180.8361369,NEGATED,immediately_sure,3173681,139,6347362,69.5,68.5,0.4963768,4.316754e-05,4.3482632e-05,immediately,57730,sure,134058,1.9653772,5.831107,0.29789427
NEGany~immediately_forthcoming,133,0.48519552,2.3899045,0.9851852,166.3337091,NEGATED,immediately_forthcoming,3173681,135,6347362,67.5,65.5,0.4924812,4.127699e-05,4.1907173e-05,immediately,57730,forthcoming,2241,1.7275592,5.67957,0.29454786
NEGany~immediately_reachable,109,0.4909176,2.258488,0.9909091,141.1023752,NEGATED,immediately_reachable,3173681,110,6347362,55.0,54.0,0.49541286,3.4029887e-05,3.4344976e-05,immediately,57730,reachable,342,1.8633376,5.1722617,0.2970638
NEGany~immediately_certain,70,0.50000554,1.7974706,1.0,97.0413773,NEGATED,immediately_certain,3173681,70,6347362,35.0,35.0,0.5,2.2056407e-05,2.2056407e-05,immediately,57730,certain,11301,2.1492286,4.1833,0.30103
NEGmir~immediately_available,162,0.3664276,1.2213217,0.8663102,112.15960693359376,NEGMIR,immediately_available,291735,187,583470,93.5,68.5,0.4228395,0.00046960427,0.00055529847,immediately,578,available,3078,0.8045172,5.3818684,0.2387034
