hit_id,adv_form_lower,adj_form_lower,bigram_lower,neg_form_lower,all_forms_lower,text_window,token_str
pcc_eng_10_040.7128_x0642415_41:20-21-22,necessarily,bad,necessarily_bad,n't,n't_necessarily_bad,"florida game , but it was n't necessarily bad either , as the nhl finished","The GIP of $ 21.57 was n't necessarily good for the Montreal - Florida game , but it was n't necessarily bad either , as the NHL finished the week on a solid note for the secondary ."
pcc_eng_25_002.7251_x0028057_17:5-6-7,necessarily,bad,necessarily_bad,n't,n't_necessarily_bad,""" Those complaints are n't necessarily bad for us .",""" Those complaints are n't necessarily bad for us ."
pcc_eng_09_034.6775_x0545270_23:12-13-14,necessarily,bad,necessarily_bad,n't,n't_necessarily_bad,to remind myself that endings are n't necessarily bad .,I will make an effort to remind myself that endings are n't necessarily bad .
pcc_eng_02_085.6444_x1368445_29:5-6-7,necessarily,bad,necessarily_bad,n't,n't_necessarily_bad,i guess it was n't necessarily bad - i can use the loosening,"I guess it was n't necessarily bad - i can use the loosening - up , probably deserve the fun , and afterall , it 's been a while for me ( S kissed me at a rate of about twice a year and had a heart made of ice shards ) , and the positive attention was pretty nice ."
pcc_eng_28_017.8070_x0271777_04:6-7-8,necessarily,bad,necessarily_bad,n't,n't_necessarily_bad,borrowing between horror movies is n't necessarily bad - last year 's insidious had,Borrowing between horror movies is n't necessarily bad - last year 's INSIDIOUS had a good amount of inspirations whilst still being were able to be very stressful - but it
pcc_eng_07_104.5335_x1673630_33:6-7-8,necessarily,bad,necessarily_bad,n't,n't_necessarily_bad,"after all , sources are n't necessarily bad or evil : some of them","After all , sources are n't necessarily bad or evil : some of them are very good , very charming people ."
pcc_eng_00_034.9274_x0548079_28:6-7-8,necessarily,bad,necessarily_bad,n't,n't_necessarily_bad,"cooper 's comments here were n't necessarily bad in their own right , but","Cooper 's comments here were n't necessarily bad in their own right , but it 's also understandable why they sparked a backlash , especially as she did n't provide the context of what she was talking about on air ."
pcc_eng_25_085.9833_x1375408_18:5-6-7,necessarily,bad,necessarily_bad,n't,n't_necessarily_bad,"packaged foods themselves are n't necessarily bad for us , but americans tend","Packaged foods themselves are n't necessarily bad for us , but Americans tend to consume frozen pizzas and microwave dinners , which can be high in fats and salts ."
pcc_eng_06_100.9819_x1617272_128:4-5-6,necessarily,bad,necessarily_bad,n't,n't_necessarily_bad,Sugar itself is n't necessarily bad .,Sugar itself is n't necessarily bad .
pcc_eng_06_029.3655_x0458946_12:3-4-5,necessarily,bad,necessarily_bad,n't,n't_necessarily_bad,"this is n't necessarily bad , but it should be treated","This is n't necessarily bad , but it should be treated as a means to an end ."
pcc_eng_02_003.4922_x0040192_008:4-5-6,necessarily,bad,necessarily_bad,n't,n't_necessarily_bad,these minerals are n't necessarily bad ( we often try to include,These minerals are n't necessarily bad ( we often try to include these things in our diets after all ) .
pcc_eng_28_016.7677_x0255141_08:18-19-20,necessarily,bad,necessarily_bad,n't,n't_necessarily_bad,"it ; being an outlier is n't necessarily bad , but it 's often not","This girl knows it , you know it , I know it ; being an outlier is n't necessarily bad , but it 's often not good , especially as kids are growing up and bullying happens at the slightest differences ."
pcc_eng_05_083.6070_x1336947_10:15-16-17,necessarily,bad,necessarily_bad,n't,n't_necessarily_bad,their initial expectations ( which is n't necessarily bad ) ; a few demolished their,The vast majority of companies were well below their initial expectations ( which is n't necessarily bad ) ; a few demolished their expectations ( on the upside . )
pcc_eng_28_077.1578_x1231863_016:16-17-18,necessarily,bad,necessarily_bad,n't,n't_necessarily_bad,"made that global warming "" is n't necessarily bad . ""","Some customers are also upset about another remark Mackey made that global warming "" is n't necessarily bad . """
pcc_eng_17_080.8542_x1290450_08:3-4-5,necessarily,bad,necessarily_bad,n't,n't_necessarily_bad,this is n't necessarily bad ; i think you could 've,This is n't necessarily bad ; I think you could 've said the same thing about i Pods .
pcc_eng_01_070.7445_x1128314_51:11-12-13,necessarily,bad,necessarily_bad,n't,n't_necessarily_bad,to add that land contracts are n't necessarily bad .,But Faller is quick to add that land contracts are n't necessarily bad .
pcc_eng_22_055.1901_x0875690_041:4-5-6,necessarily,bad,necessarily_bad,n't,n't_necessarily_bad,"these stories are n't necessarily bad , because it 's always fun","These stories are n't necessarily bad , because it 's always fun to follow up with these characters we know and love , and see what they were doing after Return of the Jedi ."
pcc_eng_11_011.0238_x0162185_070:13-14-15,necessarily,bad,necessarily_bad,n't,n't_necessarily_bad,"suppose ' expecting something ' is n't necessarily bad , is it ?","If she is , then I suppose ' expecting something ' is n't necessarily bad , is it ?"
pcc_eng_04_072.2405_x1150610_18:3-4-5,necessarily,bad,necessarily_bad,n't,n't_necessarily_bad,"this is n't necessarily bad or wrong , though it may","This is n't necessarily bad or wrong , though it may be limiting ."
pcc_eng_06_028.0623_x0437817_42:3-4-5,necessarily,bad,necessarily_bad,n't,n't_necessarily_bad,"battlelog is n't necessarily bad , but it 's definitely worth","Battlelog is n't necessarily bad , but it 's definitely worth bringing up , even though it does n't really have anything to do with Battlefield 3 itself ."
pcc_eng_17_077.3621_x1233967_05:20-21-22,necessarily,bad,necessarily_bad,n't,n't_necessarily_bad,"with satan , "" which is n't necessarily bad , but does feel like the","The album begins on an underwhelming and largely forgettable note with "" One With Satan , "" which is n't necessarily bad , but does feel like the band are simply going through the motions ."
pcc_eng_08_044.8163_x0709099_23:5-6-7,necessarily,bad,necessarily_bad,n't,n't_necessarily_bad,"the what happens is n't necessarily bad , but transitioning into a focus","The what happens is n't necessarily bad , but transitioning into a focus on plot gives Prisoners ' second half a different tone than its first ."
pcc_eng_18_018.1037_x0277116_28:4-5-6,necessarily,bad,necessarily_bad,n't,n't_necessarily_bad,Those complaints are n't necessarily bad for us .,Those complaints are n't necessarily bad for us .
pcc_eng_07_100.4160_x1606562_12:6-7-8,necessarily,bad,necessarily_bad,n't,n't_necessarily_bad,not to say they were n't necessarily bad for the environment and our goal,"Not to say they were n't necessarily bad for the environment and our goal of global sustainability , but they certainly did n't help ."
pcc_eng_26_008.2907_x0117661_33:5-6-7,necessarily,bad,necessarily_bad,n't,n't_necessarily_bad,"cheap hd cameras are n't necessarily bad , but bear in mind that","Cheap HD cameras are n't necessarily bad , but bear in mind that cameras which record onto SD card will have memory restrictions which will limit the amount of recordings your camera can capture ."
pcc_eng_18_012.2492_x0182190_21:11-12-13,necessarily,bad,necessarily_bad,n't,n't_necessarily_bad,", full - price offers are n't necessarily bad for flippers .","But according to Gordon , full - price offers are n't necessarily bad for flippers ."
pcc_eng_16_025.8209_x0401806_54:7-8-9,necessarily,bad,necessarily_bad,n't,n't_necessarily_bad,"this means that heavy activity is n't necessarily bad , only that it 's somewhat","This means that heavy activity is n't necessarily bad , only that it 's somewhat suspicious ."
pcc_eng_01_041.2426_x0650411_64:5-6-7,necessarily,bad,necessarily_bad,n't,n't_necessarily_bad,but the ego is n't necessarily bad ; it 's just another disguise,"But the ego is n't necessarily bad ; it 's just another disguise that spirit wears , albeit a convincing one ."
pcc_eng_25_009.7691_x0142075_137:4-5-6,necessarily,bad,necessarily_bad,n't,n't_necessarily_bad,"these changes are n't necessarily bad , but the end result is","These changes are n't necessarily bad , but the end result is that their game is taking a rather different form to ours ."
nyt_eng_19990227_0141_43:18-19-20,necessarily,bad,necessarily_bad,n't,n't_necessarily_bad,"their own team , which is n't necessarily bad considering that their second-string crew and","`` The New Zealanders do n't have anybody to race but their own team , which is n't necessarily bad considering that their second-string crew and boat are probably way better than 90 percent of everybody else . ''"
