hit_id,adv_form_lower,adj_form_lower,bigram_lower,neg_form_lower,all_forms_lower,text_window,token_str
pcc_eng_23_082.3124_x1313960_10:09-10-11,particularly,comfortable,particularly_comfortable,n't,n't_particularly_comfortable,"honest , though , i was n't particularly comfortable writing it , because it felt","To be honest , though , I was n't particularly comfortable writing it , because it felt as if I was attempting to cash in on the Topic of the Day ."
pcc_eng_24_108.02358_x1735685_30:3-4-5,particularly,comfortable,particularly_comfortable,n't,n't_particularly_comfortable,"this is n't particularly comfortable , either , though , since","This is n't particularly comfortable , either , though , since you have to reach over the control pad to press the screen ."
pcc_eng_20_033.4794_x0525142_15:10-11-12,particularly,comfortable,particularly_comfortable,n't,n't_particularly_comfortable,of the time our people are n't particularly comfortable going to health services to be,""" A lot of the time our people are n't particularly comfortable going to health services to be treated by non-Indigenous health workers because there 's a lack of trust based not just what happened in the past , but what still happens everyday , "" Ms Rind said ."
nyt_eng_20000111_0200_35:6-7-8,particularly,comfortable,particularly_comfortable,n't,n't_particularly_comfortable,"`` mainstream white audiences are n't particularly comfortable with that , '' bochco said","`` Mainstream white audiences are n't particularly comfortable with that , '' Bochco said ."
pcc_eng_21_028.1554_x0438887_073:5-6-7,particularly,comfortable,particularly_comfortable,n't,n't_particularly_comfortable,My false lashes were n't particularly comfortable either .,My false lashes were n't particularly comfortable either .
nyt_eng_20000301_0451_13:13-15-16,particularly,comfortable,particularly_comfortable,n't,n't_particularly_comfortable,they might discuss that wo n't be particularly comfortable for coaches .,we know there are some issues that they might discuss that wo n't be particularly comfortable for coaches .
pcc_eng_04_104.6121_x1673855_057:20-21-22,particularly,comfortable,particularly_comfortable,n't,n't_particularly_comfortable,got a sense that lauren is n't particularly comfortable with bo needing to feed off,"Lauren seemed very frustrated with Bo in this episode , and we again got a sense that Lauren is n't particularly comfortable with Bo needing to feed off of other people ."
nyt_eng_20061110_0260_7:5-6-7,particularly,comfortable,particularly_comfortable,n't,n't_particularly_comfortable,"`` the chairs were n't particularly comfortable , just folding chairs , but","`` The chairs were n't particularly comfortable , just folding chairs , but everyone was really engaged ."
pcc_eng_val_1.5121_x08377_38:7-8-9,particularly,comfortable,particularly_comfortable,n't,n't_particularly_comfortable,"however , sometimes we parents are n't particularly comfortable with that .","However , sometimes we parents are n't particularly comfortable with that ."
pcc_eng_19_024.9127_x0386008_166:15-16-17,particularly,comfortable,particularly_comfortable,n't,n't_particularly_comfortable,wear one -- that they are n't particularly comfortable ?,What could be a good reason not to wear one -- that they are n't particularly comfortable ?
pcc_eng_09_080.7146_x1289509_03:16-17-18,particularly,comfortable,particularly_comfortable,n't,n't_particularly_comfortable,"them , and they really are n't particularly comfortable for casual rides around town .","Few people take racing bikes on the road with them , and they really are n't particularly comfortable for casual rides around town ."
pcc_eng_25_081.3191_x1300344_52:27-28-29,particularly,comfortable,particularly_comfortable,n't,n't_particularly_comfortable,there - a player who is n't particularly comfortable playing as the furthest midfielder forward,"Chelsea had 3 players deep in that zone ( Lampard Mikel Meireles ) , while Barcelona only really had Xavi there - a player who is n't particularly comfortable playing as the furthest midfielder forward ."
pcc_eng_19_073.3734_x1169188_19:13-14-15,particularly,comfortable,particularly_comfortable,n't,n't_particularly_comfortable,configurations and a unisex shirt is n't particularly comfortable for me as a person with,Different size bodies need different fit configurations and a unisex shirt is n't particularly comfortable for me as a person with boobs .
pcc_eng_00_033.0952_x0518621_24:15-16-17,particularly,comfortable,particularly_comfortable,n't,n't_particularly_comfortable,"suggested that the front seat was n't particularly comfortable , and he was n't completely","An enthusiast friend at the park with us suggested that the front seat was n't particularly comfortable , and he was n't completely wrong about that as the wind did begin to sting at top speeds ."
pcc_eng_05_046.4068_x0734964_27:13-14-15,particularly,comfortable,particularly_comfortable,n't,n't_particularly_comfortable,family law attorney that you are n't particularly comfortable with rarely makes sense .,Hiring a top-rated Tampa divorce or family law attorney that you are n't particularly comfortable with rarely makes sense .
pcc_eng_00_044.7713_x0707372_5:4-5-6,particularly,comfortable,particularly_comfortable,n't,n't_particularly_comfortable,"the armor is n't particularly comfortable , but it will definitely do","The armor is n't particularly comfortable , but it will definitely do its job when the time comes ."
pcc_eng_00_009.8915_x0143484_022:3-4-5,particularly,comfortable,particularly_comfortable,n't,n't_particularly_comfortable,"he was n't particularly comfortable , but he went along with","He was n't particularly comfortable , but he went along with us and did what he has always done as my dad ."
