hit_id,adv_form_lower,adj_form_lower,bigram_lower,neg_form_lower,all_forms_lower,text_window,token_str
pcc_eng_22_083.9064_x1340163_40:4-5-6,particularly,surprising,particularly_surprising,n't,n't_particularly_surprising,"that figure is n't particularly surprising , but it can often be","That figure is n't particularly surprising , but it can often be forgotten ."
pcc_eng_05_008.4340_x0120692_64:3-4-5,particularly,surprising,particularly_surprising,n't,n't_particularly_surprising,"that is n't particularly surprising , considering the statistics around unintended","That is n't particularly surprising , considering the statistics around unintended pregnancy ."
pcc_eng_15_037.1174_x0583983_08:4-5-6,particularly,surprising,particularly_surprising,n't,n't_particularly_surprising,"the findings are n't particularly surprising , as i os is seen","The findings are n't particularly surprising , as i OS is seen as the more polished , fashionable option when compared to Android , and many of the cities with the most obvious i OS preferences are not only tech hubs , but also fashion hubs ."
pcc_eng_27_022.0502_x0340328_23:08-09-10,particularly,surprising,particularly_surprising,n't,n't_particularly_surprising,this point of view it is n't particularly surprising to find a computer lurking in,From this point of view it is n't particularly surprising to find a computer lurking in the complexities of a nonlinear differential equation .
pcc_eng_28_078.9515_x1260901_20:5-8-9,particularly,surprising,particularly_surprising,n't,n't_particularly_surprising,"so the results should n't have been particularly surprising , even though most people are","So the results should n't have been particularly surprising , even though most people are going around acting surprised ."
pcc_eng_10_044.3938_x0702128_26:13-14-15,particularly,surprising,particularly_surprising,n't,n't_particularly_surprising,"want to flip tables but is n't particularly surprising , minnesotans united for all families","In news that is making me want to flip tables but is n't particularly surprising , Minnesotans United for All Families ( OH THE IRONY ! ) , the state 's LGBT / marriage equality group , is using their PAC to support candidates that ..."
pcc_eng_11_091.5342_x1465521_07:6-7-8,particularly,surprising,particularly_surprising,n't,n't_particularly_surprising,"that it 's gut-wrenching is n't particularly surprising when you consider that , tragically","That it 's gut-wrenching is n't particularly surprising when you consider that , tragically , the topic of cancer ( no play on "" Tropic of Cancer "" intended , smart asses ) has probably ever been more relevant ."
pcc_eng_27_051.8994_x0822628_14:17-19-20,particularly,surprising,particularly_surprising,n't,n't_particularly_surprising,but i suppose it should n't be particularly surprising that someone who prides himself in,"I do n't know what kind of logic that is , but I suppose it should n't be particularly surprising that someone who prides himself in being the most right -wing politician made a comparison so bafflingly idiotic ."
pcc_eng_11_017.8037_x0271811_1:3-4-5,particularly,surprising,particularly_surprising,n't,n't_particularly_surprising,This is n't particularly surprising .,This is n't particularly surprising .
pcc_eng_20_030.4012_x0475356_27:08-09-10,particularly,surprising,particularly_surprising,n't,n't_particularly_surprising,"in hindsight , the result is n't particularly surprising or counterintuitive , "" adds biogeochemist",""" In hindsight , the result is n't particularly surprising or counterintuitive , "" adds biogeochemist Lee Kump of Pennsylvania State University , University Park , in an e-mail to Science ."
pcc_eng_29_032.5808_x0509698_1:3-4-5,particularly,surprising,particularly_surprising,n't,n't_particularly_surprising,it is n't particularly surprising that india are right on top,"It is n't particularly surprising that India are right on top , say M J Manohar Rao and Srinivas Bhogle , as they deserve to be after winning the World Cup ."
pcc_eng_14_081.3028_x1298314_5:6-7-8,particularly,surprising,particularly_surprising,n't,n't_particularly_surprising,its stay of execution is n't particularly surprising given the fact that it was,Its stay of execution is n't particularly surprising given the fact that it was only officially completed three years ago .
pcc_eng_05_038.0096_x0599334_37:19-20-21,particularly,surprising,particularly_surprising,n't,n't_particularly_surprising,"in my rankings , this is n't particularly surprising .","And seeing as how Ben and Majesty had my two worst performances in my rankings , this is n't particularly surprising ."
pcc_eng_24_089.7768_x1435727_20:6-7-8,particularly,surprising,particularly_surprising,n't,n't_particularly_surprising,johnson said the results were n't particularly surprising .,Johnson said the results were n't particularly surprising .
pcc_eng_17_101.5193_x1624769_03:3-4-5,particularly,surprising,particularly_surprising,n't,n't_particularly_surprising,this is n't particularly surprising for a man who does not,"This is n't particularly surprising for a man who does not fully understand literally anything , up to and including how to keep ..."
