hit_id,adv_form_lower,adj_form_lower,bigram_lower,neg_form_lower,all_forms_lower,text_window,token_str
pcc_eng_24_103.3833_x1656424_31:06-13-14,remotely,close,remotely_close,few,few_remotely_close,"make matters worse , few of the games have even been remotely close .","To make matters worse , few of the games have even been remotely close ."
pcc_eng_29_002.9098_x0030818_25:30-31-32,remotely,close,remotely_close,n't,n't_remotely_close,jumbled because the subtable name is n't remotely close to the one in the sfd,"Incidentally , when I open the OTF in FF , I do see the Ligature lookup there , but I think something got jumbled because the subtable name is n't remotely close to the one in the SFD file ."
pcc_eng_17_050.4256_x0798425_12:11-12-13,remotely,close,remotely_close,n't,n't_remotely_close,in all wars since 1945 is n't remotely close to those numbers .,The number of dead in all wars since 1945 is n't remotely close to those numbers .
pcc_eng_11_064.8218_x1032848_277:2-4-5,remotely,close,remotely_close,n't,n't_remotely_close,would n't be remotely close .,would n't be remotely close .
pcc_eng_01_068.3546_x1089543_59:3-4-5,remotely,close,remotely_close,n't,n't_remotely_close,it was n't remotely close to a full roster .,It was n't remotely close to a full roster .
pcc_eng_16_024.9451_x0387583_119:7-8-9,remotely,close,remotely_close,n't,n't_remotely_close,"working in a security role is n't remotely close to my profession , so i","Working in a security role is n't remotely close to my profession , so I 'm not worried about not getting hired as head of security at PT ."
pcc_eng_14_005.7279_x0076569_11:26-27-28,remotely,close,remotely_close,n't,n't_remotely_close,"into the united states ' is n't remotely close to being a "" muslim ban","In reality , of course , Trump 's executive order on ' Protecting the Nation from Foreign Terrorist Entry Into The United States ' is n't remotely close to being a "" Muslim ban "" ."
pcc_eng_28_071.3175_x1137678_015:4-6-7,remotely,close,remotely_close,n't,n't_remotely_close,the pistons are n't even remotely close to embarking on any of the,The Pistons are n't even remotely close to embarking on any of the four proven paths to a championship .
pcc_eng_02_039.4178_x0621583_30:09-10-11,remotely,close,remotely_close,n't,n't_remotely_close,"my name ( the signature was n't remotely close to mine ) , went up","He signed my name ( the signature was n't remotely close to mine ) , went up the street to the Credit Union , and cashed it ."
pcc_eng_25_084.0132_x1343552_12:5-7-8,remotely,close,remotely_close,n't,n't_remotely_close,"okay , those are n't even remotely close to hall of fame-type stats ,","Okay , those are n't even remotely close to Hall of Fame-type stats , but the NASCAR Hall of Fame is n't just for drivers ."
pcc_eng_23_088.6710_x1416814_125:19-21-22,remotely,close,remotely_close,n't,n't_remotely_close,first round draft pick is n't even remotely close to being accurate .,"A : First of all , the rumor that we were offered a first round draft pick is n't even remotely close to being accurate ."
pcc_eng_13_007.1674_x0099469_409:11-13-14,remotely,close,remotely_close,n't,n't_remotely_close,( even though it was n't even remotely close to showing the reality of what,"The picture sold it , ( even though it was n't even remotely close to showing the reality of what were BRINE SHRIMP ! )"
pcc_eng_13_036.8988_x0580354_103:24-26-27,remotely,close,remotely_close,n't,n't_remotely_close,"through , the vegetables were n't even remotely close to browned , charred , or","In all cases , the problem was that in the time it took my chicken to finish cooking through , the vegetables were n't even remotely close to browned , charred , or crisp in any way ."
pcc_eng_19_048.9812_x0774459_40:09-10-11,remotely,close,remotely_close,n't,n't_remotely_close,not against a defense that is n't remotely close to its high ranking -- built,And certainly not against a defense that is n't remotely close to its high ranking -- built on the backs of cupcakes .
pcc_eng_07_059.5193_x0945933_40:4-6-7,remotely,close,remotely_close,n't,n't_remotely_close,it just is n't even remotely close to the illustrated color .,It just is n't even remotely close to the illustrated color .
pcc_eng_06_102.2814_x1638352_49:11-13-14,remotely,close,remotely_close,n't,n't_remotely_close,for and advertising bitcoin is n't even remotely close to being the same as using,"1st factors initially , shopping for and advertising Bitcoin is n't even remotely close to being the same as using the stock exchange to buy or promote stocks ."
pcc_eng_06_031.5819_x0494745_05:5-7-8,remotely,close,remotely_close,n't,n't_remotely_close,Usually the margin is n't even remotely close .,Usually the margin is n't even remotely close .
pcc_eng_03_008.8463_x0126923_17:17-18-19,remotely,close,remotely_close,n't,n't_remotely_close,", then our stock portfolio was n't remotely close to flat , but rather had","So when we consider the purchasing power of the dollar , then our stock portfolio was n't remotely close to flat , but rather had dropped by a staggering 70 % in fourteen years , from 919 to 274 ."
