hit_id,bigram_lower,adj_form_lower,all_forms_lower,adv_form_lower,text_window,token_str
pcc_eng_24_071.5270_x1140776_30:25-26,remotely_close,close,(+)_remotely_close,remotely,any hope of action in the us remotely close to what is adequate .,And this is exactly what climate and energy messaging needs to be if there is to be any hope of action in the US remotely close to what is adequate .
pcc_eng_00_032.5171_x0509372_41:21-22,remotely_close,close,(+)_remotely_close,remotely,the world for your words to be remotely close to the truth .,There are way too many players of the sport in countries all over the world for your words to be remotely close to the truth .
pcc_eng_23_044.7709_x0707253_25:17-18,remotely_close,close,(+)_remotely_close,remotely,year is the only other beyer even remotely close to you and cashier 's dream's,* Raging Fever 's 101 in the slop last year is the only other Beyer even remotely close to You and Cashier 's Dream's .
pcc_eng_14_010.3187_x0150586_06:18-19,remotely_close,close,(+)_remotely_close,remotely,"infant child , and anyone that was remotely close to him .","Max Payne 1 and 2 took Max 's wife , infant child , and anyone that was remotely close to him ."
pcc_eng_15_093.4135_x1493815_049:26-27,remotely_close,close,(+)_remotely_close,remotely,dabbling into a career which is even remotely close to being a comedian .,But in reality you should really tell them that they should keep their day job and refrain from dabbling into a career which is even remotely close to being a comedian .
pcc_eng_21_081.5360_x1301617_47:34-35,remotely_close,close,(+)_remotely_close,remotely,thing that makes me feel anything even remotely close to real in this world is,"And still , I will go out and pick up guys , let them use me , make me dirty all over again because the only thing that makes me feel anything even remotely close to real in this world is the guilt ."
pcc_eng_27_054.8077_x0869672_30:21-22,remotely_close,close,(+)_remotely_close,remotely,have written a novel that came even remotely close to the quality of the hunt,"Authors , myself being one of them , would give almost anything to have written a novel that came even remotely close to the quality of THE HUNT FOR RED OCTOBER ."
pcc_eng_18_090.7325_x1453185_09:6-7,remotely_close,close,(+)_remotely_close,remotely,the only argument that is remotely close to positive for why we should,The only argument that is remotely close to positive for why we should arbitrarily plop time into the future once every year in the dead of night is that it keeps the daylight within an average person 's normal hours of activity .
pcc_eng_15_080.5283_x1285328_14:12-13,remotely_close,close,(+)_remotely_close,remotely,"free someone like this from having anything remotely close to a "" consciousness of what","What happens when you free someone like this from having anything remotely close to a "" Consciousness of what is good or bad ? """
pcc_eng_11_009.8803_x0143700_12:18-19,remotely_close,close,(+)_remotely_close,remotely,there are only two fighters who appear remotely close to being able to challenge the,Looking at the top of the 140 - pound division there are only two fighters who appear remotely close to being able to challenge the Michigan native Mayweather .
pcc_eng_23_058.0969_x0922761_028:57-58,remotely_close,close,(+)_remotely_close,remotely,in hotel - like settings or anything remotely close to that .,"To the contrary , when you look at , for example , the cover of "" Time "" magazine and all of these pictures that have been released from these facilities , and so on , these children would probably argue with the notion that they 've been kept in hotel - like settings or anything remotely close to that ."
pcc_eng_20_035.6426_x0559963_25:15-16,remotely_close,close,(+)_remotely_close,remotely,/ espionage mash - up than anything remotely close to what a mythos writer like,"It 's more akin to survival horror / espionage mash - up than anything remotely close to what a Mythos writer like Chambers , Bierce , Lovecraft et al would have written ."
pcc_eng_23_081.3568_x1298427_17:8-9,remotely_close,close,(+)_remotely_close,remotely,belt swing at any pitch that 's remotely close to the strike zone ?,Belt swing at any pitch that 's remotely close to the strike zone ?
pcc_eng_00_022.3843_x0345507_017:11-12,remotely_close,close,(+)_remotely_close,remotely,to imagine any republican administration surviving anything remotely close to fast and furious .,It is difficult to imagine any Republican administration surviving anything remotely close to Fast and Furious .
