hit_id,bigram_lower,adj_form_lower,all_forms_lower,adv_form_lower,text_window,token_str
pcc_eng_20_081.5746_x1301796_19:12-13,terribly_wrong,wrong,(+)_terribly_wrong,terribly,"british man and a science experiment goes terribly wrong , you are narrarated by your","You are a rich british man and a science experiment goes terribly wrong , you are narrarated by your servant as he tells you to find 24 fragments for a machine to get back home ."
pcc_eng_19_074.4559_x1186665_08:12-13,terribly_wrong,wrong,(+)_terribly_wrong,terribly,red alert i knew some thing was terribly wrong . . . . . .,I was instantly on red alert I knew some thing was terribly wrong . . . . . . . and it was .
pcc_eng_12_039.7520_x0626770_09:7-8,terribly_wrong,wrong,(+)_terribly_wrong,terribly,"i feel what he did was terribly wrong , stalker - ish behavior disrespectful","I feel what he did was terribly wrong , stalker - ish behavior disrespectful of the author 's personal decision to conceal her identity ."
pcc_eng_07_080.1170_x1278449_05:4-5,terribly_wrong,wrong,(+)_terribly_wrong,terribly,"something could go terribly wrong -- terrorists could , like ,","Something could go terribly wrong -- terrorists could , like , kidnap the whole class and , like , do mean stuff -- and Bryan and John could go into action to save them . """
pcc_eng_28_041.0801_x0648291_03:5-6,terribly_wrong,wrong,(+)_terribly_wrong,terribly,after a seance goes terribly wrong and a woman ends up dead,"After a seance goes terribly wrong and a woman ends up dead , an evil force slips into the land of the living ."
pcc_eng_01_064.5917_x1028479_18:10-11,terribly_wrong,wrong,(+)_terribly_wrong,terribly,'s been an illustration of just how terribly wrong things are .,""" It 's been an illustration of just how terribly wrong things are ."
pcc_eng_26_029.6358_x0462701_13:5-6,terribly_wrong,wrong,(+)_terribly_wrong,terribly,something would have seemed terribly wrong if the minnesota product left the,Something would have seemed terribly wrong if the Minnesota product left the Twins .
pcc_eng_13_013.5223_x0202181_05:27-28,terribly_wrong,wrong,(+)_terribly_wrong,terribly,"made his home ever since things went terribly wrong in his life , and chained","Aggie James is disturbed because someone has snatched him from the streets of San Francisco , where he 's made his home ever since things went terribly wrong in his life , and chained him up in an underground realm of mutants who keep taking away his fellow prisoners and killing them one by one ."
pcc_eng_20_075.6220_x1205734_04:3-4,terribly_wrong,wrong,(+)_terribly_wrong,terribly,something is terribly wrong with the way women are treated,"Something is terribly wrong with the way women are treated in India , the world 's largest democracy ."
pcc_eng_28_092.1948_x1475262_069:6-7,terribly_wrong,wrong,(+)_terribly_wrong,terribly,"i missed something terribly , terribly wrong with my engines .","I missed something terribly , terribly wrong with my engines ."
pcc_eng_28_008.7425_x0125112_037:22-23,terribly_wrong,wrong,(+)_terribly_wrong,terribly,proof that the community really has something terribly wrong with it .,I wonder whether such a low rate as 5 in a million is actually proof that the community really has something terribly wrong with it .
nyt_eng_19951105_0130_27:40-41,terribly_wrong,wrong,(+)_terribly_wrong,terribly,"war : `` we were wrong , terribly wrong . ''","she was referring to McNamara 's recent book , `` In Retrospect : The Tragedy and Lessons of Vietman , '' in which he said of the American role in the Vietnam War : `` We were wrong , terribly wrong . ''"
pcc_eng_22_011.3257_x0166637_04:7-8,terribly_wrong,wrong,(+)_terribly_wrong,terribly,"and then things went terribly , terribly wrong .","And then things went terribly , terribly wrong ."
pcc_eng_22_015.4049_x0232352_06:4-5,terribly_wrong,wrong,(+)_terribly_wrong,terribly,but something 's terribly wrong .,But something 's terribly wrong .
pcc_eng_29_045.9540_x0726110_18:20-21,terribly_wrong,wrong,(+)_terribly_wrong,terribly,media assess this problem and get it terribly wrong .,"Every year I write about this issue , because every year the media assess this problem and get it terribly wrong ."
pcc_eng_24_009.8115_x0142232_08:18-19,terribly_wrong,wrong,(+)_terribly_wrong,terribly,a humorous story where an infatuation goes terribly wrong .,"It 's called "" What Happened to Hadji , "" a humorous story where an infatuation goes terribly wrong ."
