hit_id,adv_form_lower,adj_form_lower,bigram_lower,neg_form_lower,all_forms_lower,text_window,token_str
pcc_eng_01_095.3632_x1525890_40:46-47-48,that,bad,that_bad,n't,n't_that_bad,"utley claimed , "" really was n't that bad of a pitch . ""","Lowe called it the type of game that would cause him to "" lose sleep at night , "" considering that the result boiled down to a fielding error and two bad pitches -- the first of which , Utley claimed , "" really was n't that bad of a pitch . """
pcc_eng_29_048.6751_x0769923_22:5-6-7,that,bad,that_bad,n't,n't_that_bad,"oh , they were n't that bad you unique little snowflake .","Oh , they were n't that bad you unique little Snowflake ."
pcc_eng_val_1.8117_x13186_06:5-6-7,that,bad,that_bad,n't,n't_that_bad,And enjoying school is n't THAT bad .,And enjoying school is n't THAT bad .
pcc_eng_00_009.2558_x0133356_28:19-20-21,that,bad,that_bad,n't,n't_that_bad,feel smug because my children are n't that bad after all .,I will pretend it 's a documentary and then allow myself to feel smug because my children are n't that bad after all .
pcc_eng_16_028.3151_x0442240_08:45-47-48,that,bad,that_bad,n't,n't_that_bad,i realise that that was n't really that bad either - and i was so,"I 've had so many of these experiences in my life , and almost every time I challenge myself I get so happy when I 'm out on the other side , and sometimes I might fail but then I realise that that was n't really that bad either - and I was so happy that I actually tried it ."
pcc_eng_09_092.2967_x1477129_122:3-5-6,that,bad,that_bad,n't,n't_that_bad,travelling was n't all that bad when i could eat bread and,Travelling was n't all that bad when I could eat bread and crackers and things .
pcc_eng_28_075.9358_x1212119_24:13-14-15,that,bad,that_bad,n't,n't_that_bad,first time and surprisingly it was n't that bad .,I tried cow tongue for the first time and surprisingly it was n't that bad .
pcc_eng_01_068.3753_x1089879_299:49-51-52,that,bad,that_bad,n't,n't_that_bad,", so , it ca n't be that bad . """,""" Send a shiver down my spine because that was the one thing a lot of people were holding on to : well , things may be bad , but at least we 're catching lots and we 're catching more every year , so , it ca n't be that bad . """
pcc_eng_21_102.1612_x1634668_186:09-10-11,that,bad,that_bad,n't,n't_that_bad,"was right , getting out was n't that bad .","Maybe Baby was right , getting out was n't that bad ."
pcc_eng_00_032.5773_x0510371_33:3-4-5,that,bad,that_bad,n't,n't_that_bad,"he was n't that bad a guy , "" sings woods","He was n't that bad a guy , "" sings Woods ."
pcc_eng_19_015.4339_x0232968_16:25-27-28,that,bad,that_bad,n't,n't_that_bad,"gulf coast , it was n't all that bad for lying , he says .","Although Hurricane Katrina took nearly 2,000 lives and racked up more than $ 100 billion in damages across the Gulf coast , it was n't all that bad for lying , he says ."
