hit_id,adv_form_lower,adj_form_lower,bigram_lower,neg_form_lower,all_forms_lower,text_window,token_str
pcc_eng_22_083.5293_x1334009_03:22-23-24,that,familiar,that_familiar,hardly,hardly_that_familiar,"the 53 - man roster are hardly that familiar : brice butler , j.j. nelson","The names of those competing for playing time and / or just a spot on the 53 - man roster are hardly that familiar : Brice Butler , J.J. Nelson , Chad Williams , Greg Little , Christian Kirk and Trent Sherfield , among others ."
pcc_eng_12_008.9736_x0128922_08:12-14-15,that,familiar,that_familiar,n't,n't_that_familiar,some of the fathers are n't actually that familiar with many aspects of menstruation themselves,And it quickly becomes apparent that some of the fathers are n't actually that familiar with many aspects of menstruation themselves -- which understandably makes it difficult to teach someone else about it :
pcc_eng_05_008.2887_x0118324_2:18-19-20,that,familiar,that_familiar,n't,n't_that_familiar,trunk and pointy tusks just are n't that familiar .,"Drawing elephants can be tricky : the big ears , dangling trunk and pointy tusks just are n't that familiar ."
pcc_eng_10_013.3521_x0199655_08:37-39-40,that,familiar,that_familiar,n't,n't_that_familiar,many of the designers were n't even that familiar with menswear ) in only one,"No one seemed overly enthusiastic about their new teams , and the challenge 's specifications - three cohesive , tear- away exotic-dancer outfits for Magic Mike - esque figures ( when many of the designers were n't even that familiar with menswear ) in only one day - had the designers pretty stressed ."
pcc_eng_01_090.3779_x1445208_065:07-09-10,that,familiar,that_familiar,n't,n't_that_familiar,"enough , my kids are n't all that familiar with the story or the source","Oddly enough , my kids are n't all that familiar with the story or the source material , and resultingly , Felix described the movie as "" weird . """
pcc_eng_05_083.0956_x1328571_109:21-23-24,that,familiar,that_familiar,n't,n't_that_familiar,"daley , and i was n't all that familiar with the busking scene .","I did n't think I would have much in common with the protagonist , Christine Daley , and I was n't all that familiar with the busking scene ."
pcc_eng_20_088.6899_x1416664_13:08-10-11,that,familiar,that_familiar,n't,n't_that_familiar,"said earlier , i was n't really that familiar with the talking heads music before","Like I said earlier , I was n't really that familiar with the Talking Heads music before I watched this film ."
pcc_eng_27_108.05506_x1740366_7:23-25-26,that,familiar,that_familiar,n't,n't_that_familiar,"prose , something i was n't all that familiar with when i started out .","As well as providing the warm - up exercises , it also helped with honing the erotic prose , something I was n't all that familiar with when I started out ."
pcc_eng_04_076.1566_x1213787_07:13-14-15,that,familiar,that_familiar,n't,n't_that_familiar,"to people who at first were n't that familiar with their catalog , "" said","That made them legendary , even to people who at first were n't that familiar with their catalog , "" said Greg Gonzalez of the young , Grammy - winning Latino - funk fusion band Grupo Fantasma ."
pcc_eng_08_072.3167_x1154696_11:49-50-51,that,familiar,that_familiar,n't,n't_that_familiar,"a nice guy , just is n't that familiar w/ these kinds of software ,","Then , there 's the whole audio deal - I 'm fairly capable when it comes to using i Tunes ( like relocating the i Tunes Library ) , & other media players , etc. , but - my technician , while a nice guy , just is n't that familiar w/ these kinds of software , unfortunately , which makes things difficult - i Tunes tells me I do n't have "" rights "" to do things like relocate the Library , set the "" default media player "" , etc. , but he does n't always know a whole lot about how to do these kinds of things ."
pcc_eng_21_096.3263_x1540156_06:28-30-31,that,familiar,that_familiar,n't,n't_that_familiar,"feeling that sally field was n't all that familiar with "" between two ferns ""","You never know just how much these actors understand what they 're in for , and for some reason I get the feeling that Sally Field was n't all that familiar with "" Between Two Ferns "" before sitting down -- though I do admire her brave admission that she hates pennies ."
pcc_eng_03_088.2637_x1413085_74:6-7-8,that,familiar,that_familiar,n't,n't_that_familiar,but tablada said he was n't that familiar with the waterkeeper lawsuit or the,But Tablada said he was n't that familiar with the Waterkeeper lawsuit or the contention that farmer Alan Hudson had altered his plan .
pcc_eng_22_088.0220_x1406727_057:13-15-16,that,familiar,that_familiar,n't,n't_that_familiar,", and hungary honestly was n't all that familiar with these parts .","There were a lot of hotels around , and Hungary honestly was n't all that familiar with these parts ."
pcc_eng_11_062.1207_x0989191_31:11-13-14,that,familiar,that_familiar,n't,n't_that_familiar,"culture that younger japanese are n't all that familiar with , however .","It 's part of the culture that younger Japanese are n't all that familiar with , however ."
pcc_eng_10_042.7140_x0674978_23:28-30-31,that,familiar,that_familiar,n't,n't_that_familiar,"said : "" i was n't really that familiar with xyz except for ' inside","Speaking about what current GREAT WHITE singer Terry Ilous ( also of XYZ ) adds to the band 's sound , Kendall said : "" I was n't really that familiar with XYZ except for ' Inside Out ' , ' cause I remember that ..."
pcc_eng_02_086.1077_x1375939_07:17-18-19,that,familiar,that_familiar,n't,n't_that_familiar,", revealing , "" i was n't that familiar with her destiny 's","Barnes also shed light on Solange 's role as matchmaker , revealing , "" I was n't that familiar with her Destiny 's"
pcc_eng_19_074.7228_x1190941_001:12-13-14,that,familiar,that_familiar,n't,n't_that_familiar,"the premier league , but are n't that familiar with the teams involved , here","For those interested in following the Premier League , but are n't that familiar with the teams involved , here 's a brief capsule look at the 20 teams who currently constitute the first division of British soccer ."
pcc_eng_test_3.05669_x43552_11:35-39-40,that,familiar,that_familiar,n't,n't_that_familiar,for someone who has n't always been all that familiar with the position .,"NEW YORK -- Todd Frazier has some sizable shoes to fill for the Reds at third base , and manager Dusty Baker thinks the youngster is doing a formidable job for someone who has n't always been all that familiar with the position ."
pcc_eng_23_003.7765_x0044678_15:09-10-11,that,familiar,that_familiar,n't,n't_that_familiar,"shakespearean expressions , this one is n't that familiar now , though it was n't","Unlike many Shakespearean expressions , this one is n't that familiar now , though it was n't unusual in the literary writings of a hundred years ago ."
pcc_eng_24_089.0043_x1423242_07:07-09-10,that,familiar,that_familiar,n't,n't_that_familiar,", durant claims he is n't all that familiar with him .","However , Durant claims he is n't all that familiar with him ."
pcc_eng_29_086.3956_x1379323_11:5-7-8,that,familiar,that_familiar,n't,n't_that_familiar,for people who are n't all that familiar with casinos on the net or,"For people who are n't all that familiar with casinos on the net or Best Internet Blackjack Tournaments , you are able to practice with hundreds of free games out there to play ."
pcc_eng_23_008.9385_x0128126_3:14-15-16,that,familiar,that_familiar,n't,n't_that_familiar,"musical theater , so i was n't that familiar with sarah brightman .","I 've never been a fan of musical theater , so I was n't that familiar with Sarah Brightman ."
pcc_eng_10_072.4522_x1155057_01:16-19-20,that,familiar,that_familiar,n't,n't_that_familiar,city whose members are n't actually all that familiar with panic !,Panic ! at Del Friscosis a comedy team from New York City whose members are n't actually all that familiar with Panic !
pcc_eng_20_037.9368_x0597105_16:4-5-6,that,familiar,that_familiar,n't,n't_that_familiar,"those who are n't that familiar with washington dc , thought that","Those who are n't that familiar with Washington DC , thought that "" Adams Morgan travel agent "" meant that I worked at an agency called Adams Morgan ."
pcc_eng_14_031.6580_x0495381_2:12-13-14,that,familiar,that_familiar,n't,n't_that_familiar,"introduction , but if you are n't that familiar , you obviously do n't watch","This tragic figure needs no introduction , but if you are n't that familiar , you obviously do n't watch TV as his music is ravaged in every goddamn commercial from tampoons to shamwows ."
pcc_eng_05_033.0141_x0518594_08:37-38-39,that,familiar,that_familiar,n't,n't_that_familiar,even most memphians -- still are n't that familiar with the details of stax .,"It is a primer , but with so much attention given to Stax locally this year , it 's easy to forget that most people -- most music fans , even most Memphians -- still are n't that familiar with the details of Stax ."
pcc_eng_13_005.0461_x0065191_036:6-7-8,that,familiar,that_familiar,n't,n't_that_familiar,cjf : i actually was n't that familiar with other versions .,CJF : I actually was n't that familiar with other versions .
pcc_eng_24_037.1328_x0584150_23:6-7-8,that,familiar,that_familiar,n't,n't_that_familiar,"many of the animals are n't that familiar to us , and we have","Many of the animals are n't that familiar to us , and we have different cultural perceptions of others ."
nyt_eng_19970727_0064_31:14-16-17,that,familiar,that_familiar,never,never_that_familiar,"saints for many years , never was that familiar with zolak , who is starting","Smith , offensive coordinator for the New Orleans Saints for many years , never was that familiar with Zolak , who is starting his seventh year with the Patriots ."
pcc_eng_09_090.7017_x1451366_66:3-4-5,that,familiar,that_familiar,not,not_that_familiar,I am not that familiar with them .,I am not that familiar with them .
pcc_eng_19_079.3124_x1265124_5:07-10-11,that,familiar,that_familiar,not,not_that_familiar,showed that eaton was not really all that familiar with the bones of people of,Later analysis showed that Eaton was not really all that familiar with the bones of people of the Andes .
