hit_id,adv_form_lower,adj_form_lower,bigram_lower,neg_form_lower,all_forms_lower,text_window,token_str
pcc_eng_26_034.9973_x0549508_021:17-18-19,that,interested,that_interested,n't,n't_that_interested,"he decide that he just was n't that interested in running , at which time","Prinz did a couple of laps around the paddock before he decide that he just was n't that interested in running , at which time he came right up to me and said he was ready to go ."
pcc_eng_21_099.3645_x1589233_074:5-7-8,that,interested,that_interested,n't,n't_that_interested,"my little guy was n't really that interested in them , they blended in","My little guy was n't really that interested in them , they blended in so well ."
pcc_eng_06_105.3983_x1688756_34:11-12-13,that,interested,that_interested,n't,n't_that_interested,"a few times but i was n't that interested , but after that , i","I already was scouted a few times but I was n't that interested , but after that , I was approached by my sister 's ( Zanna Van Vorstenbosch ) agent and I thought I could give it a go . """
pcc_eng_11_081.1111_x1296735_10:12-14-15,that,interested,that_interested,n't,n't_that_interested,first time and she was n't really that interested but she told us that we,We went to teach her the first time and she was n't really that interested but she told us that we could come back .
pcc_eng_08_103.1356_x1653659_09:08-10-11,that,interested,that_interested,n't,n't_that_interested,"bf and my sister was n't really that interested in going there at first ,","Well my bf and my sister was n't really that interested in going there at first , but I guess my "" shall we go or not "" questions made them decide to go ."
pcc_eng_10_076.2812_x1216735_110:14-16-17,that,interested,that_interested,n't,n't_that_interested,some reason fans just are n't all that interested in seeing him fight .,He does n't promote himself well and for some reason fans just are n't all that interested in seeing him fight .
pcc_eng_15_096.3600_x1541283_047:13-14-15,that,interested,that_interested,n't,n't_that_interested,"a request , and i was n't that interested i would either not respond or","If someone were to send me a request , and I was n't that interested I would either not respond or send it on to someone else to look at ."
nyt_eng_19991026_0274_30:4-5-6,that,interested,that_interested,n't,n't_that_interested,`` He was n't that interested in school .,`` He was n't that interested in school .
nyt_eng_19971204_0462_34:11-12-13,that,interested,that_interested,n't,n't_that_interested,"'s big three auto makers were n't that interested in the japanese market , maccarthy","until recently , America 's Big Three auto makers were n't that interested in the Japanese market , MacCarthy said ."
pcc_eng_23_005.5948_x0074161_44:09-10-11,that,interested,that_interested,n't,n't_that_interested,the remote possibility that he is n't that interested in you but chuck is going,There is the remote possibility that he is n't that interested in you but Chuck is going to discount this for 2 reasons : 1 ) you only just started seeing each other so if he was n't attracted to you he would n't have tried to chop and 2 ) Chuck has never met an unattractive Sheena .
pcc_eng_07_027.9923_x0436517_154:4-5-6,that,interested,that_interested,n't,n't_that_interested,apple probably is n't that interested in doing something like that because,Apple probably is n't that interested in doing something like that because they do n't see the type market as something that 's going to make them billions and billions of dollars .
