hit_id,adv_form_lower,adj_form_lower,bigram_lower,neg_form_lower,all_forms_lower,text_window,token_str
pcc_eng_29_039.5042_x0621713_050:14-15-16,that,uncommon,that_uncommon,n't,n't_that_uncommon,"that early season velocity issues are n't that uncommon , and they have often just","That said , we have to realize that early season velocity issues are n't that uncommon , and they have often just gone away in previous years ."
pcc_eng_29_001.4203_x0006786_017:6-7-8,that,uncommon,that_uncommon,n't,n't_that_uncommon,"and yet , it is n't that uncommon for us to meet with business","And yet , it is n't that uncommon for us to meet with business owners who feel very ..."
pcc_eng_17_001.9533_x0015379_06:5-6-7,that,uncommon,that_uncommon,n't,n't_that_uncommon,"however , it is n't that uncommon for a defective product to actually","However , it is n't that uncommon for a defective product to actually be a defective medical device ."
pcc_eng_21_070.9373_x1130192_23:4-5-6,that,uncommon,that_uncommon,n't,n't_that_uncommon,unofficial refurbs are n't that uncommon when it comes to devices that,"Unofficial refurbs are n't that uncommon when it comes to devices that had long lives ( meaning not your average cell phone or something ) , the issue is when official ones with low-quality replacement parts crop up and pretend to be real ."
pcc_eng_17_079.7416_x1272578_13:16-17-18,that,uncommon,that_uncommon,n't,n't_that_uncommon,beneath the port of entry are n't that uncommon .,"As bold as it may seem , drug tunnels beneath the port of entry are n't that uncommon ."
pcc_eng_05_007.7389_x0109416_20:24-26-27,that,uncommon,that_uncommon,n't,n't_that_uncommon,"espionage , such scenarios are n't all that uncommon .","Obviously , the tool requires physical access to the network being targeted , but in cases of corporate espionage , such scenarios are n't all that uncommon ."
pcc_eng_25_005.4805_x0072964_39:3-4-5,that,uncommon,that_uncommon,n't,n't_that_uncommon,this is n't that uncommon but the thing that makes this,This is n't that uncommon but the thing that makes this a little inconvenient with this vape is that you have to turn it upside down and take out the wand to do this .
pcc_eng_09_001.6171_x0009955_23:3-4-5,that,uncommon,that_uncommon,n't,n't_that_uncommon,"it was n't that uncommon , not long ago , to","It was n't that uncommon , not long ago , to not be able to find a smartphone or a tablet in a cab , and now it 's almost pervasive . """
pcc_eng_10_020.4185_x0313847_06:15-16-17,that,uncommon,that_uncommon,n't,n't_that_uncommon,"are high , cheating really is n't that uncommon .","As it turns out , when the stakes are high , cheating really is n't that uncommon ."
pcc_eng_02_097.0985_x1553718_009:11-12-13,that,uncommon,that_uncommon,n't,n't_that_uncommon,"light colored eyes , which is n't that uncommon .","The golden retriever has light colored eyes , which is n't that uncommon ."
pcc_eng_14_092.3960_x1477563_76:3-4-5,that,uncommon,that_uncommon,n't,n't_that_uncommon,this is n't that uncommon in south east asian countries .,This is n't that uncommon in South East Asian countries .
pcc_eng_11_018.9725_x0290580_04:13-15-16,that,uncommon,that_uncommon,n't,n't_that_uncommon,miva merchant 5 modules are n't really that uncommon .,Even 5 year old licenses of our Miva Merchant 5 modules are n't really that uncommon .
pcc_eng_00_019.1102_x0292414_03:15-16-17,that,uncommon,that_uncommon,n't,n't_that_uncommon,"or "" god mode "" are n't that uncommon .","Now , demos played on easy difficulty settings or "" god mode "" are n't that uncommon ."
pcc_eng_14_006.7199_x0092462_224:3-4-5,that,uncommon,that_uncommon,n't,n't_that_uncommon,"this is n't that uncommon , and we made an appointment","This is n't that uncommon , and we made an appointment to have him checked out , not a big deal ."
pcc_eng_03_086.2803_x1381027_03:20-21-22,that,uncommon,that_uncommon,n't,n't_that_uncommon,"bully , but unfortunately that was n't that uncommon . ""","Affleck said , "" I knew he was sleazy and kind of a bully , but unfortunately that was n't that uncommon . """
pcc_eng_03_006.2407_x0084714_053:7-8-9,that,uncommon,that_uncommon,n't,n't_that_uncommon,visiting him in a hospital was n't that uncommon .,Visiting him in a hospital was n't that uncommon .
pcc_eng_12_005.6912_x0075476_09:24-26-27,that,uncommon,that_uncommon,n't,n't_that_uncommon,"to bottom , upsets are n't all that uncommon . [ + ]","You wo n't find any runaway favorites in the betting lines , and with such parity from top to bottom , upsets are n't all that uncommon . [ + ]"
pcc_eng_03_087.1263_x1394705_28:6-7-8,that,uncommon,that_uncommon,n't,n't_that_uncommon,apparently that constipation stuff is n't that uncommon - i 've heard of a,"Apparently that constipation stuff is n't that uncommon - I 've heard of a baby that only goes once every 10 - 14 days , and when it does it is a veritable Vesuvius of Poo ."
pcc_eng_08_047.1282_x0746667_043:53-54-55,that,uncommon,that_uncommon,n't,n't_that_uncommon,"because things like binge drinking are n't that uncommon on campus , "" she said",""" I interviewed an older student who has her own recovery community off campus , but she said that when you are younger and you 're realizing you have addiction issues , it is really easy to blend in or get away with dangerously addictive behavior because things like binge drinking are n't that uncommon on campus , "" she said ."
pcc_eng_08_104.1147_x1669562_101:5-6-7,that,uncommon,that_uncommon,n't,n't_that_uncommon,Long dry spells are n't that uncommon .,Long dry spells are n't that uncommon .
