hit_id,bigram_lower,adj_form_lower,all_forms_lower,adv_form_lower,text_window,token_str
pcc_eng_18_005.4403_x0071975_01:5-6,that_bad,bad,(+)_that_bad,that,is government borrowing really that bad ?,Is government borrowing really that bad ?
nyt_eng_19980720_0032_17:8-9,that_bad,bad,(+)_that_bad,that,"`` i guarantee you , it was that bad .","`` I guarantee you , it was that bad ."
pcc_eng_08_041.6841_x0658484_432:3-4,that_bad,bad,(+)_that_bad,that,"we 're that bad off that people go , ""","We 're that bad off that people go , "" If you do n't the Book of Revelation the way I do you 're not a Christian . """
pcc_eng_29_047.0426_x0743571_57:4-5,that_bad,bad,(+)_that_bad,that,""" he is that bad ?",""" He is that bad ?"
pcc_eng_23_104.4525_x1672244_3:6-7,that_bad,bad,(+)_that_bad,that,is the astros bullpen really that bad ? [ mlb ],Is the Astros bullpen really that bad ? [ MLB ]
pcc_eng_02_102.3088_x1638227_011:12-13,that_bad,bad,(+)_that_bad,that,and catchy phrase but is sitting really that bad for you ?,It 's a shocking and catchy phrase but is sitting really that bad for you ?
pcc_eng_03_088.4585_x1416278_15:30-31,that_bad,bad,(+)_that_bad,that,the writers of the show just suck that bad .,"Goggles is the obvious brains of the operation , and he 's either better than anyone at tracking his targets , or the writers of the show just suck that bad ."
pcc_eng_04_025.0830_x0389169_07:11-12,that_bad,bad,(+)_that_bad,that,loud squealing and grinding noises are really that bad ?,Are you sure loud squealing and grinding noises are really that bad ?
pcc_eng_09_024.7292_x0384217_50:17-18,that_bad,bad,(+)_that_bad,that,if being a quick burn is really that bad .,"While definitely a negative , you have to wonder if being a quick burn is really that bad ."
pcc_eng_11_078.8971_x1261006_03:4-5,that_bad,bad,(+)_that_bad,that,did it flop that bad ?,Did it flop that bad ?
pcc_eng_27_084.9285_x1357309_38:46-47,that_bad,bad,(+)_that_bad,that,panthers ( if it should ever get that bad for them ) .,"The only way he keeps it is if the Vikings manage to make the playoffs , which still seems like an uphill battle knowing that the tie breaker is already lost against the Bucs and Falcons ... and Panthers ( if it should ever get that bad for them ) ."
