hit_id,bigram_lower,adj_form_lower,all_forms_lower,adv_form_lower,text_window,token_str
nyt_eng_20060609_0267_32:5-6,that_big,big,(+)_that_big,that,"`` when you get that big , it means each individual horse","`` When you get that big , it means each individual horse is getting less attention , and I think that shows up this time of year . ''"
apw_eng_19981114_0941_6:13-14,that_big,big,(+)_that_big,that,"what it would be like to be that big , to have senses that sharp","`` I tried to imagine what it would be like to be that big , to have senses that sharp , to have that prodigious a memory , to know that you are imperiled , '' Gowdy said in an interview ."
nyt_eng_19991023_0101_16:17-18,that_big,big,(+)_that_big,that,"percent of new houses were at least that big , and many were much ,","by the second quarter of this year , 17 percent of new houses were at least that big , and many were much , much bigger , according to the National Association of Home Builders ."
nyt_eng_20070728_0175_6:6-7,that_big,big,(+)_that_big,that,lead singer sting described seeing that big a crowd from the air :,lead singer Sting described seeing that big a crowd from the air : `` I was almost sick with fear . ''
pcc_eng_12_080.5674_x1285498_38:5-6,that_big,big,(+)_that_big,that,"could it really be that big , or could it , in","Could it really be that big , or could it , in fact , be two buildings ."
pcc_eng_04_077.5827_x1236997_26:24-25,that_big,big,(+)_that_big,that,"the c&c figures are going to be that big , it really messes up the","I suppose it bodes well for Despero that he will be that large - but if the C&C figures are going to be that big , it really messes up the scale of some of the other figures ."
pcc_eng_22_049.4828_x0783457_077:09-10,that_big,big,(+)_that_big,that,"often thought , if only i was that big , i could be that tough","I often thought , if only I was that big , I could be that tough ."
pcc_eng_00_107.08728_x1728595_30:09-10,that_big,big,(+)_that_big,that,"'m so emotionally involved , it 's that big for me . ""","I 'm so emotionally involved , it 's that big for me . """
nyt_eng_20050221_0208_16:5-6,that_big,big,(+)_that_big,that,las vegas has grown that big .,Las Vegas has grown that big .
pcc_eng_08_002.9081_x0031002_15:6-7,that_big,big,(+)_that_big,that,how did their britches get that big ?,How did their britches get that big ?
pcc_eng_18_064.3804_x1026112_15:6-7,that_big,big,(+)_that_big,that,why would you make it that big for the chocolate river ?,Why would you make it that big for the chocolate river ?
nyt_eng_19990923_0493_14:7-8,that_big,big,(+)_that_big,that,`` i think this series is that big . '',`` I think this series is that big . ''
pcc_eng_15_023.7457_x0367622_15:4-5,that_big,big,(+)_that_big,that,"when you are that big , you know you are that","When you are that big , you know you are that big , and I just was not motivated to really do anything about it except just accept that "" it was the way it was "" ."
