key,f,dP1,LRC,P1,G2,l1,l2,f1,f2,N,exp_f,unexp_f,unexp_r,dP2,P2,adv,adv_total,adj,adj_total,odds_r_disc,t,MI
NEGany~yet_clear,10406,0.5003404,8.431216,0.99951977,14363.3726276,NEGATED,yet_clear,3173681,10411,6347362,5205.5,5200.5,0.49975976,0.003277267,0.0032788424,yet,53779,clear,83958,3.2783675,50.980392,0.30082136
NEGany~yet_ready,7501,0.5000583,8.063356,0.999467,10344.7104148,NEGATED,yet_ready,3173681,7505,6347362,3752.5,3748.5,0.49973336,0.0023622413,0.0023635016,yet,53779,ready,29641,3.2229626,43.281063,0.30079848
NEGany~yet_available,7430,0.50004756,8.049614,0.99946195,10246.1923587,NEGATED,yet_available,3173681,7434,6347362,3717.0,3713.0,0.49973083,0.0023398697,0.00234113,yet,53779,available,81972,3.218823,43.07552,0.30079624
NEGany~yet_complete,2174,0.49971145,6.702455,0.9995402,2998.5653023,NEGATED,yet_complete,3173681,2175,6347362,1087.5,1086.5,0.49977002,0.00068469386,0.000685009,yet,53779,complete,8263,3.1615655,23.302362,0.30083027
NEGany~yet_sure,1977,0.49965015,6.564761,0.99949443,2725.5264101,NEGATED,yet_sure,3173681,1978,6347362,989.0,988.0,0.4997471,0.00062262086,0.00062293594,yet,53779,sure,134058,3.1202958,22.22049,0.30081037
NEGany~yet_certain,866,0.50006825,5.5978703,1.0,1200.6490852,NEGATED,yet_certain,3173681,866,6347362,433.0,433.0,0.5,0.00027286925,0.00027286925,yet,53779,certain,11301,3.238917,14.713939,0.30103
NEGany~yet_final,640,0.5000504,5.156348,1.0,887.2929284,NEGATED,yet_final,3173681,640,6347362,320.0,320.0,0.5,0.00020165858,0.00020165858,yet,53779,final,1212,3.1076367,12.649111,0.30103
NEGany~yet_public,467,0.5000368,4.6942687,1.0,647.4338282,NEGATED,yet_public,3173681,467,6347362,233.5,233.5,0.5,0.00014714774,0.00014714774,yet,53779,public,2592,2.9708755,10.805092,0.30103
NEGany~yet_eligible,448,0.5000353,4.6331778,1.0,621.0914961,NEGATED,yet_eligible,3173681,448,6347362,224.0,224.0,0.5,0.00014116101,0.00014116101,yet,53779,eligible,2531,2.9528537,10.583005,0.30103
NEGany~yet_ripe,380,0.5000299,4.3905425,1.0,526.8146082,NEGATED,yet_ripe,3173681,380,6347362,190.0,190.0,0.5,0.00011973478,0.00011973478,yet,53779,ripe,1454,2.8814366,9.746795,0.30103
