hit_id,adv_form_lower,adj_form_lower,bigram_lower,neg_form_lower,all_forms_lower,text_window,token_str
pcc_eng_08_072.3870_x1155826_18:15-16-17,yet,complete,yet_complete,n't,n't_yet_complete,that 's because the investigation is n't yet complete .,A representative involved in the case told Fortune that 's because the investigation is n't yet complete .
pcc_eng_19_017.8587_x0271979_08:15-16-17,yet,complete,yet_complete,n't,n't_yet_complete,that the liberation of libya is n't yet complete because one town in western libya,Yet the head of Libya's Congress recently declared that the liberation of Libya is n't yet complete because one town in western Libya - Bani Walid still remains an outpost for Gaddafi loyalists .
pcc_eng_11_062.5054_x0995404_16:4-5-6,yet,complete,yet_complete,n't,n't_yet_complete,"that process is n't yet complete , but she is close to","That process is n't yet complete , but she is close to returning to the form that made her a collegiate standout ."
pcc_eng_13_008.1314_x0115165_01:13-14-15,yet,complete,yet_complete,n't,n't_yet_complete,"directors involved in this project is n't yet complete , so there 's certainly a","It looks like the list of directors involved in this project is n't yet complete , so there 's certainly a chance that a black woman director will be join effort ."
pcc_eng_10_078.5113_x1252774_10:14-15-16,yet,complete,yet_complete,n't,n't_yet_complete,"of anonymity because the trade is n't yet complete , said the teams discussed a","The person , who spoke on condition of anonymity because the trade is n't yet complete , said the teams discussed a swap of late- round picks in 2013 while the Raiders would also pick up another Day 3 draft selection ."
pcc_eng_26_080.9247_x1292193_02:5-6-7,yet,complete,yet_complete,n't,n't_yet_complete,while track repairs are n't yet complete ( please sign up for shifts,While Track repairs are n't yet complete ( please sign up for shifts this weekend ) our High School League students will be going through orientation and starting to get the feel of things on the grounds starting tomorrow .
pcc_eng_01_090.3493_x1444727_13:7-8-9,yet,complete,yet_complete,n't,n't_yet_complete,"the revised downtown bettendorf streets are n't yet complete , but gas station / convenience","The revised downtown Bettendorf streets are n't yet complete , but gas station / convenience store developers are already moving to re-establish their presence along the busy State and Grant Street corridors ."
pcc_eng_02_045.5271_x0720347_21:17-18-19,yet,complete,yet_complete,not,not_yet_complete,homosexual women but those results are not yet complete .,Savic said the group is also doing a study involving homosexual women but those results are not yet complete .
pcc_eng_16_036.4662_x0573996_09:13-14-15,yet,complete,yet_complete,not,not_yet_complete,to the for-sale inventory that is not yet complete .,"Additionally , new starts are adding to the for-sale inventory that is not yet complete ."
pcc_eng_11_059.1531_x0940938_27:24-25-26,yet,complete,yet_complete,not,not_yet_complete,"soil "" in a democratic project not yet complete .","Obama said concepts like minority rights and equality under the law "" grew out of this rocky soil "" in a democratic project not yet complete ."
pcc_eng_28_023.4498_x0362656_34:4-5-6,yet,complete,yet_complete,not,not_yet_complete,The roster is not yet complete .,The roster is not yet complete .
pcc_eng_10_016.7681_x0254643_120:92-93-94,yet,complete,yet_complete,not,not_yet_complete,"started in 1894 ; it is not yet complete , "" the washington star ,","For more detailed biographical information on Wetmore , see Paul H. Oehser , "" In Memoriam : Alexander Wetmore , "" The Auk , July 1980 , vol . 97 , no. 3 , pp. 608-615 ; S. Dillon Ripley and James A. Steed , "" Alexander Wetmore , June 18 , 1886 - December 7 , 1978 , "" National Academy of Sciences , Biographical Memoirs , vol. 56 , pp. 597-626 , 1987 ; and John Sherwood , "" His Field Notebook Was Started in 1894 ; It Is Not Yet Complete , "" The Washington Star , Thursday , 13 January 1977 ."
pcc_eng_25_030.1314_x0471393_06:17-18-19,yet,complete,yet_complete,not,not_yet_complete,"'s reforms , which is mostly not yet complete , proposals for new measures are","Despite this volume of regulatory work to implement the DFA 's reforms , which is mostly not yet complete , proposals for new measures are being put forward , including ..."
