hit_id,adv_form_lower,adj_form_lower,bigram_lower,neg_form_lower,all_forms_lower,text_window,token_str
pcc_eng_01_098.2653_x1572518_11:25-26-27,yet,ready,yet_ready,n't,n't_yet_ready,made up of men who are n't yet ready to hang up the spikes .,"And in recent years , they 've been joined by over - 40 and over - 50 teams made up of men who are n't yet ready to hang up the spikes ."
pcc_eng_26_006.3217_x0085795_061:3-4-5,yet,ready,yet_ready,n't,n't_yet_ready,I was n't yet ready to lose her .,I was n't yet ready to lose her .
pcc_eng_14_089.0776_x1423655_21:08-09-10,yet,ready,yet_ready,n't,n't_yet_ready,", fla. , resident kimbrough was n't yet ready to shine when he pulled into","Pace , Fla. , resident Kimbrough was n't yet ready to shine when he pulled into Bradenton Motorsports Park for the first points meet of the year , but it gave him an ample opportunity to get things in order for his big win at Gainesville the following weekend ."
pcc_eng_00_069.0322_x1099538_48:40-41-42,yet,ready,yet_ready,n't,n't_yet_ready,online idea ; people just were n't yet ready to buy expensive goods without personally,"The other Jeff started a web department store called Cybershop , but at a time when trust in Internet sales was still low , it was too early for his high - end online idea ; people just were n't yet ready to buy expensive goods without personally checking them out ( unlike a basic commodity like books , which do n't vary in quality -- Bezos ' great insight ) ."
pcc_eng_26_008.9617_x0128582_38:21-22-23,yet,ready,yet_ready,n't,n't_yet_ready,it did simply because he is n't yet ready .,As a coming - out party it could barely have gone better ending when it did simply because he is n't yet ready .
pcc_eng_18_087.1726_x1395444_21:19-20-21,yet,ready,yet_ready,n't,n't_yet_ready,"to drugs and devices that are n't yet ready for clinical trials , or that","The program allows physicians to apply on behalf of patients for access to drugs and devices that are n't yet ready for clinical trials , or that are in trials that the patients do n't qualify for ."
pcc_eng_10_017.9587_x0273951_48:11-12-13,yet,ready,yet_ready,n't,n't_yet_ready,seem to matter ; zuckerberg is n't yet ready to pull the plug on his,But it does n't seem to matter ; Zuckerberg is n't yet ready to pull the plug on his grand experiment .
pcc_eng_02_007.2656_x0101170_16:3-4-5,yet,ready,yet_ready,n't,n't_yet_ready,milieu is n't yet ready for commercial marketing but it has,"Milieu is n't yet ready for commercial marketing but it has already attracted international interest with Dr Sayer invited to present his work at the Science Museum , the Institute of Contemporary Arts and University of California , Santa Barbara ."
pcc_eng_06_026.2525_x0408717_10:13-14-15,yet,ready,yet_ready,n't,n't_yet_ready,", trump made clear he is n't yet ready to give up the spotlight .","As Clinton prepared to make news , Trump made clear he is n't yet ready to give up the spotlight ."
pcc_eng_23_083.4587_x1332531_11:5-6-7,yet,ready,yet_ready,n't,n't_yet_ready,sarri believes hazard is n't yet ready for 90 minutes after his exertions,"Sarri believes Hazard is n't yet ready for 90 minutes after his exertions with Belgium at the World Cup , but acknowledged his side will be a different prospect once his star man is up to speed ."
pcc_eng_14_041.5812_x0655694_23:13-14-15,yet,ready,yet_ready,n't,n't_yet_ready,"second base , but he was n't yet ready to be a regular .","The A's shifted him back to second base , but he was n't yet ready to be a regular ."
pcc_eng_04_106.2004_x1699518_07:5-6-7,yet,ready,yet_ready,n't,n't_yet_ready,"while the mass-market is n't yet ready , the most health - aware","While the mass-market is n't yet ready , the most health - aware 20 % of the population certainly is ."
pcc_eng_17_051.2970_x0812660_35:49-50-51,yet,ready,yet_ready,n't,n't_yet_ready,the world ; our bodies are n't yet ready for virtual reality ;,"The massive internet outage in October , for example , was traced back to ' smart ' home gadgets ; drones , while cool for some things , can also kill you if you happen to be on the wrong side of the world ; our bodies are n't yet ready for virtual reality ;"
pcc_eng_16_026.6442_x0415095_38:12-13-14,yet,ready,yet_ready,n't,n't_yet_ready,"account linking , but you are n't yet ready to set these options , ignore","If your skill will need account linking , but you are n't yet ready to set these options , ignore this section and proceed to Permissions below it ."
pcc_eng_20_038.4755_x0605674_120:23-24-25,yet,ready,yet_ready,not,not_yet_ready,"the creek , as he was not yet ready to venture into deep water .","Mr. Swift headed her toward the open sea , but stopped just before passing out of the creek , as he was not yet ready to venture into deep water ."
pcc_eng_24_071.4621_x1139757_21:4-5-6,yet,ready,yet_ready,not,not_yet_ready,"if you are not yet ready to comply with these conditions ,","If you are not yet ready to comply with these conditions , you may remain a provisional member for a maximum of 12 months ."
pcc_eng_17_104.8987_x1679600_14:4-5-6,yet,ready,yet_ready,not,not_yet_ready,""" we are not yet ready to replace the ngos , """,""" We are not yet ready to replace the NGOs , "" Haiti 's minister of planning and external coordination minister Jude Herve Day told AFP , admitting that the outside groups bring services the state is not able to provide ."
pcc_eng_02_001.7188_x0011713_19:31-32-33,yet,ready,yet_ready,not,not_yet_ready,a sign of life and are not yet ready to concede that it is too,"Three days after floodwaters rushed through the city of Mocoa , the authorities said they would check any report of movement that could be a sign of life and are not yet ready to concede that it is too late to find anyone alive from the list of more than 200 people missing ."
pcc_eng_27_024.3586_x0377504_05:32-33-34,yet,ready,yet_ready,not,not_yet_ready,"the beginner stage , but are not yet ready for elite- level challenges .","It is described as an intermediate level track and could appeal to those who show up in their cycle clothing having long since left behind the beginner stage , but are not yet ready for elite- level challenges ."
pcc_eng_16_020.5986_x0317493_01:33-34-35,yet,ready,yet_ready,not,not_yet_ready,must admit that the jlp is not yet ready to hold the reins and that,"While I have huge dislike for the PNP as a government , given their inability to address crime and generate growth in the economy , I must admit that the JLP is not yet ready to hold the reins and that is sad ."
nyt_eng_19961128_0241_5:37-38-39,yet,ready,yet_ready,not,not_yet_ready,"$ 300 christmas bonus , were not yet ready to ask their members to move","but truckers ' union representatives , saying employers were dragging their feet by refusing to offer more than a 1 percent basic salary increase next year on top of a $ 300 Christmas bonus , were not yet ready to ask their members to move their trucks away from the roadblocks ."
pcc_eng_20_005.4583_x0071880_33:5-6-7,yet,ready,yet_ready,not,not_yet_ready,"i know you are not yet ready to name your partners , but","I know you are not yet ready to name your partners , but can you tell me in general terms where the support for this is coming from ?"
apw_eng_19970712_0241_14:27-28-29,yet,ready,yet_ready,not,not_yet_ready,the three former soviet republics were not yet ready to join .,"Denmark was NATO 's strongest supporter of mmbership for Lithuania , Latvia and Estonia , but the United States said the three former Soviet republics were not yet ready to join ."
pcc_eng_09_002.3777_x0022306_28:7-8-9,yet,ready,yet_ready,not,not_yet_ready,said clarkson : ` `i 'm not yet ready to tell you just what our,"Said Clarkson : ` `I 'm not yet ready to tell you just what our ideas might be , but we intend to try to work together to do something for the country ."
pcc_eng_14_096.6933_x1547108_14:5-6-7,yet,ready,yet_ready,not,not_yet_ready,i think he 's not yet ready for esc but i really really,I think he 's not yet ready for ESC but I really really liked this .
pcc_eng_21_095.2533_x1522772_23:35-36-37,yet,ready,yet_ready,not,not_yet_ready,regime - a conflict it was not yet ready for .,"As if having these problems on the "" Algerian front "" was not enough , the LIFG found itself being dragged into a conflict with Colonel Qaddafi 's regime - a conflict it was not yet ready for ."
pcc_eng_22_076.0313_x1212660_8:6-7-8,yet,ready,yet_ready,not,not_yet_ready,"although the aegis parka is not yet ready for prime time , its design","Although the Aegis Parka is not yet ready for prime time , its design suggests that the urge to augment the protective functionality of garments is not limited to aerospace or military applications ."
pcc_eng_06_026.0813_x0405897_35:14-15-16,yet,ready,yet_ready,not,not_yet_ready,""" after all and some are not yet ready for the new world today .","This is "" From the new world "" after all and some are not yet ready for the new world today ."
