key,f,exp_f,unexp_f,dP1,LRC,G2,t,MI,odds_r_disc,N,f1,f2,l1,l2,adv,adj,adj_total
NEG~yet_clear,10553,399.60147,10153.39853,0.9496546,10.256124,67924.564,98.83789,1.4217489,3.288074,86330752,3226213,10693,NEGATED,yet_clear,yet,clear,491108.0
NEG~yet_ready,7611,292.90904,7318.0909599999995,0.93375295,9.226288,48012.056,83.883575,1.414709,2.936445,86330752,3226213,7838,NEGATED,yet_ready,yet,ready,240297.0
NEG~exactly_sure,8860,347.5819,8512.4181,0.91531396,8.63298,54750.583,90.434906,1.4063766,2.714651,86330752,3226213,9301,NEGATED,exactly_sure,exactly,sure,844981.0
NEG~exactly_new,1378,52.991199,1325.008801,0.9344362,8.535967,8697.9342,35.693913,1.4150455,2.9430687,86330752,3226213,1418,NEGATED,exactly_new,exactly,new,321311.0
NEG~yet_complete,2220,86.475059,2133.524941,0.92203206,8.423197,13815.985,45.281544,1.4094621,2.782249,86330752,3226213,2314,NEGATED,yet_complete,yet,complete,107018.0
NEG~that_uncommon,804,30.606341,773.393659,0.94432354,8.388086,5136.9086,27.275492,1.4194447,3.126234,86330752,3226213,819,NEGATED,that_uncommon,that,uncommon,61767.0
NEG~necessarily_indicative,1406,54.411273,1351.588727,0.9283046,8.3722515,8811.6892,36.04557,1.4122964,2.855969,86330752,3226213,1456,NEGATED,necessarily_indicative,necessarily,indicative,12760.0
NEG~yet_sure,1990,77.543538,1912.456462,0.9216879,8.367841,12379.792,42.87114,1.4093075,2.7781951,86330752,3226213,2075,NEGATED,yet_sure,yet,sure,844981.0
NEG~exactly_easy,1069,41.107418,1027.892582,0.9344597,8.366482,6747.6435,31.438288,1.4150575,2.9419456,86330752,3226213,1100,NEGATED,exactly_easy,exactly,easy,771307.0
NEG~exactly_clear,1759,68.574647,1690.425353,0.9212323,8.301097,10937.156,40.305386,1.4091022,2.772896,86330752,3226213,1835,NEGATED,exactly_clear,exactly,clear,491108.0
NEG~exactly_cheap,693,26.308747,666.691253,0.94701236,8.281741,4443.2697,25.325506,1.4206331,3.1913736,86330752,3226213,704,NEGATED,exactly_cheap,exactly,cheap,83765.0
NEG~that_surprising,1141,44.358641,1096.641359,0.92388916,8.140517,7115.3004,32.465477,1.4103074,2.801108,86330752,3226213,1187,NEGATED,that_surprising,that,surprising,150067.0
NEG~that_common,1216,47.385642,1168.614358,0.9216337,8.124286,7564.0765,33.512314,1.4092869,2.776048,86330752,3226213,1268,NEGATED,that_common,that,common,556435.0
NEG~yet_certain,874,33.745453,840.254547,0.9305242,8.120708,5491.4099,28.422033,1.4132962,2.882987,86330752,3226213,903,NEGATED,yet_certain,yet,certain,104544.0
NEG~that_hard,9966,404.27277,9561.72723,0.8839828,7.955296,59642.824,95.780235,1.3918464,2.4801192,86330752,3226213,10818,NEGATED,that_hard,that,hard,430990.0
NEG~that_complicated,1208,47.460382,1160.539618,0.91382414,7.95031,7450.8932,33.390774,1.4057357,2.6974607,86330752,3226213,1270,NEGATED,that_complicated,that,complicated,180071.0
NEG~that_unusual,983,38.416751,944.583249,0.9188662,7.941036,6096.1306,30.127527,1.4080329,2.7458267,86330752,3226213,1028,NEGATED,that_unusual,that,unusual,108584.0
NEG~yet_eligible,459,17.489338,441.510662,0.94340396,7.72059,2929.1531,20.607952,1.4190394,3.0955553,86330752,3226213,468,NEGATED,yet_eligible,yet,eligible,49578.0
NEG~exactly_surprising,441,16.592449,424.407551,0.9558778,7.344853,2863.349,20.209883,1.4245281,3.5118537,86330752,3226213,444,NEGATED,exactly_surprising,exactly,surprising,150067.0
NEG~necessarily_representative,496,19.582079,476.417921,0.9092,7.3109818,3044.2713,21.391796,1.4036229,2.6520727,86330752,3226213,524,NEGATED,necessarily_representative,necessarily,representative,25187.0
NEG~necessarily_easy,914,37.220898,876.779102,0.8803105,7.261729,5448.3364,29.001274,1.3901594,2.455784,86330752,3226213,996,NEGATED,necessarily_easy,necessarily,easy,771307.0
NEG~necessarily_surprising,343,13.266485,329.733515,0.9288306,7.2216377,2150.8638,17.803936,1.4125383,2.8499944,86330752,3226213,355,NEGATED,necessarily_surprising,necessarily,surprising,150067.0
NEG~necessarily_true,3238,141.48426,3096.51574,0.8179217,6.887752,18199.758,54.417034,1.3595687,2.182532,86330752,3226213,3786,NEGATED,necessarily_true,necessarily,true,348994.0
NEG~necessarily_interested,422,17.302486,404.697514,0.8740814,6.7680545,2500.2621,19.700367,1.3872039,2.418767,86330752,3226213,463,NEGATED,necessarily_interested,necessarily,interested,364497.0
NEG~that_simple,478,78.11693572998047,399.883056640625,0.74072105,4.4774365,1483.32446,18.290226,0.78668267,1.6564794,2032082,293963,540,NEGMIR,that_simple,that,simple,27835.0
NEG~remotely_true,250,15.69556,234.30444,0.55787045,4.4640384,1089.4935,14.818714,1.2021632,1.5780478,86330752,3226213,420,NEGATED,remotely_true,remotely,true,348994.0
NEG~necessarily_wrong,213,33.70601272583008,179.2939910888672,0.7695903,4.1866527,693.546336,12.285022,0.80067223,1.7897401,2032082,293963,233,NEGMIR,necessarily_wrong,necessarily,wrong,24007.0
NEG~before_available,177,26.038978576660156,150.9610137939453,0.8387466,3.9902105,654.922651,11.346925,0.8323493,2.4771774,2032082,293963,180,NEGMIR,before_available,before,available,14919.0
NEG~that_easy,458,80.72083282470703,377.2791748046875,0.6763132,3.914479,1278.039369,17.629097,0.75387985,1.4316117,2032082,293963,558,NEGMIR,that_easy,that,easy,21775.0
NEG~remotely_close,219,43.25363540649414,175.74636840820312,0.58786696,3.0169065,524.60915,11.875838,0.70442146,1.2077285,2032082,293963,299,NEGMIR,remotely_close,remotely,close,15958.0
NEG~that_big,113,20.252538681030273,92.7474594116211,0.6625275,2.9896266,308.116945,8.724947,0.74659896,1.3876096,2032082,293963,140,NEGMIR,that_big,that,big,9564.0
NEG~remotely_close,696,95.593432,600.406568,0.23472415,2.9190304,1722.7647,22.758352,0.8621812,0.98384047,86330752,3226213,2558,NEGATED,remotely_close,remotely,close,480288.0
NEG~remotely_interested,333,46.787716,286.212284,0.22860737,2.721024,808.73838,15.684337,0.8523124,0.9705158,86330752,3226213,1252,NEGATED,remotely_interested,remotely,interested,364497.0
NEG~that_good,449,105.891845703125,343.108154296875,0.46889588,2.6490061,848.27633,16.192274,0.6273838,0.972556,2032082,293963,732,NEGMIR,that_good,that,good,38252.0
NEG~exactly_sure,148,21.554487228393555,126.44551086425781,0.84868985,2.0935638,560.650176,10.393757,0.836724,2.7676399,2032082,293963,149,NEGMIR,exactly_sure,exactly,sure,11297.0
NEG~that_great,288,83.18006896972656,204.81993103027344,0.35630938,1.9306397,406.357805,12.06913,0.5393732,0.77364814,2032082,293963,575,NEGMIR,that_great,that,great,6821.0
NEG~that_important,115,34.429317474365234,80.57068634033203,0.33857194,1.4740936,153.469359,7.513255,0.52376944,0.74284047,2032082,293963,238,NEGMIR,that_important,that,important,48905.0
