key,f,exp_f,unexp_f,dP1,P1,dP2,P2,LRC,G2,N,f1,f2,l1,l2
ever~olympic,218,0.77052741,217.22947259,0.4415263,0.44308943,0.0019072558,0.0019110234,8.230633,2141.7977,72839589,114075,492,ever,olympic
ever~quarterly,137,0.47923046,136.52076954,0.4461482,0.44771242,0.0011986404,0.0012009643,8.049468,1349.6494,72839589,114075,306,ever,quarterly
ever~watchful,416,2.9223662,413.0776338,0.22137631,0.22293676,0.0036267857,0.0036467237,7.045977,3399.8666,72839589,114075,1866,ever,watchful
ever~closer,6307,96.276774,6210.723226,0.101113774,0.10259455,0.05452961,0.05528819,6.078117,41328.734,72839589,114075,61475,ever,closer
ever~joint,195,2.2865244,192.7134756,0.13199818,0.13356164,0.0016920075,0.0017094017,5.952444,1375.5069,72839589,114075,1460,ever,joint
ever~nearer,223,2.8753828,220.1246172,0.119896606,0.12145969,0.001932675,0.0019548542,5.844856,1528.2757,72839589,114075,1836,ever,nearer
ever~vigilant,923,14.942281,908.057719,0.09518674,0.09674038,0.007972668,0.0080911685,5.8030376,5892.4531,72839589,114075,9541,ever,vigilant
ever~diminishing,71,0.69692012,70.30307988,0.15798542,0.15955056,0.00061725493,0.0006223975,5.7518163,527.77409,72839589,114075,445,ever,diminishing
ever~scarcer,82,0.85353138,81.14646862,0.14889371,0.15045871,0.0007124589,0.0007188253,5.745479,599.19191,72839589,114075,545,ever,scarcer
ever~shrinking,120,1.5488854,118.4511146,0.11977019,0.12133468,0.0010399905,0.0010519396,5.5997343,822.02436,72839589,114075,989,ever,shrinking
