key,f,exp_f,unexp_f,dP1,P1,dP2,P2,LRC,G2,N,f1,f2,l1,l2
ever~closer,281,6.3123558,274.6876442,0.07456518,0.0762344,0.025313603,0.025850967,5.081855,1611.9422,6347364,10870,3686,ever,closer
ever~mindful,53,1.3426172,51.6573828,0.06589766,0.06760204,0.0047604414,0.0048758048,4.148123,290.03981,6347364,10870,784,ever,mindful
ever~vigilant,48,1.2741163,46.7258837,0.06281097,0.06451613,0.0043059834,0.004415823,4.004279,258.13202,6347364,10870,744,ever,vigilant
ever~present,326,15.861378,310.138622,0.03353399,0.035197582,0.028580558,0.0299908,3.9510388,1370.2091,6347364,10870,9262,ever,present
ever~greater,187,11.9003148,175.0996852,0.025225442,0.026910346,0.01613616,0.017203312,3.3957462,687.30119,6347364,10870,6949,ever,greater
ever~deeper,62,3.0277388,58.9722612,0.033364646,0.035067875,0.005434538,0.005703772,3.2724953,258.76484,6347364,10870,1768,ever,deeper
ever~dull,42,2.2827917,39.7172083,0.029801613,0.031507876,0.003660105,0.0038638455,2.8304465,166.53927,6347364,10870,1333,ever,dull
ever~perfect,225,21.9767938,203.0232062,0.015852451,0.017532922,0.018709429,0.020699171,2.8240006,647.76921,6347364,10870,12833,ever,perfect
ever~final,39,2.0772891,36.9227109,0.030444987,0.03215169,0.0034025805,0.0035878564,2.7975428,156.15266,6347364,10870,1213,ever,final
ever~larger,139,12.7634259,126.2365741,0.016957598,0.018650208,0.011633222,0.012787488,2.750256,414.99036,6347364,10870,7453,ever,larger
