key,f,exp_f,unexp_f,dP1,P1,dP2,P2,LRC,G2,N,f1,f2,l1,l2
terribly~awry,180,0.56017735,179.43982265,0.25930858,0.2601156,0.0030456753,0.00305271,8.019408,1770.9699,72839589,58964,692,terribly,awry
terribly~wrong,6349,120.66803,6228.33197,0.041868623,0.042592444,0.10571498,0.10767587,5.673356,38814.139,72839589,58964,149064,terribly,wrong
terribly~amiss,64,0.72693535,63.27306465,0.07046085,0.07126949,0.0010739489,0.001085408,5.3717275,451.25092,72839589,58964,898,terribly,amiss
terribly~sorry,1262,50.653146,1211.346854,0.019375583,0.020168444,0.020560483,0.02140289,4.429067,5741.8286,72839589,58964,62573,terribly,sorry
terribly~misguided,101,3.2444954,97.7555046,0.024391439,0.025199601,0.0016592277,0.0017129096,4.0873966,501.5656,72839589,58964,4008,terribly,misguided
terribly~inefficient,198,7.8878152,190.1121848,0.019513303,0.020320198,0.00322682,0.003357981,4.049967,900.4138,72839589,58964,9744,terribly,inefficient
terribly~surprising,964,57.102472,906.897528,0.012868963,0.013666005,0.01539299,0.016348958,3.823407,3660.9681,72839589,58964,70540,terribly,surprising
terribly~sad,1241,80.206549,1160.793451,0.0117315585,0.012525106,0.019702427,0.021046741,3.7293804,4513.4963,72839589,58964,99081,terribly,sad
terribly~unfair,367,20.86013,346.13987,0.013437168,0.014241919,0.0058751153,0.006224137,3.705252,1419.1941,72839589,58964,25769,terribly,unfair
terribly~frightened,137,6.7706985,130.2293015,0.015572006,0.016379723,0.0022104133,0.0023234517,3.5957673,565.89068,72839589,58964,8364,terribly,frightened
