key,f,exp_f,unexp_f,dP1,P1,dP2,P2,LRC,G2,N,f1,f2,l1,l2
that~great,11065,1191.0860452,9873.9139548,0.21925047,0.24394277,0.06083771,0.06638628,3.4956262,32588.436,6347364,166676,45359,that,great
that~uncommon,802,83.1100186,718.8899814,0.22725075,0.2533965,0.0044294107,0.0048117307,3.3305223,2384.0897,6347364,166676,3165,that,uncommon
that~hard,9963,1183.2608365,8779.7391635,0.1962343,0.22110029,0.054096,0.059774652,3.3075254,27269.053,6347364,166676,45061,that,hard
that~big,6273,1126.8300529,5146.1699471,0.12074007,0.14618288,0.031707913,0.037635893,2.5597727,12074.722,6347364,166676,42912,that,big
that~bad,16635,3138.197539,13496.802461,0.11510261,0.13919453,0.08315998,0.09980441,2.5190349,31301.656,6347364,166676,119509,that,bad
that~simple,6219,1230.6847523,4988.3152477,0.10722729,0.13269465,0.030735297,0.03731191,2.39784,10895.68,6347364,166676,46867,that,simple
that~stupid,811,147.4973063,663.5026937,0.11822866,0.14438312,0.0040881443,0.0048657274,2.3437269,1524.3011,6347364,166676,5617,that,stupid
that~unusual,977,194.6323721,782.3676279,0.10567759,0.13181327,0.0048205256,0.0058616716,2.2206516,1679.6308,6347364,166676,7412,that,unusual
that~dumb,285,54.1987609,230.8012391,0.11185868,0.1380814,0.0014220722,0.0017099043,2.0528202,512.41164,6347364,166676,2064,that,dumb
that~easy,10231,2860.2188165,7370.7811835,0.06885116,0.09392874,0.04541476,0.061382562,1.8616555,12207.949,6347364,166676,108923,that,easy
