key,f,exp_f,unexp_f,dP1,P1,dP2,P2,LRC,G2,N,f1,f2,l1,l2
yet~unborn,372,0.68233495,371.31766505,0.7154534,0.716763,0.0038825693,0.00388459,10.135112,4318.9973,72839589,95763,519,yet,unborn
yet~unnamed,736,2.7700958,733.2299042,0.34800717,0.34931183,0.0076667937,0.0076856404,8.292905,7048.1547,72839589,95763,2107,yet,unnamed
yet~unspecified,204,0.7980295,203.2019705,0.33476716,0.3360791,0.002124719,0.002130259,7.860212,1933.2028,72839589,95763,607,yet,unspecified
yet~undetermined,297,1.4514408,295.5485592,0.26771107,0.26902175,0.003090313,0.0031014066,7.553327,2658.0341,72839589,95763,1104,yet,undetermined
yet~untitled,121,0.54166088,120.45833912,0.29237625,0.2936893,0.0012595357,0.001263536,7.37003,1107.5112,72839589,95763,412,yet,untitled
yet~unidentified,336,2.4848036,333.5151964,0.17646764,0.17777778,0.0034872994,0.003508662,6.848365,2694.3277,72839589,95763,1890,yet,unidentified
yet~unformed,53,0.32736301,52.67263699,0.21153742,0.2128514,0.0005507553,0.0005534497,6.27527,445.94375,72839589,95763,249,yet,unformed
yet~final,643,7.7042057,635.2957943,0.108420976,0.109726965,0.0066427756,0.006714493,6.196576,4494.9937,72839589,95763,5860,yet,final
yet~unannounced,129,1.1608897,127.8391103,0.1447799,0.14609286,0.0013367104,0.0013470756,6.1853986,979.33357,72839589,95763,883,yet,unannounced
yet~undiscovered,278,2.9870231,275.0129769,0.12104822,0.12235916,0.0028755888,0.0029030002,6.1774535,2006.0722,72839589,95763,2272,yet,undiscovered
