space_key,key,l2,f,exp_f,G2,odds_r_disc,dP1,dP2,P1,P2,f1,f2,N,Fyy(Of),Fyn(O12),Fny(O21),Fnn(O22),Fy_(R1),Fn_(R2),F_y(C1),F_n(C2),exp_12,exp_21,exp_22,t,dice,MI,deltaP_min,deltaP_max,deltaP_abs_max,deltaP_mean,unexp_f,unexp_r,LRC,LRC_01,LRC_05,LRC_nc,LRC_dv,f_sqrt,f1_sqrt,f2_sqrt,l1,space,space_l2,approx_meth,dataset,pos_sample,polarity,polar_l2,tpm_f,tpm_exp_f,tpm_f1,tpm_f2,tpm_unexp_f,exp_f_sqrt,N_sqrt,tpm_f_sqrt,tpm_f1_sqrt,tpm_f2_sqrt,tpm_exp_f_sqrt,tpm_unexp_f_sqrt,unexp_f_sqrt,f_m,exp_f_m,G2m,dP1m,dP2m,P1m,P2m,f1_m,f2_m,unexp_f_m,unexp_r_m,LRCm,LRC_01_m,LRC_05_m,LRC_nc_m,LRC_dv_m,f_sqrt_m,f1_sqrt_m,f2_sqrt_m,tpm_f_m,tpm_exp_f_m,tpm_f1_m,tpm_f2_m,tpm_unexp_f_m,exp_f_sqrt_m,tpm_f_sqrt_m,tpm_f1_sqrt_m,tpm_f2_sqrt_m,tpm_exp_f_sqrt_m,tpm_unexp_f_sqrt_m,unexp_f_sqrt_m,top,top_blind,top_polar
ALL+mir:NEG~sure,NEG~sure,sure,5772,1169.2778614,15139.4276085,1.4631200769,0.68605168471,0.019091003,0.85688836105,0.019785079,291735,6736,1680633,5772,285963,964,1387934,291735,1388898,6736,1673897,290565.722138623,5566.722138623,1383331.277861377,60.583114569,0.038677124,0.693408595,0.019091003,0.68605168471,0.68605168471,0.352571343855,4602.7221386,0.797422407934858,4.557348674750953,4.577227860469176,4.592096243631285,4.669171239752663,4.561168220731436,75.97367965289031,540.1249855357554,82.07313811473277,NEGMIR,ALL+mir,ALL+mir:sure,present(+),mirror,ALL,neg,neg~sure,3434.420245824044,695.7365840132856,173586.3808463835,4008.0136478338814,2738.683661810758,34.19470516615109,1296.3923017358595,58.60392688057724,416.63698929209767,63.308874953152355,26.3768190654841,32.22710781509314,41.77897448673922,66917.0,20629.01646535,155125.20116972498,0.5192180519725,0.028773566,0.8188864132825,0.030068165,1732708.0,100898.5,46287.983534650004,0.6668225485233719,4.376765563717846,4.393696075651125,4.406399420066431,4.470776267681707,4.379639657304391,216.9155965985191,1160.803897441535,258.0833654814358,8820.544760669047,4135.087538402109,304422.2360096657,9737.817548347053,4685.457222266938,113.5534852334366,85.57283311971365,510.2141636030363,92.40986801212198,53.322168978556086,32.25066414115756,103.3621113650825,both,True,True
NEQ+mir:NEG~sure,NEG~sure,sure,5772,2991.5,6521.7670704,1.4444180251,0.46954823833,0.01906182,0.96473341133,0.019785079,291735,5983,583470,5772,285963,211,291524,291735,291735,5983,577487,288743.5,2991.5,288743.5,36.598201018,0.038774948,0.285437315,0.01906182,0.46954823833,0.46954823833,0.244305029165,2780.5,0.48172210672210675,4.245161920030325,4.283271865770318,4.31198073460781,4.448322341542171,4.250903163880091,75.97367965289031,540.1249855357554,77.34985455707076,NEGMIR,NEQ+mir,NEQ+mir:sure,present(+),mirror,NEQ,neg,neg~sure,9892.53946389703,5127.084513342587,500000.00000171387,10254.169024971294,4765.454950554443,54.69460668109791,763.8520799212371,99.4612460403399,707.1067811877595,101.26287091017761,71.60366270898848,27.85758333135142,21.279072971792402,66917.0,20629.01646535,155125.20116972498,0.5192180519725,0.028773566,0.8188864132825,0.030068165,1732708.0,100898.5,46287.983534650004,0.6668225485233719,4.376765563717846,4.393696075651125,4.406399420066431,4.470776267681707,4.379639657304391,216.9155965985191,1160.803897441535,258.0833654814358,8820.544760669047,4135.087538402109,304422.2360096657,9737.817548347053,4685.457222266938,113.5534852334366,85.57283311971365,510.2141636030363,92.40986801212198,53.322168978556086,32.25066414115756,103.3621113650825,both,True,True
NEQ+sup:NEG~sure,NEG~sure,sure,128062,67029.0,139261.07,1.34659054991,0.46509604485,0.038461963,0.95527309075,0.040351251,3173681,134058,6347362,128062,3045619,5996,3167685,3173681,3173681,134058,6213304,3106652.0,67029.0,3106652.0,170.551120739,0.077431744,0.28115754,0.038461963,0.46509604485,0.46509604485,0.251779003925,61033.0,0.4765894644781434,4.308546071878575,4.31608014070201,4.321690197511918,4.354222719535148,4.3099188537257005,357.8575135441479,1781.4828093473145,366.1393177466741,NEGATED,NEQ+sup,NEQ+sup:sure,absent(-),super,NEQ,neg,neg~sure,20175.625716793842,10560.13506099069,500000.00000015757,21120.27012182384,9615.490655803153,258.8995944376893,2519.3971501134947,142.04092972377308,707.106781186659,145.32814635102122,102.76251778246137,39.2784119413117,98.95791910645858,66917.0,20629.01646535,155125.20116972498,0.5192180519725,0.028773566,0.8188864132825,0.030068165,1732708.0,100898.5,46287.983534650004,0.6668225485233719,4.376765563717846,4.393696075651125,4.406399420066431,4.470776267681707,4.379639657304391,216.9155965985191,1160.803897441535,258.0833654814358,8820.544760669047,4135.087538402109,304422.2360096657,9737.817548347053,4685.457222266938,113.5534852334366,85.57283311971365,510.2141636030363,92.40986801212198,53.322168978556086,32.25066414115756,103.3621113650825,both,True,True
ALL+sup:NEG~sure,NEG~sure,sure,128062,11326.288,459578.54,1.35067762001,0.45617624,0.038479478,0.49865079,0.040351251,3173681,256817,71961373,128062,3045619,128755,68658937,3173681,68787692,256817,71704556,3162354.712029132,245490.712029133,68542201.28797087,326.207240622,0.07466088,1.053332681,0.038479478,0.45617624,0.45617624,0.247327859,116735.712,0.9115562149583796,4.3960055882115325,4.398204435662996,4.399830504514711,4.411388769896846,4.396568390880335,357.8575135441479,1781.4828093473145,506.77115150726564,NEGATED,ALL+sup,ALL+sup:sure,absent(-),super,ALL,neg,neg~sure,1779.5936161612701,157.39399526187472,44102.563190407716,3568.817398759193,1622.1996208993953,106.42503464880808,8483.004951077182,42.18522983416435,210.00610274562908,59.739579834136705,12.545676357290375,29.639553476873978,251.43247889533978,66917.0,20629.01646535,155125.20116972498,0.5192180519725,0.028773566,0.8188864132825,0.030068165,1732708.0,100898.5,46287.983534650004,0.6668225485233719,4.376765563717846,4.393696075651125,4.406399420066431,4.470776267681707,4.379639657304391,216.9155965985191,1160.803897441535,258.0833654814358,8820.544760669047,4135.087538402109,304422.2360096657,9737.817548347053,4685.457222266938,113.5534852334366,85.57283311971365,510.2141636030363,92.40986801212198,53.322168978556086,32.25066414115756,103.3621113650825,both,True,True
NEQ+sup:NEG~forthcoming,NEG~forthcoming,forthcoming,1992,1120.5,1543.699,0.90256638082,0.38902623852,0.00054920454,0.88888888889,0.00062766233,3173681,2241,6347362,1992,3171689,249,3173432,3173681,3173681,2241,6345121,3172560.5,1120.5,3172560.5,19.526424404,0.001254439,0.249877473,0.00054920454,0.38902623852,0.38902623852,0.19478772153,871.5,0.4375,2.4666230010108467,2.5023734243636975,2.529101242207931,2.6859574319227715,2.4731248938509234,44.63182720884279,1781.4828093473145,47.3392015141785,NEGATED,NEQ+sup,NEQ+sup:forthcoming,absent(-),super,NEQ,neg,neg~forthcoming,313.83116340300114,176.53002948311442,500000.00000015757,353.060058808683,137.30113391988672,33.473870406632095,2519.3971501134947,17.71528050590792,707.106781186659,18.789892463999973,13.286460382024794,4.428820123883126,11.157956802210698,1043.5,383.05182467500003,1519.6713289499999,0.3138253776825,0.00040176813750000004,0.6181826224525,0.00047665015999999997,1732708.0,2451.5,660.448175325,0.5780104286746988,1.674337557585981,1.7392514075486998,1.7877939598505197,2.0382347888660486,1.6857396389650925,27.189310776825877,1160.803897441535,39.291039407361,140.21450014294453,75.24187453362173,304422.2360096657,192.01948352195564,64.97262560932282,16.19261075352334,10.81376423497224,510.2141636030363,13.413330734914933,7.462518052409346,3.351246182562894,10.996700023302537,blind,True,False
NEQ+sup:NEG~uncommon,NEG~uncommon,uncommon,2808,1596.5,2076.8582,0.86278178207,0.37961470219,0.00076346678,0.87942373943,0.00088477701,3173681,3193,6347362,2808,3170873,385,3173296,3173681,3173681,3193,6344169,3172084.5,1596.5,3172084.5,22.862560448,0.001767775,0.245228181,0.00076346678,0.37961470219,0.37961470219,0.190189084485,1211.5,0.43144586894586895,2.4316498010095122,2.4611032280307326,2.483100112441318,2.611785234174291,2.437009089421533,52.99056519796708,1781.4828093473145,56.50663677834667,NEGATED,NEQ+sup,NEQ+sup:uncommon,absent(-),super,NEQ,neg,neg~uncommon,442.3885073830671,251.5218134714863,500000.00000015757,503.04362678542674,190.86669391158082,39.956226048014095,2519.3971501134947,21.03303371801289,707.106781186659,22.42863408202619,15.859439254635905,5.173594463376986,13.034339149952984,1419.5,539.493404575,1944.1199743,0.13359181769,0.000372459427,0.4379598737175,0.0004955189149999999,1732708.0,3654.5,880.006595425,0.24963138651548575,1.2771818207747585,1.2876512216089848,1.2954443993487503,1.3438491115486488,1.2793170901489577,29.27916478039855,1160.803897441535,46.20774468662936,138.24632107988026,84.0906638002993,304422.23600966565,224.457490486668,54.15565727958096,18.487429029966613,9.715895782227145,510.2141636030363,14.191120003372223,7.664869056128424,2.05102672609872,10.791735750431938,polar,False,True
NEQ+sup:POS~same,COM~same,same,2161,1239.5,1537.7532,0.83189810245,0.37186770388,0.00058071369,0.87172246874,0.00068091279,3173681,2479,6347362,2161,3171520,318,3173363,3173681,3173681,2479,6344883,3172441.5,1239.5,3172441.5,19.822934964,0.001360763,0.241408236,0.00058071369,0.37186770388,0.37186770388,0.186224208785,921.5,0.4264229523368811,2.285044009563687,2.317417480805787,2.3416019425724426,2.48320722476,2.2909338606632033,46.486557196677836,1781.4828093473145,49.78955713801841,COMPLEMENT,NEQ+sup,NEQ+sup:same,absent(-),super,NEQ,pos,pos~same,340.45639763416676,195.27797548020737,500000.00000015757,390.55595080286895,145.1784221539594,35.20653348456789,2519.3971501134947,18.451460582679267,707.106781186659,19.762488476982572,13.974189618013897,4.477270964665371,11.280023712109944,12566.75,11879.325104975,1007.6431616750001,0.15530318327999998,0.0003173597455,0.850833946475,0.000394881446,18410501.5,12733.75,687.4248950249997,0.1905264752554792,1.154871974736965,1.1700188681167636,1.1813118275362817,1.254779459155331,1.158145291968439,70.70847790174895,2948.489384983902,72.21162553733966,285.4944672144288,238.51240823109578,695577.7639915745,308.3597071741499,46.98205898333305,66.56536004332946,15.13487057506323,825.2466455891488,16.047091129638233,13.595925020004373,1.538945555058857,4.14311785841948,blind,True,False
NEQ+sup:NEG~surprising,NEG~surprising,surprising,16339,9443.0,11271.828,0.80901753698,0.36622787544,0.0043457424,0.86513819761,0.0051482805,3173681,18886,6347362,16339,3157342,2547,3171134,3173681,3173681,18886,6328476,3164238.0,9443.0,3164238.0,53.94913881,0.01023565,0.238115483,0.0043457424,0.36622787544,0.36622787544,0.18528680892000002,6896.0,0.42205765346716445,2.5075031168300885,2.519575883269005,2.528568806367468,2.5807740439998534,2.509702524801158,127.82409788455384,1781.4828093473145,137.42634390829147,NEGATED,NEQ+sup,NEQ+sup:surprising,absent(-),super,NEQ,neg,neg~surprising,2574.140249287814,1487.704656044511,500000.00000015757,2975.409311931476,1086.4355932433032,97.17509969122749,2519.3971501134947,50.73598574274293,707.106781186659,54.54731260045243,38.57077463630347,12.165211106439465,30.64899819332635,8622.5,3405.624684125,10698.291617449999,0.23464419045250004,0.0031059685499999997,0.5385650473725,0.0041269193,1732708.0,23187.75,5216.875315875,0.5062562213232431,1.7391416438946385,1.7587404340189297,1.7733717865106122,1.8487605586946874,1.7425878643505548,78.96196588556933,1160.803897441535,122.24926903668495,1223.2635691156934,723.0978211037456,304422.23600966565,1924.9116527249334,500.1657480119479,49.83881667875445,32.10692816683904,510.2141636030363,43.018133840759745,23.661421122119698,8.44550704471934,29.123149206814876,polar,False,True
NEQ+sup:NEG~clear,NEG~clear,clear,71543,41979.0,46592.015,0.76880589376,0.35684856222,0.018630732,0.85212844517,0.022542593,3173681,83958,6347362,71543,3102138,12415,3161266,3173681,3173681,83958,6263404,3131702.0,41979.0,3131702.0,110.529859994,0.043923222,0.231535059,0.018630732,0.35684856222,0.35684856222,0.18773964711,29564.0,0.4132339991333883,2.4467885632766633,2.452385358759636,2.456550363068292,2.480660966011128,2.447808642909796,267.47523249826327,1781.4828093473145,289.7550689806824,NEGATED,NEQ+sup,NEQ+sup:clear,absent(-),super,NEQ,neg,neg~clear,11271.296642762773,6613.613655720282,500000.00000015757,13227.227311283015,4657.682987042491,204.88777415941635,2519.3971501134947,106.16636304763752,707.106781186659,115.00968355439909,81.32412714391887,24.842235903718645,62.587458338846915,36987.5,15020.730825375002,42074.783732375,0.23556233447499997,0.0119259049,0.5380880133049999,0.0154394628,1732708.0,110095.5,21966.769174625,0.509358152132861,1.8181594559604366,1.8297496121514234,1.8384044307480616,1.8824362887716806,1.820174667563063,158.39527226100753,1160.803897441535,254.4542872340227,4470.180729030478,2592.81713815111,304422.2360096657,6932.493168237661,1877.3635908793674,100.84372606847359,60.074710387274614,510.2141636030363,80.75901863837905,43.90162877156465,16.173081615709954,57.55154619253395,both,True,True
NEQ+mir:NEG~conducive,NEG~conducive,conducive,78,46.5,46.7567563,0.704631759,0.33876367338,0.00021594941,0.83870967742,0.00026736593,291735,93,583470,78,291657,15,291720,291735,291735,93,583377,291688.5,46.5,291688.5,3.566672658,0.000534561,0.22464165,0.00021594941,0.33876367338,0.33876367338,0.16948981139500002,31.5,0.40384615384615385,0.3819947799429897,0.516789202803026,0.6184851037861867,1.1053588934902572,0.4022919386304238,8.831760866327848,540.1249855357554,9.643650760992955,NEGMIR,NEQ+mir,NEQ+mir:conducive,present(+),mirror,NEQ,neg,neg~conducive,133.6829674190618,79.69561588427854,500000.00000171387,159.3912300546729,53.98735153478327,6.819090848492928,763.8520799212371,11.562135071822237,707.1067811877595,12.625023962538561,8.927240104549588,2.6348949672726487,2.01267001783492,837.5,361.99086309999996,800.568843275,0.25772172548,0.0002980664575,0.5620949677049999,0.00038528355,1732708.0,2804.25,475.50913690000004,0.5310248889689001,1.1420256585742772,1.211765007767631,1.2638996296673994,1.5311241901981911,1.154221488989404,24.39712163585201,1160.803897441535,40.58353135306221,113.4717750699273,64.4910374185866,304422.2360096657,175.91024303909165,48.980737651340704,15.912701682435692,9.736878329233605,510.2141636030363,12.983828227326166,7.019800004161102,2.717078325072502,8.484419953416317,both,True,True
