key,f,dP1,LRC,G2,N,f1,f2,exp_f,unexp_f,l1,l2,adj,adj_total,adv,adv_total
NEGany~exactly_shy,124,0.962631,1.5313492,815.15005,86330752,3226213,124,4.6339271,119.3660729,NEGATED,exactly_shy,shy,50956.0,exactly,61599.0
NEGany~exactly_forthcoming,107,0.9626308,1.315076,703.39507,86330752,3226213,107,3.9986307,103.0013693,NEGATED,exactly_forthcoming,forthcoming,11270.0,exactly,61599.0
NEGany~exactly_impressive,100,0.96263075,1.2156562,657.37836,86330752,3226213,100,3.737038,96.262962,NEGATED,exactly_impressive,impressive,195739.0,exactly,61599.0
NEGany~exactly_surprising,441,0.9558778,7.344853,2863.349,86330752,3226213,444,16.592449,424.407551,NEGATED,exactly_surprising,surprising,150067.0,exactly,61599.0
NEGany~exactly_practical,105,0.9531968,3.5239475,679.00619,86330752,3226213,106,3.9612603,101.0387397,NEGATED,exactly_practical,practical,67263.0,exactly,61599.0
NEGany~exactly_cheap,693,0.94701236,8.281741,4443.2697,86330752,3226213,704,26.308747,666.691253,NEGATED,exactly_cheap,cheap,83765.0,exactly,61599.0
NEGany~exactly_easy,1069,0.9344597,8.366482,6747.6435,86330752,3226213,1100,41.107418,1027.892582,NEGATED,exactly_easy,easy,771307.0,exactly,61599.0
NEGany~exactly_new,1378,0.9344362,8.535967,8697.9342,86330752,3226213,1418,52.991199,1325.008801,NEGATED,exactly_new,new,321311.0,exactly,61599.0
NEGany~exactly_clear,1759,0.9212323,8.301097,10937.156,86330752,3226213,1835,68.574647,1690.425353,NEGATED,exactly_clear,clear,491108.0,exactly,61599.0
NEGany~exactly_sure,8860,0.91531396,8.63298,54750.583,86330752,3226213,9301,347.5819,8512.4181,NEGATED,exactly_sure,sure,844981.0,exactly,61599.0
NEGmir~exactly_sure,148,0.84868985,2.0935638,560.650176,2032082,293963,149,21.554487228393555,126.4455108642578,NEGMIR,exactly_sure,sure,11297.0,exactly,1114.0
NEGmir~exactly_clear,52,0.8008152,2.1346524,178.729304,2032082,293963,55,7.95635461807251,44.043643951416016,NEGMIR,exactly_clear,clear,8639.0,exactly,1114.0
