           l1  l2                              f   E11  r.log.likelihood  r.odds.ratio.disc  r.p1.given2  r.p2.given1  r.p1.given2.simple  r.p2.given1.simple  am.log.likelihood  am.odds.ratio.disc  am.p1.given2  am.p2.given1  am.p1.given2.simple  am.p2.given1.simple       f1    f2         N  
-------------  ---------------------------  ----  ----  ----------------  -----------------  -----------  -----------  ------------------  ------------------  -----------------  ------------------  ------------  ------------  -------------------  -------------------  -------  ----  --------  
       shehab  al-qaddour                     16  0.00             15377                  1            1            1                   1                   1             522.21                9.68        1.0000         1.000               1.0000                1.000       16    16  71961373  
       compos  mentis                         11  0.00             19823                  2            1            1                   1                   1             367.26                9.52        1.0000         1.000               1.0000                1.000       11    11  71961373  
        avant  garde                          11  0.00             19823                  2            1            1                   1                   1             367.26                9.52        1.0000         1.000               1.0000                1.000       11    11  71961373  
     amundsen  scott-south                     9  0.00             22684                  4            1            1                   1                   1             304.10                9.44        1.0000         1.000               1.0000                1.000        9     9  71961373  
      simvoly  natsional                       7  0.00             26912                  6            1            1                   1                   1             240.04                9.33        1.0000         1.000               1.0000                1.000        7     7  71961373  
  polymyalgia  rheumatica                      5  0.00             33854                  8            1            1                   1                   1             174.82                9.20        1.0000         1.000               1.0000                1.000        5     5  71961373  
        carly  fiorina                         6  0.00             30477                 12            7          396                   1                 399             201.86                8.79        1.0000         0.857               1.0000                0.857        7     6  71961373  
         okey  dokey                           6  0.00             30477                 12            7          396                   1                 399             201.86                8.79        1.0000         0.857               1.0000                0.857        7     6  71961373  
      diallyl  trisulfide                      5  0.00             35064                 18            9          599                   1                 600             166.45                8.50        1.0000         0.714               1.0000                0.714        7     5  71961373  
       sample  hedline                         5  0.00             35064                 18            9          599                   1                 600             166.45                8.50        1.0000         0.714               1.0000                0.714        7     5  71961373  
         ipso  facto                          33  0.00              9455                  7           11          285                   1                 285            1013.95                9.29        1.0000         0.943               1.0000                0.943       35    33  71961373  
     abdullah  al-muhajir                      6  0.00             31314                 22           12          813                   1                 816             194.14                8.32        1.0000         0.600               1.0000                0.600       10     6  71961373  
       khalid  al-mihdhar                     19  0.00             14293                 21           13          715                   1                 721             576.23                8.43        1.0000         0.655               1.0000                0.655       29    19  71961373  
  dependently  co-arisen                       7  0.00             29160                 28           14         1359                   1                1367             215.03                7.94        1.0000         0.368               1.0000                0.368       19     7  71961373  
         homo  sapiens                        10  0.00             22987                 29           15         1441                   1                1456             298.42                7.89        1.0000         0.345               1.0000                0.345       29    10  71961373  
    northwest  coasts                         10  0.00             23593                 33           16         2100                   1                2128             288.11                7.63        1.0000         0.222               1.0000                0.222       45    10  71961373  
        cause  celebre                         8  0.00             29410                 45           17         5589                   1                5823             212.47                7.01        1.0000         0.063               1.0000                0.063      127     8  71961373  
          con  leche                           8  0.00             30213                 51           18         8137                   1                8577             204.38                6.79        1.0000         0.038               1.0000                0.038      208     8  71961373  
          con  carne                           7  0.00             33316                 56           19         8946                   1                9480             178.80                6.73        1.0000         0.034               1.0000                0.034      208     7  71961373  
          sub  judice                         30  0.00             11770                 39           20         3644                   1                3750             752.59                7.26        1.0000         0.110               1.0000                0.110      272    30  71961373  
           ex  cathedra                       10  0.00             26517                 64           21        10110                   1               10798             244.73                6.64        1.0000         0.028               1.0000                0.028      354    10  71961373  
   monetarily  non-sovereign                   5  0.00             44209                 84           22        18818                   1               21125             120.34                6.27        1.0000         0.012               1.0000                0.012      430     5  71961373  
          hip  flexor                         98  0.00              4954                 37           23         2634                   1                2692            2312.72                7.46        1.0000         0.166               1.0000                0.166      590    98  71961373  
 indefinitely  move-protected                  6  0.00             39160                 82           24        18522                   1               20750             142.50                6.27        1.0000         0.012               1.0000                0.012      504     6  71961373  
spontaneously  combust                         6  0.00             39287                 86           25        19242                   1               21662             141.83                6.25        1.0000         0.011               1.0000                0.011      533     6  71961373  
      forward  price-to-earnings               5  0.00             44786                 91           26        21913                   1               25027             118.05                6.17        1.0000         0.009               1.0000                0.009      540     5  71961373  
      nightly  turndown                        8  0.00             32150                 79           27        17162                   1               19076             187.22                6.31        1.0000         0.013               1.0000                0.013      600     8  71961373  
      nightly  turn-down                       5  0.00             45102                 97           28        23526                   1               27083             116.99                6.12        1.0000         0.008               1.0000                0.008      600     5  71961373  
       triple  lutz-double                    54  0.00              8071                 43           29         4680                   1                4817            1254.08                7.10        1.0000         0.080               1.0000                0.080      679    54  71961373  
       triple  lutz-triple                    39  0.00             10296                 48           30         5984                   1                6245             904.82                6.95        1.0000         0.057               1.0000                0.057      679    39  71961373  
       triple  flip-triple                    30  0.00             12487                 49           31         7335                   1                7723             695.61                6.83        1.0000         0.044               1.0000                0.044      679    30  71961373  
       triple  salchow-triple                 21  0.00             16130                 59           32         9520                   1               10069             486.64                6.67        1.0000         0.031               1.0000                0.031      679    21  71961373  
       triple  lutz                           21  0.00             16130                 59           32         9520                   1               10069             486.64                6.67        1.0000         0.031               1.0000                0.031      679    21  71961373  
       triple  toe-triple                     15  0.00             20625                 71           34        12009                   1               13069             347.46                6.53        1.0000         0.022               1.0000                0.022      679    15  71961373  
       triple  loop-triple                    11  0.00             25793                 76           35        15003                   1               16476             254.74                6.39        1.0000         0.016               1.0000                0.016      679    11  71961373  
       triple  flip-double                     8  0.00             32415                 85           36        18652                   1               20913             185.23                6.26        1.0000         0.012               1.0000                0.012      679     8  71961373  
       triple  toe-double                      5  0.00             45444                103           37        25528                   1               29684             115.75                6.07        1.0000         0.007               1.0000                0.007      679     5  71961373  
       triple  salchow-double                  5  0.00             45444                103           37        25528                   1               29684             115.75                6.07        1.0000         0.007               1.0000                0.007      679     5  71961373  
         anti  semetic                         5  0.00             45463                105           39        25600                   1               29782             115.70                6.07        1.0000         0.007               1.0000                0.007      682     5  71961373  
         late  edition                        26  0.00             14069                 61           40         9569                   1               10127             591.00                6.67        1.0000         0.031               1.0000                0.031      847    26  71961373  
          low  inflation                       6  0.00             40899                116           41        29271                   1               34589             134.17                5.97        1.0000         0.006               1.0000                0.006     1006     6  71961373  
       softly  softly                         12  0.00             25408                 99           42        23255                   1               26754             260.17                6.11        1.0000         0.008               1.0000                0.008     1416    12  71961373  
       softly  catchee                         6  0.00             41838                139           43        36170                   1               43733             130.06                5.82        1.0000         0.004               1.0000                0.004     1416     6  71961373  
         here  comes                           5  0.00             48458                162           44        46030                   1               57371             105.97                5.64        1.0000         0.003               1.0000                0.003     1800     5  71961373  
        alone  around-the-world                9  0.00             32093                142           45        36314                   1               43969             187.65                5.81        1.0000         0.004               1.0000                0.004     2140     9  71961373  
       yearly  cost-of-living                  7  0.00             38876                163           46        45544                   1               56763             143.91                5.64        1.0000         0.003               1.0000                0.003     2474     7  71961373  
      loosely  confederated                    6  0.00             43436                173           47        49501                   1               62484             123.34                5.58        1.0000         0.002               1.0000                0.002     2477     6  71961373  
        early  warning                        23  0.00             16740                106           48        25173                   1               29168             463.26                6.05        1.0000         0.008               1.0000                0.008     3055    23  71961373  
    regularly  interspaced                     7  0.00             39647                185           49        52720                   1               67175             140.03                5.52        1.0000         0.002               1.0000                0.002     3263     7  71961373  
     secretly  auto-start                      8  0.00             36294                178           50        51226                   1               65146             158.76                5.54        1.0000         0.002               1.0000                0.002     3534     8  71961373  
      happily  ever-after                     27  0.00             15169                111           51        26011                   1               30297             532.45                6.02        0.9999         0.007               1.0000                0.007     3771    27  71961373  
    specially  notewothy                      24  0.00             16484                115           52        28150                   1               33107             472.97                5.97        0.9999         0.006               1.0000                0.006     3794    24  71961373  
    specially  madehouse                       5  0.00             51064                238           53        66981                   1               88549              98.51                5.32        0.9999         0.001               1.0000                0.001     3794     5  71961373  
    specially  maderesidential                 5  0.00             51064                238           53        66981                   1               88549              98.51                5.32        0.9999         0.001               1.0000                0.001     3794     5  71961373  
       double  scull                          14  0.00             24524                157           55        41926                   1               51632             272.57                5.69        0.9999         0.003               1.0000                0.003     4267    14  71961373  
       double  minor-game                      9  0.00             33799                188           56        53157                   1               67885             175.21                5.51        0.9999         0.002               1.0000                0.002     4267     9  71961373  
       double  bogey-bogey                     7  0.00             40442                213           57        60330                   1               78325             136.27                5.40        0.9999         0.002               1.0000                0.002     4267     7  71961373  
       double  minor-misconduct-game           6  0.00             45159                231           58        64923                   1               85493             116.80                5.34        0.9999         0.001               1.0000                0.001     4267     6  71961373  
       double  take                            5  0.00             51505                258           59        70790                   1               94535              97.34                5.27        0.9999         0.001               1.0000                0.001     4267     5  71961373  
       double  roughing                        5  0.00             51505                258           59        70790                   1               94535              97.34                5.27        0.9999         0.001               1.0000                0.001     4267     5  71961373  
     hitherto  unpbd                           7  0.00             40613                219           61        62113                   1               81135             135.40                5.38        0.9999         0.002               1.0000                0.002     4541     7  71961373  
          out  leg-before-wicket              15  0.00             23506                158           62        42257                   1               52057             289.58                5.68        0.9999         0.003               1.0000                0.003     4632    15  71961373  
