         l1  l2                     f      E11  r.log.likelihood  r.odds.ratio.disc  r.p1.given2  r.p2.given1  r.p1.given2.simple  r.p2.given1.simple  am.log.likelihood  am.odds.ratio.disc  am.p1.given2  am.p2.given1  am.p1.given2.simple  am.p2.given1.simple      f1     f2        N  
-----------  -----------------  -----  -------  ----------------  -----------------  -----------  -----------  ------------------  ------------------  -----------------  ------------------  ------------  ------------  -------------------  -------------------  ------  -----  -------  
       slam  dunk                  34     0.00               429                  1            1            1                   1                   1             802.97                8.37         1.000         1.000                1.000                1.000      34     34  1680633  
       fait  accompli               9     0.00              1383                  2            1            1                   1                   1             236.47                7.81         1.000         1.000                1.000                1.000       9      9  1680633  
       bona  fide                   7     0.00              1684                  4            1            1                   1                   1             187.44                7.70         1.000         1.000                1.000                1.000       7      7  1680633  
       gung  ho                     5     0.00              2192                  5            1            1                   1                   1             137.25                7.57         1.000         1.000                1.000                1.000       5      5  1680633  
differently  biotic                 5     0.00              2761                  9            5          669                   1                 695             106.85                5.70         1.000         0.122                1.000                0.122      41      5  1680633  
     before  have                  11     0.00              1654                 16            6         1654                   1                1776             191.05                5.14         1.000         0.038                1.000                0.038     290     11  1680633  
  partially  gr                     8     0.00              2482                 32            7         4139                   1                4853             120.75                4.51         0.999         0.009                1.000                0.009     891      8  1680633  
       half  assed                  5     0.00              3717                 45            8         5842                   1                7091              73.50                4.23         0.999         0.005                1.000                0.005    1083      5  1680633  
     nearly  planar                 7     0.01              3214                 68            9         7569                   1                9524              89.48                3.95         0.998         0.002                1.000                0.002    2821      7  1680633  
       ever  slept                  8     0.02              3109                 99           10         8848                   1               11501              92.96                3.75         0.997         0.002                1.000                0.002    5042      8  1680633  
        all  smiles                 5     0.02              4647                137           11        10837                   1               15169              56.65                3.50         0.997         0.001                1.000                0.001    5828      5  1680633  
    equally  un-shocking            5     0.02              4804                161           12        11590                   1               16348              54.44                3.40         0.996         0.001                1.000                0.001    7270      5  1680633  
      still  unpaved                7     0.06              3981                194           13        12503                   1               17809              67.65                3.27         0.992         0.001                1.000                0.001   13401      7  1680633  
       most  simplest               5     0.05              5474                285           14        14171                   1               20506              45.90                3.03         0.990         0.000                1.000                0.000   17062      5  1680633  
       much  ado                    5     0.07              5806                359           15        15064                   1               22061              42.56                2.88         0.986         0.000                1.000                0.000   23827      5  1680633  
       just  ducky                  6     0.10              5206                365           16        15055                   1               21999              48.92                2.88         0.983         0.000                1.000                0.000   28522      6  1680633  
       just  one-click              5     0.08              5976                416           17        15531                   1               22902              40.76                2.80         0.983         0.000                1.000                0.000   28522      5  1680633  
  otherwise  product-specific      46     0.19               670                 74           18         4822                  36                5701             499.00                3.89         0.975         0.007                0.979                0.007    6695     47  1680633  
       even  no-cost               13     0.47              3312                384           19        15030                   1               21954              86.14                2.85         0.964         0.000                1.000                0.000   61179     13  1680633  
       even  ninth                  6     0.22              6098                666           20        16976                   1               25212              39.76                2.54         0.964         0.000                1.000                0.000   61179      6  1680633  
       even  semi-regular           6     0.22              6098                666           20        16976                   1               25212              39.76                2.54         0.964         0.000                1.000                0.000   61179      6  1680633  
       even  fungal                 5     0.18              6981                751           22        17379                   1               26026              33.13                2.46         0.964         0.000                1.000                0.000   61179      5  1680633  
       even  semi-annual            5     0.18              6981                751           22        17379                   1               26026              33.13                2.46         0.964         0.000                1.000                0.000   61179      5  1680633  
       even  50th                   5     0.18              6981                751           22        17379                   1               26026              33.13                2.46         0.964         0.000                1.000                0.000   61179      5  1680633  
       even  1st                    5     0.18              6981                751           22        17379                   1               26026              33.13                2.46         0.964         0.000                1.000                0.000   61179      5  1680633  
       even  19th                   5     0.18              6981                751           22        17379                   1               26026              33.13                2.46         0.964         0.000                1.000                0.000   61179      5  1680633  
      nerve  wracking              23     0.00               608                  3           27            6                  41                   1             552.85                7.72         0.958         1.000                0.958                1.000      23     24  1680633  
      right  brained               16     0.00              1204                 24           28         1294                  45                1357             270.00                4.82         0.941         0.054                0.941                0.054     295     17  1680633  
       just  chillin               19     0.34              2041                364           29        11699                  44               16530             147.00                2.88         0.933         0.001                0.950                0.001   28522     20  1680633  
       even  quarterly             30     1.13              1662                471           30        12689                  38               18045             190.04                2.73         0.931         0.000                0.968                0.000   61179     31  1680633  
  otherwise  ill-treated           43     0.18               743                141           31         5007                  49                5885             453.32                3.50         0.931         0.006                0.935                0.006    6695     46  1680633  
         so  hyper-focused          5     0.39              8253               1317           32        18822                   1               28566              25.64                2.12         0.923         0.000                1.000                0.000  129421      5  1680633  
      above  reproach              11     0.00              1567                 19           33          910                  54                 936             202.89                5.04         0.917         0.087                0.917                0.087     127     12  1680633  
        too  chickenshit            6     0.56              7749               1363           34        18856                   1               28919              28.36                2.10         0.906         0.000                1.000                0.000  158135      6  1680633  
       even  hourly                64     2.48               866                629           35        10192                  45               13975             394.01                2.58         0.905         0.001                0.941                0.001   61179     68  1680633  
       even  tenth                 16     0.62              2934                750           36        14479                  45               21041              98.49                2.46         0.905         0.000                0.941                0.000   61179     17  1680633  
       even  quadruple             15     0.58              3146                784           37        14652                  48               21367              91.99                2.44         0.901         0.000                0.938                0.000   61179     16  1680633  
       even  yearly                26     1.02              1917                771           38        13128                  51               18761             158.03                2.45         0.892         0.000                0.929                0.000   61179     28  1680633  
       even  triple               114     4.48               504                703           39         8370                  52               10780             691.87                2.50         0.890         0.002                0.927                0.002   61179    123  1680633  
      about  understatement         8     0.01              2791                 95           40         5649                  59                6841             105.00                3.77         0.888         0.005                0.889                0.005    1607      9  1680633  
        too  late               12909  1249.45                 1                644           41          946                  37                 981           58692.85                2.56         0.885         0.081                0.972                0.082  158135  13279  1680633  
       even  royalty               11     0.44              4067                977           42        15481                  54               22790              66.08                2.31         0.880         0.000                0.917                0.000   61179     12  1680633  
        too  early               5390   527.20                 5                838           43         1771                  39                1916           23876.83                2.40         0.871         0.034                0.962                0.034  158135   5603  1680633  
