     l1  l2                      f       E11  r.log.likelihood  r.odds.ratio.disc  r.p1.given2  r.p2.given1  r.p1.given2.simple  r.p2.given1.simple  am.log.likelihood  am.odds.ratio.disc  am.p1.given2  am.p2.given1  am.p1.given2.simple  am.p2.given1.simple       f1      f2         N  
-------  -----------------  ------  --------  ----------------  -----------------  -----------  -----------  ------------------  ------------------  -----------------  ------------------  ------------  ------------  -------------------  -------------------  -------  ------  --------  
NEGATED  late-career            35      1.54               716                  1            1         2756                   1                6883             218.49               3.187         0.956       0.00001                1.000              0.00001  3173681      35  71961373  
NEGATED  hildlike               12      0.53              1487                  2            2         4646                   1               10810              74.91               2.734         0.956       0.00000                1.000              0.00000  3173681      12  71961373  
NEGATED  inadviseable            7      0.31              2091                  3            3         5997                   1               13475              43.70               2.512         0.956       0.00000                1.000              0.00000  3173681       7  71961373  
NEGATED  date-marked             7      0.31              2091                  3            3         5997                   1               13475              43.70               2.512         0.956       0.00000                1.000              0.00000  3173681       7  71961373  
NEGATED  shaby                   5      0.22              2563                  6            5         6986                   1               15300              31.21               2.377         0.956       0.00000                1.000              0.00000  3173681       5  71961373  
NEGATED  web-development        10      0.49              1800                 11            6         5071               37137               11690              55.81               2.181         0.865       0.00000                0.909              0.00000  3173681      11  71961373  
NEGATED  plain-sailing          17      0.84              1270                 10            7         3947               38065                9362              93.52               2.181         0.851       0.00001                0.895              0.00001  3173681      19  71961373  
NEGATED  dispelled               8      0.40              2089                 15            8         5620               38202               12806              43.75               2.089         0.845       0.00000                0.889              0.00000  3173681       9  71961373  
NEGATED  fussed                161      8.07               264                  9            9         1093               38774                3130             872.58               2.192         0.836       0.00005                0.880              0.00005  3173681     183  71961373  
NEGATED  horror                 14      0.71              1474                 13           10         4323               38804               10162              75.52               2.099         0.831       0.00000                0.875              0.00000  3173681      16  71961373  
NEGATED  unmoistened             7      0.35              2296                 17           11         6018               38804               13475              37.76               2.035         0.831       0.00000                0.875              0.00000  3173681       8  71961373  
NEGATED  begun                   7      0.35              2296                 17           11         6018               38804               13475              37.76               2.035         0.831       0.00000                0.875              0.00000  3173681       8  71961373  
NEGATED  disimilar              13      0.66              1572                 16           13         4491               39324               10468              69.55               2.068         0.823       0.00000                0.867              0.00000  3173681      15  71961373  
NEGATED  rocket-science          6      0.31              2537                 21           14         6469               39462               14264              31.80               1.973         0.813       0.00000                0.857              0.00000  3173681       7  71961373  
NEGATED  whistlin               11      0.57              1780                 20           15         4862               40019               11213              57.69               1.999         0.802       0.00000                0.846              0.00000  3173681      13  71961373  
NEGATED  utopia                  5      0.26              2819                 26           16         7014               40161               15300              25.90               1.900         0.789       0.00000                0.833              0.00000  3173681       6  71961373  
NEGATED  clean-handed            5      0.26              2819                 26           16         7014               40161               15300              25.90               1.900         0.789       0.00000                0.833              0.00000  3173681       6  71961373  
NEGATED  deaths                  8      0.44              2207                 29           18         5633               40922               12806              40.11               1.867         0.756       0.00000                0.800              0.00000  3173681      10  71961373  
NEGATED  shabby               5529    311.76                13                 28           19           64               41085                 204           27251.73               1.892         0.738       0.00172                0.782              0.00174  3173681    7069  71961373  
NEGATED  batsmen                22      1.28              1166                 33           20         3488               41223                8419             105.91               1.813         0.715       0.00001                0.759              0.00001  3173681      29  71961373  
NEGATED  anymore                 6      0.35              2674                 38           21         6499               41235               14264              28.64               1.751         0.706       0.00000                0.750              0.00000  3173681       8  71961373  
NEGATED  sackless               11      0.66              1876                 41           22         4889               41334               11213              51.63               1.743         0.689       0.00000                0.733              0.00000  3173681      15  71961373  
