    l1  l2                             f    E11  r.log.likelihood  r.odds.ratio.disc  r.p1.given2  r.p2.given1  r.p1.given2.simple  r.p2.given1.simple  am.log.likelihood  am.odds.ratio.disc  am.p1.given2  am.p2.given1  am.p1.given2.simple  am.p2.given1.simple      f1   f2        N  
------  ---------------------------  ---  -----  ----------------  -----------------  -----------  -----------  ------------------  ------------------  -----------------  ------------------  ------------  ------------  -------------------  -------------------  ------  ---  -------  
NEGMIR  entirely_sure                364  63.19                43                  1            1           94                   1                 153            1275.16               3.541     0.8265926      0.001248                 1.00             0.001248  291735  364  1680633  
NEGMIR  ever_simple                  206  35.76                81                  2            2          179                   1                 311             721.57               3.294     0.8265149      0.000706                 1.00             0.000706  291735  206  1680633  
NEGMIR  before_available             176  30.55                99                  3            3          227                   1                 372             616.47               3.226     0.8265002      0.000603                 1.00             0.000603  291735  176  1680633  
NEGMIR  exactly_sure                 148  25.69               116                  4            4          267                   1                 452             518.38               3.151     0.8264864      0.000507                 1.00             0.000507  291735  148  1680633  
NEGMIR  ever_enough                  147  25.52               117                  5            5          268                   1                 457             514.88               3.148     0.8264859      0.000504                 1.00             0.000504  291735  147  1680633  
NEGMIR  not_funny                    146  25.34               118                  6            6          271                   1                 459             511.38               3.145     0.8264854      0.000500                 1.00             0.000500  291735  146  1680633  
NEGMIR  ever_certain                 143  24.82               124                  7            7          277                   1                 469             500.87               3.136     0.8264839      0.000490                 1.00             0.000490  291735  143  1680633  
NEGMIR  not_enough                    80  13.89               220                  9            8          523                   1                 896             280.19               2.885     0.8264530      0.000274                 1.00             0.000274  291735   80  1680633  
NEGMIR  terribly_surprising           67  11.63               264                 11            9          641                   1                1107             234.66               2.808     0.8264466      0.000230                 1.00             0.000230  291735   67  1680633  
NEGMIR  entirely_certain              62  10.76               288                 12           10          690                   1                1199             217.14               2.775     0.8264441      0.000213                 1.00             0.000213  291735   62  1680633  
NEGMIR  longer_viable                 57   9.89               323                 13           11          778                   1                1300             199.63               2.738     0.8264416      0.000195                 1.00             0.000195  291735   57  1680633  
NEGMIR  ever_boring                   57   9.89               323                 13           11          778                   1                1300             199.63               2.738     0.8264416      0.000195                 1.00             0.000195  291735   57  1680633  
NEGMIR  ever_black                    56   9.72               332                 15           13          794                   1                1332             196.13               2.731     0.8264412      0.000192                 1.00             0.000192  291735   56  1680633  
NEGMIR  particularly_novel            54   9.37               346                 17           14          812                   1                1371             189.12               2.715     0.8264402      0.000185                 1.00             0.000185  291735   54  1680633  
NEGMIR  exactly_clear                 52   9.03               356                 18           15          850                   1                1420             182.12               2.699     0.8264392      0.000178                 1.00             0.000178  291735   52  1680633  
NEGMIR  overly_special                48   8.33               389                 19           16          933                   1                1533             168.11               2.665     0.8264372      0.000165                 1.00             0.000165  291735   48  1680633  
NEGMIR  terribly_original             45   7.81               418                 20           17          990                   1                1626             157.60               2.637     0.8264357      0.000154                 1.00             0.000154  291735   45  1680633  
NEGMIR  ever_happy                    45   7.81               418                 20           17          990                   1                1626             157.60               2.637     0.8264357      0.000154                 1.00             0.000154  291735   45  1680633  
NEGMIR  not_good                      44   7.64               433                 22           19         1021                   1                1666             154.10               2.627     0.8264353      0.000151                 1.00             0.000151  291735   44  1680633  
NEGMIR  particularly_comfortable      44   7.64               433                 22           19         1021                   1                1666             154.10               2.627     0.8264353      0.000151                 1.00             0.000151  291735   44  1680633  
NEGMIR  longer_pink                   42   7.29               465                 24           21         1072                   1                1763             147.10               2.607     0.8264343      0.000144                 1.00             0.000144  291735   42  1680633  
NEGMIR  there_much                    39   6.77               501                 26           22         1159                   1                1895             136.59               2.575     0.8264328      0.000134                 1.00             0.000134  291735   39  1680633  
NEGMIR  particularly_revolutionary    39   6.77               501                 26           22         1159                   1                1895             136.59               2.575     0.8264328      0.000134                 1.00             0.000134  291735   39  1680633  
NEGMIR  ever_sick                     39   6.77               501                 26           22         1159                   1                1895             136.59               2.575     0.8264328      0.000134                 1.00             0.000134  291735   39  1680633  
NEGMIR  ever_dull                     37   6.42               532                 29           25         1217                   1                2014             129.58               2.553     0.8264318      0.000127                 1.00             0.000127  291735   37  1680633  
NEGMIR  ever_alone                    37   6.42               532                 29           25         1217                   1                2014             129.58               2.553     0.8264318      0.000127                 1.00             0.000127  291735   37  1680633  
NEGMIR  slam_dunk                     34   5.90               581                 32           27         1315                   1                2170             119.08               2.517     0.8264303      0.000117                 1.00             0.000117  291735   34  1680633  
NEGMIR  especially_surprising         34   5.90               581                 32           27         1315                   1                2170             119.08               2.517     0.8264303      0.000117                 1.00             0.000117  291735   34  1680633  
NEGMIR  particularly_convincing       34   5.90               581                 32           27         1315                   1                2170             119.08               2.517     0.8264303      0.000117                 1.00             0.000117  291735   34  1680633  
NEGMIR  ever_straightforward          32   5.55               614                 38           30         1388                   1                2293             112.07               2.491     0.8264294      0.000110                 1.00             0.000110  291735   32  1680633  
NEGMIR  ever_final                    32   5.55               614                 38           30         1388                   1                2293             112.07               2.491     0.8264294      0.000110                 1.00             0.000110  291735   32  1680633  
NEGMIR  particularly_radical          31   5.38               633                 40           32         1429                   1                2361             108.57               2.477     0.8264289      0.000106                 1.00             0.000106  291735   31  1680633  
NEGMIR  ever_necessary                31   5.38               633                 40           32         1429                   1                2361             108.57               2.477     0.8264289      0.000106                 1.00             0.000106  291735   31  1680633  
NEGMIR  that_keen                     31   5.38               633                 40           32         1429                   1                2361             108.57               2.477     0.8264289      0.000106                 1.00             0.000106  291735   31  1680633  
NEGMIR  ever_sure                     30   5.21               658                 44           35         1480                   1                2453             105.07               2.463     0.8264284      0.000103                 1.00             0.000103  291735   30  1680633  
NEGMIR  fully_sure                    28   4.86               701                 45           36         1576                   1                2629              98.06               2.434     0.8264274      0.000096                 1.00             0.000096  291735   28  1680633  
NEGMIR  ever_successful               28   4.86               701                 45           36         1576                   1                2629              98.06               2.434     0.8264274      0.000096                 1.00             0.000096  291735   28  1680633  
NEGMIR  truly_sure                    28   4.86               701                 45           36         1576                   1                2629              98.06               2.434     0.8264274      0.000096                 1.00             0.000096  291735   28  1680633  
NEGMIR  not_possible                  28   4.86               701                 45           36         1576                   1                2629              98.06               2.434     0.8264274      0.000096                 1.00             0.000096  291735   28  1680633  
NEGMIR  not_sure                      28   4.86               701                 45           36         1576                   1                2629              98.06               2.434     0.8264274      0.000096                 1.00             0.000096  291735   28  1680633  
NEGMIR  yet_available                 28   4.86               701                 45           36         1576                   1                2629              98.06               2.434     0.8264274      0.000096                 1.00             0.000096  291735   28  1680633  
NEGMIR  ever_more                     27   4.69               725                 51           42         1644                   1                2748              94.56               2.418     0.8264269      0.000093                 1.00             0.000093  291735   27  1680633  
NEGMIR  more_untrue                   26   4.51               751                 57           43         1712                   1                2845              91.06               2.402     0.8264264      0.000089                 1.00             0.000089  291735   26  1680633  
NEGMIR  particularly_fast             26   4.51               751                 57           43         1712                   1                2845              91.06               2.402     0.8264264      0.000089                 1.00             0.000089  291735   26  1680633  
NEGMIR  ever_impossible               25   4.34               777                 59           45         1768                   1                2930              87.56               2.385     0.8264259      0.000086                 1.00             0.000086  291735   25  1680633  
NEGMIR  particularly_sexy             25   4.34               777                 59           45         1768                   1                2930              87.56               2.385     0.8264259      0.000086                 1.00             0.000086  291735   25  1680633  
NEGMIR  ever_safe                     25   4.34               777                 59           45         1768                   1                2930              87.56               2.385     0.8264259      0.000086                 1.00             0.000086  291735   25  1680633  
NEGMIR  particularly_likeable         25   4.34               777                 59           45         1768                   1                2930              87.56               2.385     0.8264259      0.000086                 1.00             0.000086  291735   25  1680633  
NEGMIR  not_fun                       25   4.34               777                 59           45         1768                   1                2930              87.56               2.385     0.8264259      0.000086                 1.00             0.000086  291735   25  1680633  
NEGMIR  particularly_revelatory       25   4.34               777                 59           45         1768                   1                2930              87.56               2.385     0.8264259      0.000086                 1.00             0.000086  291735   25  1680633  
NEGMIR  no_more                       24   4.17               811                 65           51         1857                   1                3045              84.05               2.368     0.8264254      0.000082                 1.00             0.000082  291735   24  1680633  
NEGMIR  fully_successful              24   4.17               811                 65           51         1857                   1                3045              84.05               2.368     0.8264254      0.000082                 1.00             0.000082  291735   24  1680633  
NEGMIR  terribly_unusual              24   4.17               811                 65           51         1857                   1                3045              84.05               2.368     0.8264254      0.000082                 1.00             0.000082  291735   24  1680633  
NEGMIR  ever_fun                      24   4.17               811                 65           51         1857                   1                3045              84.05               2.368     0.8264254      0.000082                 1.00             0.000082  291735   24  1680633  
NEGMIR  terribly_special              24   4.17               811                 65           51         1857                   1                3045              84.05               2.368     0.8264254      0.000082                 1.00             0.000082  291735   24  1680633  
NEGMIR  particularly_athletic         23   3.99               854                 70           56         1935                   1                3170              80.55               2.350     0.8264249      0.000079                 1.00             0.000079  291735   23  1680633  
NEGMIR  that_impressive               23   3.99               854                 70           56         1935                   1                3170              80.55               2.350     0.8264249      0.000079                 1.00             0.000079  291735   23  1680633  
NEGMIR  necessarily_right             23   3.99               854                 70           56         1935                   1                3170              80.55               2.350     0.8264249      0.000079                 1.00             0.000079  291735   23  1680633  
NEGMIR  not_available                 22   3.82               904                 74           59         2010                   1                3313              77.05               2.331     0.8264244      0.000075                 1.00             0.000075  291735   22  1680633  
NEGMIR  particularly_healthy          22   3.82               904                 74           59         2010                   1                3313              77.05               2.331     0.8264244      0.000075                 1.00             0.000075  291735   22  1680633  
NEGMIR  not_true                      22   3.82               904                 74           59         2010                   1                3313              77.05               2.331     0.8264244      0.000075                 1.00             0.000075  291735   22  1680633  
NEGMIR  ever_worried                  22   3.82               904                 74           59         2010                   1                3313              77.05               2.331     0.8264244      0.000075                 1.00             0.000075  291735   22  1680633  
NEGMIR  more_synonymous               21   3.65               955                 80           63         2106                   1                3452              73.55               2.311     0.8264239      0.000072                 1.00             0.000072  291735   21  1680633  
NEGMIR  fully_certain                 21   3.65               955                 80           63         2106                   1                3452              73.55               2.311     0.8264239      0.000072                 1.00             0.000072  291735   21  1680633  
NEGMIR  remotely_believable           21   3.65               955                 80           63         2106                   1                3452              73.55               2.311     0.8264239      0.000072                 1.00             0.000072  291735   21  1680633  
NEGMIR  too_groundbreaking            21   3.65               955                 80           63         2106                   1                3452              73.55               2.311     0.8264239      0.000072                 1.00             0.000072  291735   21  1680633  
NEGMIR  ever_permanent                21   3.65               955                 80           63         2106                   1                3452              73.55               2.311     0.8264239      0.000072                 1.00             0.000072  291735   21  1680633  
NEGMIR  ever_clear                    21   3.65               955                 80           63         2106                   1                3452              73.55               2.311     0.8264239      0.000072                 1.00             0.000072  291735   21  1680633  
NEGMIR  yet_certain                   21   3.65               955                 80           63         2106                   1                3452              73.55               2.311     0.8264239      0.000072                 1.00             0.000072  291735   21  1680633  
NEGMIR  not_cool                      21   3.65               955                 80           63         2106                   1                3452              73.55               2.311     0.8264239      0.000072                 1.00             0.000072  291735   21  1680633  
NEGMIR  not_easy                      20   3.47              1014                 92           71         2210                   1                3605              70.04               2.290     0.8264235      0.000069                 1.00             0.000069  291735   20  1680633  
NEGMIR  overtly_wrong                 20   3.47              1014                 92           71         2210                   1                3605              70.04               2.290     0.8264235      0.000069                 1.00             0.000069  291735   20  1680633  
NEGMIR  exactly_easy                  20   3.47              1014                 92           71         2210                   1                3605              70.04               2.290     0.8264235      0.000069                 1.00             0.000069  291735   20  1680633  
NEGMIR  longer_relevant               20   3.47              1014                 92           71         2210                   1                3605              70.04               2.290     0.8264235      0.000069                 1.00             0.000069  291735   20  1680633  
NEGMIR  any_younger                   20   3.47              1014                 92           71         2210                   1                3605              70.04               2.290     0.8264235      0.000069                 1.00             0.000069  291735   20  1680633  
NEGMIR  particularly_cheap            19   3.30              1078                 97           76         2317                   1                3804              66.54               2.269     0.8264230      0.000065                 1.00             0.000065  291735   19  1680633  
NEGMIR  yet_clear                     19   3.30              1078                 97           76         2317                   1                3804              66.54               2.269     0.8264230      0.000065                 1.00             0.000065  291735   19  1680633  
NEGMIR  yet_sure                      19   3.30              1078                 97           76         2317                   1                3804              66.54               2.269     0.8264230      0.000065                 1.00             0.000065  291735   19  1680633  
NEGMIR  terribly_popular              19   3.30              1078                 97           76         2317                   1                3804              66.54               2.269     0.8264230      0.000065                 1.00             0.000065  291735   19  1680633  
NEGMIR  ever_complete                 19   3.30              1078                 97           76         2317                   1                3804              66.54               2.269     0.8264230      0.000065                 1.00             0.000065  291735   19  1680633  
NEGMIR  yet_ready                     18   3.12              1140                106           81         2448                   1                4023              63.04               2.246     0.8264225      0.000062                 1.00             0.000062  291735   18  1680633  
NEGMIR  overly_fancy                  18   3.12              1140                106           81         2448                   1                4023              63.04               2.246     0.8264225      0.000062                 1.00             0.000062  291735   18  1680633  
NEGMIR  inherently_improper           18   3.12              1140                106           81         2448                   1                4023              63.04               2.246     0.8264225      0.000062                 1.00             0.000062  291735   18  1680633  
NEGMIR  particularly_groundbreaking   18   3.12              1140                106           81         2448                   1                4023              63.04               2.246     0.8264225      0.000062                 1.00             0.000062  291735   18  1680633  
NEGMIR  no_better                     18   3.12              1140                106           81         2448                   1                4023              63.04               2.246     0.8264225      0.000062                 1.00             0.000062  291735   18  1680633  
NEGMIR  longer_afraid                 18   3.12              1140                106           81         2448                   1                4023              63.04               2.246     0.8264225      0.000062                 1.00             0.000062  291735   18  1680633  
NEGMIR  terribly_fancy                18   3.12              1140                106           81         2448                   1                4023              63.04               2.246     0.8264225      0.000062                 1.00             0.000062  291735   18  1680633  
NEGMIR  remotely_surprising           17   2.95              1201                118           88         2588                   1                4256              59.54               2.222     0.8264220      0.000058                 1.00             0.000058  291735   17  1680633  
NEGMIR  more_counterproductive        17   2.95              1201                118           88         2588                   1                4256              59.54               2.222     0.8264220      0.000058                 1.00             0.000058  291735   17  1680633  
NEGMIR  anywhere_close                17   2.95              1201                118           88         2588                   1                4256              59.54               2.222     0.8264220      0.000058                 1.00             0.000058  291735   17  1680633  
NEGMIR  ever_static                   17   2.95              1201                118           88         2588                   1                4256              59.54               2.222     0.8264220      0.000058                 1.00             0.000058  291735   17  1680633  
NEGMIR  any_clearer                   17   2.95              1201                118           88         2588                   1                4256              59.54               2.222     0.8264220      0.000058                 1.00             0.000058  291735   17  1680633  
NEGMIR  ever_bad                      16   2.78              1257                127           93         2718                   1                4473              56.04               2.196     0.8264215      0.000055                 1.00             0.000055  291735   16  1680633  
NEGMIR  not_busy                      16   2.78              1257                127           93         2718                   1                4473              56.04               2.196     0.8264215      0.000055                 1.00             0.000055  291735   16  1680633  
NEGMIR  not_able                      16   2.78              1257                127           93         2718                   1                4473              56.04               2.196     0.8264215      0.000055                 1.00             0.000055  291735   16  1680633  
NEGMIR  not_worth                     15   2.60              1324                139           96         2898                   1                4771              52.53               2.169     0.8264210      0.000051                 1.00             0.000051  291735   15  1680633  
NEGMIR  terribly_clear                15   2.60              1324                139           96         2898                   1                4771              52.53               2.169     0.8264210      0.000051                 1.00             0.000051  291735   15  1680633  
NEGMIR  ever_personal                 15   2.60              1324                139           96         2898                   1                4771              52.53               2.169     0.8264210      0.000051                 1.00             0.000051  291735   15  1680633  
NEGMIR  never_good                    15   2.60              1324                139           96         2898                   1                4771              52.53               2.169     0.8264210      0.000051                 1.00             0.000051  291735   15  1680633  
NEGMIR  particularly_surprised        15   2.60              1324                139           96         2898                   1                4771              52.53               2.169     0.8264210      0.000051                 1.00             0.000051  291735   15  1680633  
NEGMIR  particularly_reassuring       15   2.60              1324                139           96         2898                   1                4771              52.53               2.169     0.8264210      0.000051                 1.00             0.000051  291735   15  1680633  
NEGMIR  really_other                  15   2.60              1324                139           96         2898                   1                4771              52.53               2.169     0.8264210      0.000051                 1.00             0.000051  291735   15  1680633  
NEGMIR  necessarily_illegal           15   2.60              1324                139           96         2898                   1                4771              52.53               2.169     0.8264210      0.000051                 1.00             0.000051  291735   15  1680633  
NEGMIR  longer_possible               15   2.60              1324                139           96         2898                   1                4771              52.53               2.169     0.8264210      0.000051                 1.00             0.000051  291735   15  1680633  
NEGMIR  not_helpful                   15   2.60              1324                139           96         2898                   1                4771              52.53               2.169     0.8264210      0.000051                 1.00             0.000051  291735   15  1680633  
NEGMIR  really_over                   15   2.60              1324                139           96         2898                   1                4771              52.53               2.169     0.8264210      0.000051                 1.00             0.000051  291735   15  1680633  
NEGMIR  not_useful                    15   2.60              1324                139           96         2898                   1                4771              52.53               2.169     0.8264210      0.000051                 1.00             0.000051  291735   15  1680633  
