             l1  l2                      f        E11  r.log.likelihood  r.log.likelihood.tt  r.odds.ratio.disc  r.Dice  r.t.score  r.p1.given2  r.p2.given1  r.p1.given2.simple  r.p2.given1.simple  r.p1.given2.margin  r.p2.given1.margin  r.expect.diff  am.log.likelihood  am.log.likelihood.tt  am.odds.ratio.disc  am.Dice  am.t.score  am.p1.given2  am.p2.given1  am.p1.given2.simple  am.p2.given1.simple  am.p1.given2.margin  am.p2.given1.margin  am.expect.diff       f1       f2         N  
---------------  ----------------  -------  ---------  ----------------  -------------------  -----------------  ------  ---------  -----------  -----------  ------------------  ------------------  ------------------  ------------------  -------------  -----------------  --------------------  ------------------  -------  ----------  ------------  ------------  -------------------  -------------------  -------------------  -------------------  --------------  -------  -------  --------  
            far  away                 1284       6.81              1345                 1843                 11    8355       3060            1        23711                   1               31006                   1               23745           3902           13385.00              13385.00                4.51    0.006       35.64         0.989         0.003                0.995                0.003                0.989                0.003         1277.19   439392     1291  83284343  
           bone  marrow               1147       0.02               718                  944                  1       1       3336            2           21                   3                  22                   2                  21           4273           26482.13              26482.13                7.27    0.898       33.87         0.982         0.827                0.982                0.827                0.982                0.827         1146.98     1387     1168  83284343  
           well  intentioned          1786       4.24               904                 1201                 85    1860       2273            3         9594                   7               11598                   3                9602           2945           20799.31              20799.31                3.70    0.020       42.16         0.914         0.010                0.916                0.010                0.914                0.010         1781.76   180997     1949  83284343  
           most  wanted               3371     310.44              1163                 1582                525   55189       1549            4        57297                   2               85557                   4               59110           1831           15699.70              15699.70                2.87    0.001       52.71         0.896         0.000                0.987                0.000                0.896                0.000         3060.56  7568812     3416  83284343  
        legally  binding              2438       1.25               521                  676                 30     133       1724            5         1294                  13                1381                   5                1293           2244           35625.14              35625.14                4.20    0.123       49.35         0.868         0.066                0.869                0.066                0.868                0.066         2436.75    36949     2807  83284343  
           very  own                 95941   11637.80                39                   43               1019    1899         39            6         9783                   4               11819                   6               10950             47          391490.31             391490.31                2.59    0.019      272.17         0.863         0.010                0.981                0.010                0.862                0.009        84303.20  9913432    97771  83284343  
         finely  chopped              1109       0.07               876                 1165                  5      15       3433            7          247                  14                 252                   7                 247           4379           21167.31              21167.31                5.20    0.398       33.30         0.858         0.260                0.858                0.260                0.858                0.260         1108.93     4273     1293  83284343  
     previously  unreleased           4830       4.97               285                  353                 60     134        976            8         1297                  15                1385                   8                1295           1233           63646.44              63646.44                3.86    0.122       69.43         0.856         0.066                0.857                0.066                0.856                0.066         4825.03    73337     5639  83284343  
         partly  cloudy              54413      61.31                14                   14                 27       4         60            9           41                  21                  41                  10                  41             88          752182.73             752182.73                4.25    0.758      233.00         0.837         0.692                0.838                0.692                0.837                0.691        54351.69    78609    64959  83284343  
