key,index,l1,l2,f,E11,am_log_likelihood,am_log_likelihood_tt,am_odds_ratio_disc,am_Dice,am_t_score,am_p1_given2,am_p2_given1,am_p1_given2_simple,am_p2_given1_simple,am_p1_given2_margin,am_p2_given1_margin,f1,f2,N
most~wanted,0,most,wanted,3371,310.443246,15699.70047,15699.70047,2.8701622,0.0008903588,52.713406,0.8959843,0.000444786,0.9868267,0.0004453803,0.8959475,0.0004043642,7568812,3416,83284343
legally~binding,1,legally,binding,2438,1.245322,35625.13525,35625.13525,4.2019134,0.12264816,49.350887,0.86812854,0.06597841,0.8685429,0.06598284,0.8680993,0.065949135,36949,2807,83284343
very~own,2,very,own,95941,11637.795595,391490.31357,391490.31357,2.5929494,0.019166727,272.17108,0.86326504,0.009652938,0.9812828,0.0096778795,0.86225164,0.008503937,9913432,97771,83284343
previously~unreleased,3,previously,unreleased,4830,4.965487,63646.44144,63646.44144,3.8602138,0.12231564,69.42675,0.85571223,0.06585062,0.85653484,0.065860346,0.8556543,0.065792635,73337,5639,83284343
partly~cloudy,4,partly,cloudy,54413,61.312389,752182.73197,752182.73197,4.248944,0.75801015,233.0031,0.8373607,0.6920713,0.83765143,0.6921981,0.8367076,0.6914181,78609,64959,83284343
very~first,5,very,first,150034,18777.04654,580983.63049,580983.63049,2.1647043,0.02979472,338.8656,0.83364105,0.015029265,0.9510932,0.015134416,0.832062,0.013240314,9913432,157749,83284343
long~overdue,6,long,overdue,20079,21.275162,266763.44847,266763.44847,3.8917098,0.41124845,141.55025,0.83296084,0.27290526,0.8336032,0.27295342,0.8327199,0.27266422,73562,24087,83284343
very~earliest,7,very,earliest,2091,261.749522,8067.05059,8067.05059,2.154419,0.0004217583,40.00333,0.8318776,0.000209454,0.9508868,0.0002109259,0.8318556,0.0001845224,9913432,2199,83284343
now~defunct,8,now,defunct,7932,50.019558,74862.26262,74862.26262,2.9858432,0.035445604,88.500145,0.8289044,0.018088516,0.8340694,0.018107563,0.82880974,0.017993376,438049,9510,83284343
highly~regarded,9,highly,regarded,3562,39.323811,29564.78068,29564.78068,2.7291284,0.009262473,59.02361,0.8227131,0.0046484396,0.8318543,0.0046571647,0.82267076,0.0046057506,764843,4282,83284343
most~populous,10,most,populous,29436,2945.303034,121988.20071,121988.20071,1.9974507,0.0077450713,154.40237,0.8177053,0.0038498521,0.90826625,0.0038891176,0.81738704,0.0034999808,7568812,32409,83284343
too~late,11,too,late,136383,6941.131269,724075.53932,724075.53932,2.085116,0.07332536,350.50534,0.7981177,0.038009807,0.8392748,0.0383374,0.79656047,0.03638624,3557440,162501,83284343
scantily~clad,12,scantily,clad,5367,0.452829,106353.46513,106353.46513,6.91641,0.8667636,73.25363,0.7684704,0.9938695,0.76847076,0.9938889,0.768406,0.99380505,5400,6984,83284343
very~latest,13,very,latest,6986,938.322638,24382.21621,24382.21621,1.7608259,0.0014082812,72.355965,0.76725227,0.0006924749,0.88621086,0.0007047005,0.76717967,0.0006100488,9913432,7883,83284343
very~same,14,very,same,49174,6674.434264,169454.11034,169454.11034,1.7243409,0.009864883,191.65349,0.7584434,0.004866312,0.876964,0.004960341,0.7579328,0.0042870687,9913432,56073,83284343
most~ardent,15,most,ardent,7357,801.826921,27636.97302,27636.97302,1.7010194,0.0019417668,76.424706,0.7430429,0.0009526532,0.83384335,0.0009720152,0.7429642,0.0008660769,7568812,8823,83284343
more~streamlined,16,more,streamlined,4660,631.775748,15419.95222,15419.95222,1.5745414,0.0009992878,59.00933,0.7136399,0.0004866291,0.8255093,0.0004999465,0.7135915,0.0004321667,9320997,5645,83284343
most~prestigious,17,most,prestigious,35273,4043.214292,125687.38027,125687.38027,1.5849684,0.00926615,166.28299,0.7023259,0.0045385766,0.7928299,0.004660309,0.70195067,0.004126115,7568812,44490,83284343
most~beloved,18,most,beloved,18447,2118.302583,65573.15519,65573.15519,1.5802671,0.0048595117,120.223305,0.700728,0.0023730246,0.79141104,0.0024372386,0.7005319,0.002157366,7568812,23309,83284343
too~shabby,19,too,shabby,5903,340.134696,28311.13306,28311.13306,1.8083142,0.0033112667,72.40393,0.69865596,0.0016335011,0.7413035,0.0016593393,0.69858915,0.0015637272,3557440,7963,83284343
more~equitable,20,more,equitable,8114,1120.5206,26271.93006,26271.93006,1.5307724,0.0017391474,77.63826,0.69859374,0.0008448464,0.8104275,0.0008705077,0.69850975,0.0007502931,9320997,10012,83284343
even~crazier,21,even,crazier,2177,41.252276,15093.90826,15093.90826,2.254549,0.003876176,45.774197,0.69638944,0.0019325623,0.70981413,0.0019433943,0.6963638,0.0019065687,1120205,3067,83284343
more~holistic,22,more,holistic,6449,896.685082,20713.2667,20713.2667,1.5152737,0.0013825691,69.13976,0.69306654,0.0006707467,0.80491763,0.0006918788,0.69299984,0.0005956782,9320997,8012,83284343
most~recent,23,most,recent,313185,36520.7943,1106215.50774,1106215.50774,1.5659941,0.07858433,494.37045,0.69179547,0.040207185,0.77933663,0.041378357,0.6884575,0.03655319,7568812,401861,83284343
still~undecided,24,still,undecided,4931,70.804455,36772.44924,36772.44924,2.3554873,0.011779939,69.21277,0.6842075,0.005914023,0.694116,0.005940377,0.68414915,0.005855079,830082,7104,83284343
still~ongoing,25,still,ongoing,8942,128.960986,66594.72458,66594.72458,2.351445,0.021214182,93.19838,0.6812279,0.010723954,0.691089,0.010772429,0.6811221,0.010617071,830082,12939,83284343
not~uncommon,26,not,uncommon,45216,3272.21873,196159.90042,196159.90042,1.6940749,0.02019698,197.25204,0.6801297,0.0100304205,0.7326463,0.010239629,0.67962575,0.009498601,4415785,61716,83284343
as~usual,27,as,usual,16714,1035.942134,77032.07254,77032.07254,1.7406846,0.00895432,121.26963,0.6743394,0.0044230134,0.71869624,0.004505226,0.6741511,0.00422599,3709914,23256,83284343
very~next,28,very,next,18063,2711.767899,54868.63363,54868.63363,1.4529699,0.0036357914,114.22162,0.674016,0.0017577563,0.7928628,0.0018220732,0.67383164,0.0015485286,9913432,22782,83284343
previously~unpublished,29,previously,unpublished,2127,2.785217,25989.99907,25989.99907,3.3799317,0.055607844,46.059017,0.6716078,0.028990645,0.6724629,0.029003095,0.6715823,0.028965117,73337,3163,83284343
very~finest,30,very,finest,2076,314.361295,6238.54998,6238.54998,1.4342868,0.0004187141,38.663677,0.6670559,0.0002017122,0.7860659,0.0002094128,0.66703475,0.0001777022,9913432,2641,83284343
most~notorious,31,most,notorious,17387,2108.851149,58403.74313,58403.74313,1.4765488,0.0045803376,115.86664,0.6585825,0.0022203499,0.7492782,0.00229719,0.658399,0.0020185662,7568812,23205,83284343
mentally~retarded,32,mentally,retarded,5832,8.626179,69931.46391,69931.46391,3.3273134,0.12979469,76.25458,0.6565946,0.07196793,0.65749717,0.072004445,0.65652466,0.07189794,80995,8870,83284343
much~broader,33,much,broader,13869,487.066486,78409.86753,78409.86753,1.9407994,0.013819623,113.63086,0.65555954,0.006900269,0.6792536,0.0069808247,0.65539885,0.006735665,1986728,20418,83284343
not~alone,34,not,alone,57909,4389.044437,242366.97596,242366.97596,1.6245399,0.025745543,222.40405,0.64717567,0.012798742,0.699553,0.013114089,0.6465324,0.012120145,4415785,82780,83284343
most~iconic,35,most,iconic,28915,3573.732497,95314.47501,95314.47501,1.4454607,0.0076010735,149.0276,0.6447269,0.0036828073,0.7353016,0.0038202824,0.6444224,0.003348117,7568812,39324,83284343
more~bearable,36,more,bearable,4052,606.034663,11962.34329,11962.34329,1.3728029,0.0008689301,54.134758,0.6364154,0.0004162894,0.7482918,0.0004347174,0.636374,0.0003696992,9320997,5415,83284343
much~nicer,37,much,nicer,7236,262.879453,40094.69864,40094.69864,1.8950238,0.0072441567,81.974335,0.63285327,0.0035956244,0.6566243,0.0036421693,0.6327696,0.0035098516,1986728,11020,83284343
largely~ceremonial,38,largely,ceremonial,3067,9.619161,31864.33896,31864.33896,2.947063,0.03599871,55.20681,0.6318575,0.018504135,0.6338086,0.018525453,0.6318208,0.018467352,165556,4839,83284343
all~set,39,all,set,4839,39.5259,40945.8083,40945.8083,2.5205088,0.022237131,68.99472,0.62336594,0.011284292,0.6284416,0.011318821,0.6233083,0.011226367,427518,7700,83284343
very~near,40,very,near,9606,1548.000242,26817.09998,26817.09998,1.320851,0.0019354377,82.21593,0.6197046,0.0009226621,0.738639,0.0009689883,0.6196078,0.0008128365,9913432,13005,83284343
most~enduring,41,most,enduring,8599,1104.363679,27243.72128,27243.72128,1.3844475,0.002268577,80.82144,0.616831,0.001089184,0.70762014,0.0011361096,0.616741,0.0009901999,7568812,12152,83284343
almost~daily,42,almost,daily,6972,56.705767,59006.41052,59006.41052,2.5169883,0.032248367,82.81938,0.6168042,0.016502272,0.6217783,0.016553454,0.61672115,0.016418818,421181,11213,83284343
even~weirder,43,even,weirder,2012,43.296732,13115.5878,13115.5878,2.0880077,0.0035819067,43.89007,0.6116121,0.0017814097,0.6250388,0.0017960998,0.6115885,0.0017574491,1120205,3219,83284343
most~eminent,44,most,eminent,2559,331.072818,8045.82362,8045.82362,1.3732234,0.0006758706,44.04188,0.6115906,0.0003237812,0.70244306,0.000338098,0.61156386,0.0002943563,7568812,3643,83284343
not~guilty,45,not,guilty,50838,4075.162544,203597.65079,203597.65079,1.5476253,0.022631656,207.39899,0.6089778,0.011182847,0.6614364,0.011512789,0.6084158,0.0105899265,4415785,76860,83284343
much~smoother,46,much,smoother,4624,174.449859,25068.65126,25068.65126,1.8483301,0.0046378183,65.43456,0.6084973,0.0022943688,0.63229865,0.002327445,0.6084439,0.0022396373,1986728,7313,83284343
fully~operational,47,fully,operational,10760,48.621784,103716.72599,103716.72599,2.7692268,0.08754516,103.26169,0.60338265,0.047096334,0.6059923,0.047180567,0.603254,0.04696737,228060,17756,83284343
very~best,48,very,best,150096,24793.952673,408688.52441,408688.52441,1.28701,0.02965817,323.42502,0.6030601,0.014347413,0.720583,0.015140669,0.60155183,0.012639623,9913432,208298,83284343
most~famous,49,most,famous,165181,21974.401647,507890.86648,507890.86648,1.3429339,0.04229657,352.35706,0.5939817,0.020811994,0.68313634,0.0218239,0.59225714,0.018920617,7568812,241798,83284343
seemingly~endless,50,seemingly,endless,16264,53.681175,167435.87305,167435.87305,2.914043,0.17133166,127.10946,0.58869785,0.10006822,0.590452,0.10020393,0.5885031,0.0998732,162309,27545,83284343
very~least,51,very,least,84937,14359.919205,224625.35712,224625.35712,1.2492142,0.016929718,242.16714,0.58587086,0.00808126,0.7040534,0.008567871,0.5850222,0.007119339,9913432,120640,83284343
most~notable,52,most,notable,38695,5217.918448,116829.69964,116829.69964,1.3175956,0.010147874,170.18457,0.58346415,0.004865173,0.6739411,0.0051124273,0.5830619,0.0044230297,7568812,57416,83284343
much~easier,53,much,easier,142431,5654.412997,759763.06889,759763.06889,1.8214355,0.12809908,362.4178,0.57867813,0.07052757,0.6008859,0.071691245,0.5770312,0.06884515,1986728,237035,83284343
more~manageable,54,more,manageable,13998,2282.562688,37474.96718,37474.96718,1.2402405,0.0029969837,99.02059,0.5745676,0.0014152819,0.6863447,0.0015017707,0.57442695,0.0012568868,9320997,20395,83284343
much~simpler,55,much,simpler,15505,620.557722,81370.69386,81370.69386,1.7841895,0.015406843,119.53544,0.57234925,0.0076750233,0.5960252,0.0078042895,0.57217044,0.0074919374,1986728,26014,83284343
more~nuanced,56,more,nuanced,13581,2231.863943,36038.93918,36038.93918,1.2295382,0.0029078447,97.38609,0.5692435,0.0013710309,0.68102497,0.001457033,0.56910723,0.0012175882,9320997,19942,83284343
openly~gay,57,openly,gay,22872,19.010466,312322.25382,312322.25382,3.8230548,0.57476723,151.10922,0.5674588,0.5818495,0.5676561,0.5820588,0.56718427,0.581575,39295,40292,83284343
still~alive,58,still,alive,59658,1031.508485,413989.00167,413989.00167,2.1630886,0.12780534,240.0267,0.5671772,0.07133837,0.5764392,0.07187001,0.56647235,0.07062735,830082,103494,83284343
much~quicker,59,much,quicker,10123,419.17584,52091.30187,52091.30187,1.7473216,0.010101282,96.44691,0.55234873,0.005003686,0.57608694,0.0050953124,0.5522322,0.0048843245,1986728,17572,83284343
long~lasting,60,long,lasting,13366,21.439449,157180.73043,157180.73043,3.228844,0.27323556,115.42597,0.54993,0.181566,0.550653,0.18169707,0.5497697,0.18140562,73562,24273,83284343
more~conciliatory,61,more,conciliatory,3171,537.76483,8116.89364,8116.89364,1.1875721,0.0006800488,46.761833,0.5480514,0.0003181076,0.65993756,0.0003401997,0.5480198,0.0002825057,9320997,4805,83284343
more~palatable,62,more,palatable,9366,1591.134775,23931.80207,23931.80207,1.1856636,0.0020065957,80.337036,0.5469644,0.0009392416,0.6587888,0.0010048281,0.546871,0.0008341238,9320997,14217,83284343
more~traditional,63,more,traditional,52081,8880.897985,132696.8547,132696.8547,1.1828018,0.0110806525,189.2976,0.5449302,0.005218783,0.65632874,0.0055874926,0.544411,0.004634708,9320997,79352,83284343
most~influential,64,most,influential,62866,9048.475481,177879.31272,177879.31272,1.2373163,0.016396167,214.64255,0.5411681,0.007821218,0.6314003,0.008305927,0.5405211,0.0071104323,7568812,99566,83284343
