key,l1,l2,f,E11,am_expect_diff,adv,adv_total,adj,adj_total,am_p1_given2,am_log_likelihood,am_odds_ratio_disc,log_ratio,conservative_log_ratio,am_expect_diff_%
NEG-quite_sure,NEGATIVE,quite_sure,2967,441.485,2525.515,quite,43128.0,sure,11285.0,0.834,10847.003,2.423,8.044,7.163,85.120155
NEG-really_sure,NEGATIVE,really_sure,912,135.517,776.483,really,63523.0,sure,11285.0,0.834,3338.099,2.44,8.138,6.61,85.14068
NEG-ever_easy,NEGATIVE,ever_easy,368,53.857,314.143,ever,5050.0,easy,21735.0,0.849,1394.555,2.938,10.076,6.538,85.36495
NEG-entirely_sure,NEGATIVE,entirely_sure,366,53.712,312.288,entirely,11491.0,sure,11285.0,0.846,1377.178,2.789,9.484,6.384,85.32459
NEG-too_early,NEGATIVE,too_early,5200,803.058,4396.942,too,186765.0,early,5753.0,0.799,17795.498,1.991,6.589,6.159,84.55657
NEG-ever_simple,NEGATIVE,ever_simple,207,30.131,176.869,ever,5050.0,simple,27767.0,0.855,797.974,3.387,20.213,6.102,85.44396
NEG-ever_perfect,NEGATIVE,ever_perfect,207,30.277,176.723,ever,5050.0,perfect,4180.0,0.85,785.618,2.91,10.245,5.857,85.37343
NEG-ever_good,NEGATIVE,ever_good,300,44.542,255.458,ever,5050.0,good,37987.0,0.835,1099.39,2.434,8.197,5.755,85.152664
NEG-too_pleased,NEGATIVE,too_pleased,1293,200.728,1092.272,too,186765.0,pleased,3903.0,0.793,4371.82,1.945,6.464,5.662,84.47579
NEG-too_sure,NEGATIVE,too_sure,539,81.951,457.049,too,186765.0,sure,11285.0,0.812,1887.477,2.112,7.042,5.634,84.79574
NEG-ever_enough,NEGATIVE,ever_enough,147,21.397,125.603,ever,5050.0,enough,10176.0,0.855,566.651,3.239,19.719,5.584,85.44422
NEG-too_careful,NEGATIVE,too_careful,677,103.93,573.07,too,186765.0,careful,2162.0,0.803,2331.281,2.027,6.747,5.576,84.648445
NEG-ever_certain,NEGATIVE,ever_certain,143,20.815,122.185,ever,5050.0,certain,2116.0,0.855,551.23,3.227,19.679,5.541,85.44405
NEG-quite_able,NEGATIVE,quite_able,340,51.237,288.763,quite,43128.0,able,8146.0,0.82,1209.913,2.204,7.378,5.499,84.9303
