key,index,l1,l2,f,E11,r_log_likelihood,r_log_likelihood_tt,r_odds_ratio_disc,r_Dice,r_t_score,r_p1_given2,r_p2_given1,r_p1_given2_simple,r_p2_given1_simple,r_p1_given2_margin,r_p2_given1_margin,r_expect_diff,am_log_likelihood,am_log_likelihood_tt,am_odds_ratio_disc,am_Dice,am_t_score,am_p1_given2,am_p2_given1,am_p1_given2_simple,am_p2_given1_simple,am_p1_given2_margin,am_p2_given1_margin,am_expect_diff,f1,f2,N
NEG-early,0,NEGATIVE,early,5218,837.410071,2,3,5,7,3,1,3,1630,8,1,3,3,16799.341132,16799.3411322,1.765297,0.03583939,60.642982,0.7636849,0.017961562,0.907005,0.01828087,0.76144445,0.015347066,4380.59,285435,5753,1960936
NEG-over,1,NEGATIVE,over,37,6.4046659,219,417,19,1861,206,2,663,2439,1861,2,326,663,106.258205,106.2582052,1.4676614,0.00025921347,5.029842,0.6953641,0.00012544886,0.84090906,0.00012962671,0.6953485,0.00010718845,30.595335,285435,44,1960936
NEG-late,2,NEGATIVE,late,11139,2036.5382068,1,1,32,2,1,3,1,2821,2,3,1,1,30025.747968,30025.747968,1.3768247,0.074402355,86.24536,0.6552693,0.03732247,0.7961547,0.039024647,0.65059406,0.03188979,9102.462,285435,13991,1960936
NEG-risk-free,3,NEGATIVE,risk-free,20,3.9301359,423,765,66,2722,343,4,1050,3069,2722,4,529,1050,48.386751,48.386751,1.205358,0.00014012372,3.5933309,0.5951883,6.589064e-05,0.7407407,7.006849e-05,0.59518015,5.629956e-05,16.069864,285435,27,1960936
NEG-shabby,4,NEGATIVE,shabby,94,18.6317554,109,209,65,980,100,5,333,3089,980,5,158,333,224.839157,224.8391571,1.2063838,0.0006583486,7.7736406,0.5888528,0.00030902948,0.734375,0.00032932192,0.58881444,0.00026404695,75.36825,285435,128,1960936
NEG-demoralizing,5,NEGATIVE,demoralizing,70,14.4104984,153,294,89,1206,134,6,421,3157,1206,6,206,421,159.198195,159.1981953,1.147103,0.0004903094,6.644216,0.56153846,0.00022793146,0.7070707,0.00024523973,0.56151015,0.00019475364,55.5895,285435,99,1960936
NEG-alone,6,NEGATIVE,alone,566,119.9419257,21,41,100,181,24,7,57,3206,181,7,32,57,1239.199277,1239.1992766,1.1101713,0.003954461,18.74922,0.5415602,0.0018289546,0.6868932,0.0019829383,0.5413326,0.0015627309,446.05807,285435,824,1960936
NEG-fancy,7,NEGATIVE,fancy,780,172.3437379,15,29,128,137,20,8,40,3249,138,8,24,40,1615.121597,1615.1215971,1.055175,0.0054427655,21.757584,0.51353323,0.0024915494,0.6587838,0.002732671,0.5132232,0.002128878,607.65625,285435,1184,1960936
NEG-opportune,8,NEGATIVE,opportune,27,5.9679842,374,684,130,2263,291,9,881,3250,2263,9,439,881,55.829166,55.8291658,1.046639,0.00018915776,4.047613,0.5129867,8.623675e-05,0.6585366,9.459246e-05,0.512976,7.368408e-05,21.032015,285435,41,1960936
NEG-foolproof,9,NEGATIVE,foolproof,29,6.6957871,366,672,169,2166,280,10,843,3279,2166,10,416,843,56.523418,56.5234182,0.9954605,0.00020316588,4.1417885,0.48488557,9.145309e-05,0.6304348,0.00010159931,0.4848742,7.814113e-05,22.304213,285435,46,1960936
NEG-aggravating,10,NEGATIVE,aggravating,112,26.7831485,118,227,200,864,90,11,299,3296,864,11,143,299,208.054165,208.0541651,0.95960313,0.00078426156,8.052236,0.46317852,0.00034941133,0.6086956,0.00039238355,0.46313506,0.00029855082,85.21685,285435,184,1960936
NEG-effectual,11,NEGATIVE,effectual,21,5.0946206,505,902,219,2643,365,12,1059,3300,2643,12,533,1059,38.235732,38.2357318,0.9397356,0.00014712579,3.4708383,0.4544475,6.521621e-05,0.6,7.357192e-05,0.4544394,5.57233e-05,15.905379,285435,35,1960936
NEG-pressing,12,NEGATIVE,pressing,28,6.8413477,405,736,226,2219,296,13,874,3305,2219,13,437,874,50.478983,50.478983,0.9334848,0.00019615948,3.9986095,0.4501949,8.6756e-05,0.59574467,9.809589e-05,0.45018408,7.412774e-05,21.158651,285435,47,1960936
NEG-frustrating,13,NEGATIVE,frustrating,2062,509.6076236,6,11,228,35,5,14,12,3308,36,14,10,12,3668.309235,3668.3092347,0.9275947,0.014273057,34.1867,0.44420707,0.006365214,0.5889746,0.0072240615,0.443414,0.0054386896,1552.3923,285435,3501,1960936
NEG-eventful,14,NEGATIVE,eventful,53,13.100453,241,456,230,1482,177,15,547,3309,1482,15,272,547,94.019835,94.0198353,0.92303044,0.00037124596,5.480624,0.44334865,0.00016359855,0.5888889,0.0001856815,0.4433283,0.00013978504,39.899548,285435,90,1960936
NEG-groundbreaking,15,NEGATIVE,groundbreaking,76,19.505119,182,348,259,1129,141,16,414,3326,1129,16,204,414,127.851557,127.8515566,0.885243,0.00053227064,6.480407,0.4216324,0.00023164376,0.5671642,0.00026626026,0.4216036,0.00019792556,56.49488,285435,134,1960936
NEG-clear-cut,16,NEGATIVE,clear-cut,73,18.777316,195,370,269,1170,145,17,434,3327,1170,17,213,434,122.411386,122.4113859,0.8829723,0.0005112689,6.3462853,0.42035854,0.00022232716,0.56589144,0.00025575,0.42033088,0.00018996508,54.222683,285435,129,1960936
NEG-revelatory,17,NEGATIVE,revelatory,62,16.0116648,227,431,273,1325,164,18,490,3329,1325,18,238,490,103.372877,103.372877,0.878857,0.0004342573,5.840524,0.41809922,0.00018856418,0.56363636,0.00021721233,0.41807577,0.00016111667,45.988335,285435,110,1960936
NEG-evident,18,NEGATIVE,evident,1469,380.058699,8,15,272,57,9,19,27,3331,58,19,16,27,2447.619925,2447.619925,0.879895,0.01019976,28.41146,0.41761515,0.0044649434,0.5626197,0.005146531,0.4170591,0.0038150237,1088.9413,285435,2611,1960936
NEG-motivating,19,NEGATIVE,motivating,128,33.6244962,117,225,289,780,84,20,273,3334,780,20,129,273,208.272951,208.272951,0.8627677,0.00089615147,8.341695,0.4086001,0.0003869642,0.55411255,0.00044843834,0.40855196,0.00033063747,94.3755,285435,231,1960936
NEG-disheartening,20,NEGATIVE,disheartening,128,33.7700567,120,231,292,781,85,21,274,3337,780,21,130,274,206.977435,206.977435,0.8585915,0.0008961483,8.328829,0.4062116,0.00038636735,0.55172414,0.00044843834,0.40616354,0.0003301275,94.22994,285435,232,1960936
NEG-paramount,21,NEGATIVE,paramount,34,9.0247565,381,695,298,1950,269,22,780,3340,1950,22,382,780,54.490279,54.4902789,0.85165554,0.00023818114,4.283219,0.40283924,0.00010240502,0.5483871,0.00011911644,0.40282652,8.749888e-05,24.975243,285435,62,1960936
NEG-pronounced,22,NEGATIVE,pronounced,23,6.1135448,518,922,303,2488,351,23,1018,3341,2488,23,513,1018,36.785596,36.7855959,0.84970015,0.00016113382,3.5210693,0.40206707,6.923887e-05,0.54761904,8.057877e-05,0.40205845,5.916042e-05,16.886456,285435,42,1960936
