key,index,l1,l2,f,E11,am_log_likelihood,am_log_likelihood_tt,am_odds_ratio_disc,am_Dice,am_t_score,am_p1_given2,am_p2_given1,am_p1_given2_simple,am_p2_given1_simple,am_p1_given2_margin,am_p2_given1_margin,am_expect_diff,f1,f2,N
NEG~anywhere,0,NEGMIR,anywhere,36,5.67686,118.550583,118.550583,1.78691565990448,0.0002522121067158878,5.053856372833252,0.7775318026542664,0.0001243328006239608,0.9230769276618958,0.0001261232973774895,0.7775163054466248,0.00010623480193316936,30.323137,285435,39,1960936
NEG~ever,1,NEGMIR,ever,4613,735.08098,15005.642086,15005.642086,1.7986520528793335,0.03176067769527435,57.09617233276367,0.7698874473571777,0.01590047962963581,0.9134653210639954,0.016161298379302025,0.7679047584533691,0.013585996814072132,3877.919023,285435,5050,1960936
NEG~this,2,NEGMIR,this,28,5.38574,69.700361,69.700361,1.2457983493804932,0.00019616629288066179,4.273693084716797,0.6112077236175537,9.272439638152719e-05,0.7567567825317383,9.809590119402856e-05,0.6111961603164673,7.922729855636135e-05,22.614258,285435,37,1960936
NEG~exactly,3,NEGMIR,exactly,787,157.05988,1866.848907,1866.848907,1.1998848915100098,0.005493623204529285,22.454940795898438,0.584139883518219,0.0025829188525676727,0.7293790578842163,0.0027571951504796743,0.5838184356689453,0.0022069476544857025,629.940124,285435,1079,1960936
NEG~any,4,NEGMIR,any,1068,217.61308,2465.167977,2465.167977,1.1679925918579102,0.007444324437528849,26.02141761779785,0.5692546963691711,0.0034868083894252777,0.7143812775611877,0.00374165759421885,0.5688206553459167,0.002979266457259655,850.386919,285435,1495,1960936
NEG~remotely,5,NEGMIR,remotely,1758,379.76758,3756.604812,3756.604812,1.0860570669174194,0.012206468731164932,32.871009826660156,0.5289645791053772,0.005651112645864487,0.6738213896751404,0.006159020587801933,0.5282608270645142,0.004828533623367548,1378.232422,285435,2609,1960936
NEG~particularly,6,NEGMIR,particularly,9079,2126.93133,17547.895327,17547.895327,0.9963006377220154,0.06051718443632126,72.96171569824219,0.47934994101524353,0.028505295515060425,0.6213386058807373,0.031807590276002884,0.4757780432701111,0.024356048554182053,6952.068667,285435,14612,1960936
NEG~anymore,7,NEGMIR,anymore,16,3.78458,30.169538,30.169538,0.9649532437324524,0.00011209939839318395,3.053856134414673,0.4698302447795868,5.0086400733562186e-05,0.6153846383094788,5.6054799642879516e-05,0.46982401609420776,4.2795800254680216e-05,12.215425,285435,26,1960936
NEG~that,8,NEGMIR,that,4318,1083.11635,7546.071822,7546.071822,0.9151381254196167,0.0294868815690279,49.22858428955078,0.43639370799064636,0.013263867236673832,0.5802983641624451,0.015127787366509438,0.43473777174949646,0.011333171278238297,3234.883654,285435,7441,1960936
NEG~necessarily,9,NEGMIR,necessarily,936,235.37147,1622.664163,1622.664163,0.9079287052154541,0.00652146665379405,22.900760650634766,0.43364670872688293,0.002872759709134698,0.578849732875824,0.003279205411672592,0.43328914046287537,0.002454599132761359,700.628527,285435,1617,1960936
