,l1,l2,f,E11,am_log_likelihood,am_odds_ratio_disc,am_p1_given2,am_p2_given1,log_ratio,conservative_log_ratio,unexpected_count,unexpected_ratio,joint_probability,adv,adj,adv_total,adj_total
0,NEGATED,exactly_shy,124,4.693,812.028,3.801,0.962,0.0,21.588,7.201,119.307,0.962,0.0,exactly,shy,59426.0,50705.0
1,NEGATED,exactly_forthcoming,107,4.049,700.701,3.738,0.962,0.0,21.375,6.969,102.951,0.962,0.0,exactly,forthcoming,59426.0,11222.0
2,NEGATED,exactly_practical,106,4.011,694.152,3.734,0.962,0.0,21.362,6.954,101.989,0.962,0.0,exactly,practical,59426.0,67013.0
3,NEGATED,exactly_impressive,100,3.784,654.86,3.708,0.962,0.0,21.278,6.862,96.216,0.962,0.0,exactly,impressive,59426.0,195248.0
4,NEGATED,exactly_straightforward,83,3.141,543.534,3.628,0.962,0.0,21.009,6.563,79.859,0.962,0.0,exactly,straightforward,59426.0,59542.0
5,NEGATED,exactly_reassuring,78,2.952,510.79,3.601,0.962,0.0,20.919,6.462,75.048,0.962,0.0,exactly,reassuring,59426.0,8768.0
6,NEGATED,exactly_intuitive,76,2.876,497.693,3.59,0.962,0.0,20.882,6.419,73.124,0.962,0.0,exactly,intuitive,59426.0,23265.0
7,NEGATED,exactly_novel,66,2.498,432.207,3.529,0.962,0.0,20.678,6.186,63.502,0.962,0.0,exactly,novel,59426.0,8056.0
8,NEGATED,exactly_unheard,65,2.46,425.658,3.523,0.962,0.0,20.656,6.161,62.54,0.962,0.0,exactly,unheard,59426.0,17809.0
9,NEGATED,exactly_romantic,64,2.422,419.11,3.516,0.962,0.0,20.634,6.135,61.578,0.962,0.0,exactly,romantic,59426.0,33311.0
10,NEGATED,that_thrilled,59,2.233,386.367,3.481,0.962,0.0,20.517,5.997,56.767,0.962,0.0,that,thrilled,249255.0,29212.0
11,NEGATED,exactly_kind,52,1.968,340.527,3.426,0.962,0.0,20.334,5.781,50.032,0.962,0.0,exactly,kind,59426.0,30230.0
