      l1  l2                    f       E11  r.log.likelihood  r.log.likelihood.tt  r.odds.ratio.disc  r.Dice  r.t.score  r.p1.given2  r.p2.given1  r.p1.given2.simple  r.p2.given1.simple  r.p1.given2.margin  r.p2.given1.margin  r.expect.diff  am.log.likelihood  am.log.likelihood.tt  am.odds.ratio.disc  am.Dice  am.t.score  am.p1.given2  am.p2.given1  am.p1.given2.simple  am.p2.given1.simple  am.p1.given2.margin  am.p2.given1.margin  am.expect.diff       f1     f2        N  
--------  ----------------  -----  --------  ----------------  -------------------  -----------------  ------  ---------  -----------  -----------  ------------------  ------------------  ------------------  ------------------  -------------  -----------------  --------------------  ------------------  -------  ----------  ------------  ------------  -------------------  -------------------  -------------------  -------------------  --------------  -------  -----  -------  
NEGATIVE  early              5218    837.41                 2                    3                  5       7          3            1            3                1711                   8                   1                   3              3           16799.34              16799.34               1.765   0.0358       60.64         0.764       0.01796                0.907               0.0183                0.761              0.01535         4380.59   285435   5753  1960936  
NEGATIVE  over                 37      6.40               219                  421                 19    1861        206            2          663                2574                1861                   2                 326            663             106.26                106.26               1.468   0.0003        5.03         0.695       0.00013                0.841               0.0001                0.695              0.00011           30.60   285435     44  1960936  
NEGATIVE  late              11139   2036.54                 1                    1                 32       2          1            3            1                2978                   2                   3                   1              1           30025.75              30025.75               1.377   0.0744       86.25         0.655       0.03732                0.796               0.0390                0.651              0.03189         9102.46   285435  13991  1960936  
NEGATIVE  risk-free            20      3.93               423                  781                 66    2722        343            4         1050                3245                2722                   4                 529           1050              48.39                 48.39               1.205   0.0001        3.59         0.595       0.00007                0.741               0.0001                0.595              0.00006           16.07   285435     27  1960936  
NEGATIVE  shabby               94     18.63               109                  211                 65     980        100            5          333                3268                 980                   5                 158            333             224.84                224.84               1.206   0.0007        7.77         0.589       0.00031                0.734               0.0003                0.589              0.00026           75.37   285435    128  1960936  
NEGATIVE  demoralizing         70     14.41               153                  297                 89    1206        134            6          421                3341                1206                   6                 206            421             159.20                159.20               1.147   0.0005        6.64         0.562       0.00023                0.707               0.0002                0.562              0.00019           55.59   285435     99  1960936  
NEGATIVE  alone               566    119.94                21                   41                100     181         24            7           57                3393                 181                   7                  32             57            1239.20               1239.20               1.110   0.0040       18.75         0.542       0.00183                0.687               0.0020                0.541              0.00156          446.06   285435    824  1960936  
NEGATIVE  fancy               780    172.34                15                   29                128     137         20            8           40                3440                 138                   8                  24             40            1615.12               1615.12               1.055   0.0054       21.76         0.514       0.00249                0.659               0.0027                0.513              0.00213          607.66   285435   1184  1960936  
NEGATIVE  opportune            27      5.97               374                  697                130    2263        291            9          881                3441                2263                   9                 439            881              55.83                 55.83               1.047   0.0002        4.05         0.513       0.00009                0.659               0.0001                0.513              0.00007           21.03   285435     41  1960936  
NEGATIVE  foolproof            29      6.70               366                  684                169    2166        280           10          843                3471                2166                  10                 416            843              56.52                 56.52               0.995   0.0002        4.14         0.485       0.00009                0.630               0.0001                0.485              0.00008           22.30   285435     46  1960936  
NEGATIVE  aggravating         112     26.78               118                  229                200     864         90           11          299                3489                 864                  11                 143            299             208.05                208.05               0.960   0.0008        8.05         0.463       0.00035                0.609               0.0004                0.463              0.00030           85.22   285435    184  1960936  
NEGATIVE  effectual            21      5.09               505                  922                219    2643        365           12         1059                3494                2643                  12                 533           1059              38.24                 38.24               0.940   0.0001        3.47         0.454       0.00007                0.600               0.0001                0.454              0.00006           15.91   285435     35  1960936  
NEGATIVE  pressing             28      6.84               405                  751                226    2219        296           13          874                3499                2219                  13                 437            874              50.48                 50.48               0.933   0.0002        4.00         0.450       0.00009                0.596               0.0001                0.450              0.00007           21.16   285435     47  1960936  
NEGATIVE  frustrating        2062    509.61                 6                   11                228      35          5           14           12                3503                  36                  14                  10             12            3668.31               3668.31               0.928   0.0143       34.19         0.444       0.00637                0.589               0.0072                0.443              0.00544         1552.39   285435   3501  1960936  
NEGATIVE  eventful             53     13.10               241                  461                230    1482        177           15          547                3504                1482                  15                 272            547              94.02                 94.02               0.923   0.0004        5.48         0.443       0.00016                0.589               0.0002                0.443              0.00014           39.90   285435     90  1960936  
NEGATIVE  groundbreaking       76     19.51               182                  351                259    1129        141           16          414                3522                1129                  16                 204            414             127.85                127.85               0.885   0.0005        6.48         0.422       0.00023                0.567               0.0003                0.422              0.00020           56.49   285435    134  1960936  
NEGATIVE  clear-cut            73     18.78               195                  374                269    1170        145           17          434                3524                1170                  17                 213            434             122.41                122.41               0.883   0.0005        6.35         0.420       0.00022                0.566               0.0003                0.420              0.00019           54.22   285435    129  1960936  
NEGATIVE  revelatory           62     16.01               227                  436                273    1325        164           18          490                3526                1325                  18                 238            490             103.37                103.37               0.879   0.0004        5.84         0.418       0.00019                0.564               0.0002                0.418              0.00016           45.99   285435    110  1960936  
NEGATIVE  evident            1469    380.06                 8                   15                272      57          9           19           27                3528                  58                  19                  16             27            2447.62               2447.62               0.880   0.0102       28.41         0.418       0.00446                0.563               0.0051                0.417              0.00382         1088.94   285435   2611  1960936  
NEGATIVE  motivating          128     33.62               117                  227                289     780         84           20          273                3531                 780                  20                 129            273             208.27                208.27               0.863   0.0009        8.34         0.409       0.00039                0.554               0.0004                0.409              0.00033           94.38   285435    231  1960936  
NEGATIVE  disheartening       128     33.77               120                  233                292     781         85           21          274                3534                 780                  21                 130            274             206.98                206.98               0.859   0.0009        8.33         0.406       0.00039                0.552               0.0004                0.406              0.00033           94.23   285435    232  1960936  
NEGATIVE  paramount            34      9.02               381                  709                298    1950        269           22          780                3537                1950                  22                 382            780              54.49                 54.49               0.852   0.0002        4.28         0.403       0.00010                0.548               0.0001                0.403              0.00009           24.98   285435     62  1960936  
NEGATIVE  pronounced           23      6.11               518                  943                303    2488        351           23         1018                3538                2488                  23                 513           1018              36.79                 36.79               0.850   0.0002        3.52         0.402       0.00007                0.548               0.0001                0.402              0.00006           16.89   285435     42  1960936  
NEGATIVE  telling              19      5.09               607                 1084                317    2802        398           24         1155                3540                2802                  24                 590           1155              30.00                 30.00               0.841   0.0001        3.19         0.397       0.00006                0.543               0.0001                0.397              0.00005           13.91   285435     35  1960936  
NEGATIVE  certain            1146    308.01                12                   23                316      79         16           25           32                3542                  80                  25                  18             32            1806.38               1806.38               0.843   0.0080       24.75         0.396       0.00344                0.542               0.0040                0.396              0.00294          837.99   285435   2116  1960936  
NEGATIVE  strenuous           196     52.69                78                  153                318     534         60           26          181                3543                 535                  26                  89            181             308.41                308.41               0.841   0.0014       10.24         0.396       0.00059                0.541               0.0007                0.396              0.00050          143.31   285435    362  1960936  
NEGATIVE  fearsome             40     11.06               352                  660                343    1782        244           27          690                3549                1782                  27                 344            690              60.36                 60.36               0.814   0.0003        4.58         0.381       0.00012                0.526               0.0001                0.381              0.00010           28.94   285435     76  1960936  
NEGATIVE  sure               5814   1642.65                 3                    5                348       6          4           28            5                3551                   5                  28                   4              5            8568.48               8568.48               0.803   0.0392       54.71         0.372       0.01710                0.515               0.0204                0.370              0.01461         4171.35   285435  11285  1960936  
NEGATIVE  monolithic           20      5.68               620                 1106                369    2723        396           29         1133                3552                2722                  29                 574           1133              29.03                 29.03               0.790   0.0001        3.20         0.367       0.00006                0.513               0.0001                0.367              0.00005           14.32   285435     39  1960936  
NEGATIVE  frightful            26      7.42               512                  932                373    2328        338           30          966                3553                2328                  30                 482            966              37.40                 37.40               0.785   0.0002        3.64         0.364       0.00008                0.510               0.0001                0.364              0.00007           18.58   285435     51  1960936  
NEGATIVE  exhilarating        186     53.13                92                  179                372     567         65           31          195                3554                 569                  31                  96            195             267.43                267.43               0.785   0.0013        9.74         0.364       0.00054                0.510               0.0007                0.364              0.00047          132.87   285435    365  1960936  
NEGATIVE  discouraging        122     34.93               144                  279                378     805         96           32          289                3555                 805                  32                 139            289             174.74                174.74               0.783   0.0009        7.88         0.363       0.00036                0.508               0.0004                0.363              0.00031           87.07   285435    240  1960936  
NEGATIVE  presumptuous         31      8.88               457                  841                379    2069        303           33          852                3556                2069                  33                 426            852              44.38                 44.38               0.783   0.0002        3.97         0.363       0.00009                0.508               0.0001                0.363              0.00008           22.12   285435     61  1960936  
NEGATIVE  invigorating         64     18.49               251                  481                383    1288        168           34          495                3557                1288                  34                 240            495              90.45                 90.45               0.776   0.0004        5.69         0.358       0.00019                0.504               0.0002                0.358              0.00016           45.51   285435    127  1960936  
NEGATIVE  stark               130     39.88               149                  289                435     773         95           35          283                3565                 773                  35                 136            283             167.27                167.27               0.725   0.0009        7.90         0.329       0.00037                0.474               0.0005                0.329              0.00032           90.12   285435    274  1960936  
NEGATIVE  emblematic           52     16.16               331                  626                459    1500        211           36          591                3567                1500                  36                 289            591              65.56                 65.56               0.714   0.0004        4.97         0.323       0.00015                0.468               0.0002                0.323              0.00013           35.84   285435    111  1960936  
NEGATIVE  satisfactory        187     58.52               108                  209                468     563         73           37          207                3568                 563                  37                 100            207             233.13                233.13               0.708   0.0013        9.40         0.320       0.00053                0.465               0.0007                0.320              0.00045          128.48   285435    402  1960936  
NEGATIVE  flashy              164     51.38               122                  237                469     634         76           38          233                3569                 634                  38                 114            233             204.03                204.03               0.707   0.0011        8.79         0.319       0.00046                0.465               0.0006                0.319              0.00039          112.62   285435    353  1960936  
NEGATIVE  conclusive           59     18.63               305                  578                485    1371        189           39          543                3570                1371                  39                 269            543              72.46                 72.46               0.701   0.0004        5.26         0.315       0.00017                0.461               0.0002                0.315              0.00014           40.37   285435    128  1960936  
NEGATIVE  taxing               17      5.39               783                 1352                486    2996        481           40         1295                3571                2996                  40                 659           1295              20.77                 20.77               0.700   0.0001        2.82         0.314       0.00005                0.459               0.0001                0.314              0.00004           11.61   285435     37  1960936  
NEGATIVE  justified            16      5.09               823                 1412                492    3103        503           41         1347                3574                3103                  41                 688           1347              19.38                 19.38               0.696   0.0001        2.73         0.312       0.00004                0.457               0.0001                0.312              0.00004           10.91   285435     35  1960936  
NEGATIVE  final               102     32.61               194                  372                502     921        125           42          354                3576                 921                  42                 172            354             122.80                122.80               0.691   0.0007        6.87         0.310       0.00028                0.455               0.0004                0.310              0.00024           69.39   285435    224  1960936  
NEGATIVE  gratifying          295     95.49                69                  136                513     358         47           43          136                3579                 359                  43                  69            136             348.01                348.01               0.681   0.0021       11.62         0.304       0.00082                0.450               0.0010                0.304              0.00070          199.51   285435    656  1960936  
NEGATIVE  empowering           78     25.33               248                  475                517    1111        159           44          444                3580                1111                  44                 218            444              91.50                 91.50               0.679   0.0005        5.96         0.303       0.00022                0.448               0.0003                0.303              0.00018           52.67   285435    174  1960936  
NEGATIVE  sacrosanct           17      5.53               811                 1392                516    2997        488           45         1307                3582                2996                  45                 666           1307              19.87                 19.87               0.679   0.0001        2.78         0.302       0.00005                0.447               0.0001                0.302              0.00004           11.47   285435     38  1960936  
NEGATIVE  dispiriting          33     10.77               503                  918                519    1977        312           46          847                3583                1977                  46                 420            847              38.37                 38.37               0.676   0.0002        3.87         0.300       0.00009                0.446               0.0001                0.300              0.00008           22.23   285435     74  1960936  
NEGATIVE  humiliating          81     26.64               243                  465                528    1083        153           47          431                3585                1083                  47                 211            431              93.03                 93.03               0.669   0.0006        6.04         0.297       0.00022                0.443               0.0003                0.297              0.00019           54.36   285435    183  1960936  
NEGATIVE  demonstrative        22      7.28               686                 1208                532    2573        407           48         1108                3586                2573                  48                 556           1108              25.01                 25.01               0.666   0.0002        3.14         0.294       0.00006                0.440               0.0001                0.294              0.00005           14.72   285435     50  1960936  
NEGATIVE  changeable           24      8.01               661                 1172                539    2435        385           49         1052                3588                2435                  49                 531           1052              26.91                 26.91               0.660   0.0002        3.26         0.291       0.00007                0.436               0.0001                0.291              0.00006           15.99   285435     55  1960936  
NEGATIVE  showy                43     14.41               428                  789                541    1707        260           50          700                3590                1707                  50                 348            700              47.83                 47.83               0.655   0.0003        4.36         0.289       0.00012                0.434               0.0002                0.289              0.00010           28.59   285435     99  1960936  
NEGATIVE  tenable              16      5.39               871                 1486                544    3104        527           51         1372                3593                3103                  51                 698           1372              17.66                 17.66               0.654   0.0001        2.65         0.287       0.00004                0.432               0.0001                0.287              0.00004           10.61   285435     37  1960936  
NEGATIVE  nerve-wracking       19      6.40               778                 1345                547    2803        456           52         1225                3594                2802                  52                 618           1225              20.92                 20.92               0.652   0.0001        2.89         0.286       0.00005                0.432               0.0001                0.286              0.00004           12.60   285435     44  1960936  
NEGATIVE  perilous             79     26.64               264                  505                555    1100        161           53          445                3595                1100                  53                 220            445              86.96                 86.96               0.650   0.0006        5.89         0.286       0.00021                0.432               0.0003                0.286              0.00018           52.36   285435    183  1960936  
NEGATIVE  hurt                 99     33.77               217                  417                567     933        138           54          371                3596                 933                  54                 184            371             106.82                106.82               0.641   0.0007        6.56         0.281       0.00027                0.427               0.0003                0.281              0.00023           65.23   285435    232  1960936  
NEGATIVE  exasperating         23      7.86               693                 1219                566    2499        405           55         1087                3597                2488                  55                 550           1087              24.73                 24.73               0.641   0.0002        3.16         0.280       0.00006                0.426               0.0001                0.280              0.00005           15.14   285435     54  1960936  
NEGATIVE  major               283     97.38                81                  158                578     374         52           56          142                3598                 373                  56                  75            142             300.85                300.85               0.634   0.0020       11.03         0.278       0.00076                0.423               0.0010                0.277              0.00065          185.62   285435    669  1960936  
NEGATIVE  ours                 49     16.89               398                  740                580    1569        243           57          642                3599                1569                  57                 310            642              51.94                 51.94               0.634   0.0003        4.59         0.277       0.00013                0.422               0.0002                0.277              0.00011           32.11   285435    116  1960936  
