l1,l2,f,E11,r_log_likelihood,r_log_likelihood_tt,r_odds_ratio_disc,r_Dice,r_t_score,r_p1_given2,r_p2_given1,r_p1_given2_simple,r_p2_given1_simple,r_p1_given2_margin,r_p2_given1_margin,r_expect_diff,am_log_likelihood,am_log_likelihood_tt,am_odds_ratio_disc,am_Dice,am_t_score,am_p1_given2,am_p2_given1,am_p1_given2_simple,am_p2_given1_simple,am_p1_given2_margin,am_p2_given1_margin,am_expect_diff,f1,f2,N
NEGATIVE,early,5218,837.410071,2,3,5,7,3,1,3,1440,8,1,3,3,16799.341132,16799.3411322,1.7652970839,0.03583938899,60.64298399,0.7636849527,0.01796156207,0.9070050408,0.01828086955,0.7614444514,0.01534706651,4380.5899290,285435,5753,1960936
NEGATIVE,over,37,6.404666,219,408,19,1861,206,2,663,2171,1861,2,326,663,106.258205,106.2582052,1.4676613247,0.00025921346,5.02984194,0.6953641042,0.00012544886,0.8409090909,0.00012962671,0.6953485015,0.00010718845,30.5953341,285435,44,1960936
NEGATIVE,late,11139,2036.538207,1,1,32,2,1,3,1,2512,2,3,1,1,30025.747968,30025.7479680,1.3768247237,0.07440235651,86.24536465,0.6552693351,0.03732246915,0.7961546709,0.03902464659,0.6505940814,0.03188978854,9102.4617932,285435,13991,1960936
NEGATIVE,shabby,94,18.631755,109,206,65,980,100,4,333,2745,980,4,158,333,224.839157,224.8391571,1.2063837815,0.00065834860,7.77364087,0.5888528479,0.00030902947,0.7343750000,0.00032932191,0.5888144106,0.00026404696,75.3682446,285435,128,1960936
NEGATIVE,demoralizing,70,14.410498,153,289,88,1206,134,5,421,2803,1206,5,206,421,159.198195,159.1981953,1.1471029382,0.00049030939,6.64421627,0.5615384675,0.00022793147,0.7070707071,0.00024523972,0.5615101176,0.00019475363,55.5895016,285435,99,1960936
NEGATIVE,alone,566,119.941926,21,41,99,181,24,6,57,2847,181,6,32,57,1239.199277,1239.1992766,1.1101713550,0.00395446082,18.74921933,0.5415601821,0.00182895453,0.6868932039,0.00198293832,0.5413326145,0.00156273083,446.0580743,285435,824,1960936
NEGATIVE,fancy,780,172.343738,15,29,127,137,20,7,40,2887,138,7,24,40,1615.121597,1615.1215971,1.0551748924,0.00544276548,21.75758438,0.5135332623,0.00249154928,0.6587837838,0.00273267119,0.5132231944,0.00212887790,607.6562621,285435,1184,1960936
NEGATIVE,aggravating,112,26.783148,118,224,167,864,90,8,299,2925,864,8,143,299,208.054165,208.0541651,0.9596031311,0.00078426155,8.05223560,0.4631785241,0.00034941133,0.6086956522,0.00039238355,0.4631350627,0.00029855081,85.2168515,285435,184,1960936
NEGATIVE,frustrating,2062,509.607624,6,11,179,35,5,9,12,2935,36,9,10,12,3668.309235,3668.3092347,0.9275947218,0.01427305701,34.18669921,0.4442070641,0.00636521393,0.5889745787,0.00722406152,0.4434139893,0.00543868964,1552.3923764,285435,3501,1960936
NEGATIVE,eventful,53,13.100453,241,445,181,1482,177,10,547,2936,1482,10,272,547,94.019835,94.0198353,0.9230304065,0.00037124595,5.48062427,0.4433486476,0.00016359856,0.5888888889,0.00018568150,0.4433282995,0.00013978505,39.8995470,285435,90,1960936
NEGATIVE,groundbreaking,76,19.505119,182,340,202,1129,141,11,414,2946,1129,11,204,414,127.851557,127.8515566,0.8852430207,0.00053227066,6.48040729,0.4216324018,0.00023164376,0.5671641791,0.00026626027,0.4216035897,0.00019792556,56.4948810,285435,134,1960936
NEGATIVE,clear-cut,73,18.777316,195,362,206,1170,145,12,434,2947,1170,12,213,434,122.411386,122.4113859,0.8829722955,0.00051126893,6.34628514,0.4203585367,0.00022232716,0.5658914729,0.00025575000,0.4203308834,0.00018996508,54.2226840,285435,129,1960936
NEGATIVE,revelatory,62,16.011665,227,421,210,1325,164,13,490,2949,1325,13,238,490,103.372877,103.3728770,0.8788570161,0.00043425730,5.84052441,0.4180992278,0.00018856418,0.5636363636,0.00021721233,0.4180757742,0.00016111666,45.9883352,285435,110,1960936
NEGATIVE,evident,1469,380.058699,8,15,209,57,9,14,27,2951,58,14,16,27,2447.619925,2447.6199250,0.8798949836,0.01019975976,28.41146133,0.4176151540,0.00446494355,0.5626196859,0.00514653073,0.4170590965,0.00381502374,1088.9413010,285435,2611,1960936
NEGATIVE,motivating,128,33.624496,117,222,220,780,84,15,273,2953,780,15,129,273,208.272951,208.2729510,0.8627677119,0.00089615145,8.34169484,0.4086000981,0.00038696420,0.5541125541,0.00044843835,0.4085519647,0.00033063746,94.3755038,285435,231,1960936
NEGATIVE,disheartening,128,33.770057,120,228,223,781,85,16,274,2955,780,16,130,274,206.977435,206.9774350,0.8585915120,0.00089614831,8.32882898,0.4062116077,0.00038636736,0.5517241379,0.00044843835,0.4061635485,0.00033012750,94.2299433,285435,232,1960936
NEGATIVE,paramount,34,9.024757,379,675,229,1950,269,17,780,2958,1950,17,382,780,54.490279,54.4902789,0.8516555470,0.00023818114,4.28321892,0.4028392441,0.00010240502,0.5483870968,0.00011911644,0.4028265073,0.00008749888,24.9752435,285435,62,1960936
NEGATIVE,certain,1146,308.006207,12,23,236,79,16,18,32,2960,80,18,18,32,1806.379854,1806.3798544,0.8425110212,0.00797075997,24.75417705,0.3964551177,0.00343599327,0.5415879017,0.00401492459,0.3960273123,0.00293584807,837.9937928,285435,2116,1960936
