        l1  l2                       f         E11  r.log.likelihood  r.log.likelihood.tt  r.odds.ratio.disc  r.Dice  r.t.score  r.p1.given2  r.p2.given1  r.p1.given2.simple  r.p2.given1.simple  r.p1.given2.margin  r.p2.given1.margin  r.expect.diff  am.log.likelihood  am.log.likelihood.tt  am.odds.ratio.disc  am.Dice  am.t.score  am.p1.given2  am.p2.given1  am.p1.given2.simple  am.p2.given1.simple  am.p1.given2.margin  am.p2.given1.margin  am.expect.diff        f1       f2         N  
----------  -----------------  -------  ----------  ----------------  -------------------  -----------------  ------  ---------  -----------  -----------  ------------------  ------------------  ------------------  ------------------  -------------  -----------------  --------------------  ------------------  -------  ----------  ------------  ------------  -------------------  -------------------  -------------------  -------------------  --------------  --------  -------  --------  
   NEGATED  shabby                5533      300.81                10                   19                 12     204         19            1           56                3891                 209                   1                  33             56           26656.61              26656.61               1.765   0.0035       70.34         0.658       0.00173                0.695              0.00176                0.657              0.00166         5232.19   3148010     7958  83280549  
   NEGATED  farfetched             568       66.87               152                  303                111    1415        107            2          459                3895                1416                   2                 170            459            1592.80               1592.80               1.081   0.0004       21.03         0.283       0.00017                0.321              0.00018                0.283              0.00016          501.13   3148010     1769  83280549  
   NEGATED  clear-cut             1367      165.79                81                  161                117     732         70            3          227                3896                 736                   3                 101            227            3745.76               3745.76               1.062   0.0009       32.49         0.274       0.00040                0.312              0.00043                0.274              0.00038         1201.21   3148010     4386  83280549  
   NEGATED  rosy                  2075      251.90                54                  107                118     522         55            4          160                3897                 525                   4                  74            160            5681.88               5681.88               1.061   0.0013       40.02         0.274       0.00060                0.311              0.00066                0.274              0.00058         1823.10   3148010     6664  83280549  
   NEGATED  far-fetched           1964      257.95                61                  121                136     543         57            5          171                3899                 549                   5                  79            171            5050.23               5050.23               1.013   0.0012       38.50         0.250       0.00056                0.288              0.00062                0.250              0.00054         1706.05   3148010     6824  83280549  
   NEGATED  dissimilar            2524      331.70                47                   93                137     430         47            6          140                3900                 437                   6                  67            140            6487.41               6487.41               1.012   0.0016       43.64         0.250       0.00072                0.288              0.00080                0.250              0.00070         2192.30   3148010     8775  83280549  
   NEGATED  cut                    385       58.51               234                  467                187    1838        148            7          612                3901                1838                   7                 216            612             875.17                875.17               0.926   0.0002       16.64         0.211       0.00011                0.249              0.00012                0.211              0.00010          326.49   3148010     1548  83280549  
   NEGATED  binding                683      106.10               165                  329                193    1245        103            8          414                3902                1244                   8                 157            414            1522.98               1522.98               0.913   0.0004       22.07         0.206       0.00019                0.243              0.00022                0.206              0.00018          576.90   3148010     2807  83280549  
   NEGATED  hasty                  588       94.58               187                  373                208    1375        115            9          466                3903                1379                   9                 173            466            1271.02               1271.02               0.894   0.0004       20.35         0.197       0.00016                0.235              0.00019                0.197              0.00016          493.42   3148010     2502  83280549  
   NEGATED  flashy                1611      262.22                86                  171                212     642         65           10          210                3904                 645                  10                  96            210            3445.38               3445.38               0.887   0.0010       33.60         0.194       0.00045                0.232              0.00051                0.194              0.00043         1348.78   3148010     6937  83280549  
   NEGATED  distant               8180     1451.90                18                   35                243     134         17           11           45                3905                 137                  11                  30             45           16149.00              16149.00               0.839   0.0051       74.39         0.175       0.00222                0.213              0.00260                0.175              0.00214         6728.10   3148010    38410  83280549  
   NEGATED  bad                 105134    20963.27                 1                    1                304       2          2           12            2                3906                   3                  12                   2              2          187118.93             187118.93               0.787   0.0568      259.59         0.153       0.02779                0.190              0.03340                0.152              0.02674        84170.73   3148010   554583  83280549  
   NEGATED  forthcoming           2016      424.19                88                  175                339     534         62           13          182                3907                 534                  13                  84            182            3348.96               3348.96               0.747   0.0013       35.45         0.142       0.00053                0.180              0.00064                0.142              0.00051         1591.81   3148010    11222  83280549  
   NEGATED  unsightly              273       58.70               383                  764                354    2275        199           14          831                3908                2274                  14                 279            831             442.93                442.93               0.735   0.0002       12.97         0.138       0.00007                0.176              0.00009                0.138              0.00007          214.30   3148010     1553  83280549  
   NEGATED  enthused               437       94.54               275                  549                356    1677        153           15          591                3909                1680                  15                 210            591             704.38                704.38               0.732   0.0003       16.38         0.137       0.00011                0.175              0.00014                0.137              0.00011          342.46   3148010     2501  83280549  
   NEGATED  altruistic             490      108.30               257                  513                366    1557        142           16          556                3910                1557                  16                 196            556             771.45                771.45               0.721   0.0003       17.24         0.133       0.00013                0.171              0.00016                0.133              0.00012          381.70   3148010     2865  83280549  
   NEGATED  fond                  6667     1495.41                28                   55                375     172         26           17           58                3911                 173                  17                  35             58           10333.71              10333.71               0.713   0.0042       63.34         0.131       0.00171                0.169              0.00212                0.131              0.00164         5171.59   3148010    39561  83280549  
   NEGATED  thrilled              4804     1104.22                41                   81                396     240         34           18           88                3912                 242                  18                  49             88            7241.62               7241.62               0.700   0.0030       53.38         0.127       0.00122                0.164              0.00153                0.127              0.00118         3699.78   3148010    29212  83280549  
   NEGATED  keen                  9131     2099.53                21                   41                395     116         18           19           42                3913                 120                  19                  27             42           13766.44              13766.44               0.701   0.0057       73.58         0.127       0.00232                0.164              0.00290                0.127              0.00223         7031.47   3148010    55543  83280549  
   NEGATED  indicative            2071      480.25                94                  187                403     524         63           20          183                3914                 527                  20                  85            183            3089.40               3089.40               0.696   0.0013       34.96         0.125       0.00053                0.163              0.00066                0.125              0.00051         1590.75   3148010    12705  83280549  
   NEGATED  late                 26301     6141.72                 6                   11                405      29          6           21           11                3915                  30                  21                   7             11           39044.92              39044.92               0.695   0.0159      124.31         0.124       0.00666                0.162              0.00835                0.124              0.00640        20159.28   3148010   162479  83280549  
   NEGATED  fancy                 1905      461.31               103                  205                440     554         67           22          197                3916                 562                  22                  90            197            2701.76               2701.76               0.673   0.0012       33.08         0.118       0.00048                0.156              0.00061                0.118              0.00046         1443.69   3148010    12204  83280549  
   NEGATED  quantifiable           243       58.89               467                  930                438    2441        223           23          918                3917                2440                  23                 305            918             344.22                344.22               0.673   0.0002       11.81         0.118       0.00006                0.156              0.00008                0.118              0.00006          184.11   3148010     1558  83280549  
   NEGATED  greener                523      127.42               269                  537                447    1495        141           24          547                3918                1496                  24                 192            547             736.25                736.25               0.670   0.0003       17.30         0.117       0.00013                0.155              0.00017                0.117              0.00013          395.58   3148010     3371  83280549  
   NEGATED  sure                128741    31903.03                 2                    3                434       1          1           25            1                3919                   2                  25                   1              1          180732.84             180732.84               0.675   0.0645      269.89         0.116       0.03197                0.153              0.04090                0.115              0.03076        96837.97   3148010   843994  83280549  
   NEGATED  fussy                  779      193.35               209                  417                461    1129        108           26          408                3920                1131                  26                 154            408            1072.55               1072.55               0.661   0.0005       20.98         0.115       0.00019                0.152              0.00025                0.114              0.00019          585.65   3148010     5115  83280549  
   NEGATED  exclusive             6191     1549.69                34                   67                467     187         30           27           68                3921                 187                  27                  39             68            8442.95               8442.95               0.657   0.0039       58.99         0.113       0.00153                0.151              0.00197                0.113              0.00147         4641.31   3148010    40997  83280549  
   NEGATED  clear                72836    18493.72                 3                    5                468       9          3           28            6                3922                   8                  28                   5              6           98515.18              98515.18               0.656   0.0400      201.36         0.112       0.01794                0.149              0.02314                0.111              0.01726        54342.28   3148010   489251  83280549  
   NEGATED  nostalgia              163       41.88               659                 1297                493    3127        278           29         1207                3923                3128                  29                 396           1207             215.08                215.08               0.644   0.0001        9.49         0.109       0.00004                0.147              0.00005                0.109              0.00004          121.12   3148010     1108  83280549  
   NEGATED  glamorous             2497      658.59                91                  181                520     440         59           30          159                3924                 442                  30                  73            159            3189.42               3189.42               0.630   0.0016       36.79         0.106       0.00061                0.143              0.00079                0.106              0.00058         1838.41   3148010    17423  83280549  
   NEGATED  blameless              197       52.16               585                 1159                524    2748        258           31         1073                3925                2748                  31                 352           1073             250.29                250.29               0.628   0.0001       10.32         0.105       0.00005                0.143              0.00006                0.105              0.00005          144.84   3148010     1380  83280549  
   NEGATED  showy                  357       94.99               380                  758                526    1926        187           32          724                3926                1926                  32                 252            724             450.78                450.78               0.625   0.0002       13.87         0.104       0.00009                0.142              0.00011                0.104              0.00008          262.01   3148010     2513  83280549  
   NEGATED  baggy                  196       52.54               594                 1174                532    2756        261           33         1079                3927                2756                  33                 357           1079             245.13                245.13               0.622   0.0001       10.25         0.103       0.00005                0.141              0.00006                0.103              0.00005          143.46   3148010     1390  83280549  
   NEGATED  appetizing             503      135.70               302                  603                545    1535        154           34          567                3928                1537                  34                 200            567             623.95                623.95               0.618   0.0003       16.38         0.102       0.00012                0.140              0.00016                0.102              0.00012          367.30   3148010     3590  83280549  
