l1,l2,f,E11,r_log_likelihood,r_log_likelihood_tt,r_odds_ratio_disc,r_Dice,r_t_score,r_p_joint,r_p1_given2,r_p2_given1,r_p1_given2_simple,r_p2_given1_simple,r_p1_given2_margin,r_p2_given1_margin,r_expect_diff,am_log_likelihood,am_log_likelihood_tt,am_odds_ratio_disc,am_Dice,am_t_score,am_p_joint,am_p1_given2,am_p2_given1,am_p1_given2_simple,am_p2_given1_simple,am_p1_given2_margin,am_p2_given1_margin,am_expect_diff,f1,f2,N
COMPLEMENT,evolving,3141,3022.13232,602,1160,1,3647,1249,2183,183,1224,1,3647,183,1775,1224,242.355243,242.355243,2.3929344483,7.8392047e-05,2.1209470,3.7714172e-05,0.0378453231,3.9197560e-05,1.0000000000,3.9197560e-05,0.0378438958,1.4833884e-06,118.867677,80132539,3141,83284343
COMPLEMENT,earliest,2199,2115.78127,767,1460,2,4423,1470,2695,184,1565,1,4423,183,2034,1565,169.670839,169.670839,2.2381162450,5.4882565e-05,1.7746326,2.6403522e-05,0.0378448951,2.7442036e-05,1.0000000000,2.7442036e-05,0.0378438958,1.0385135e-06,83.218727,80132539,2199,83284343
COMPLEMENT,northerly,1890,1818.47504,854,1603,3,4796,1557,2946,185,1706,1,4796,183,2147,1706,145.828685,145.828685,2.1723672857,4.7170736e-05,1.6452305,2.2693341e-05,0.0378447546,2.3585924e-05,1.0000000000,2.3585924e-05,0.0378438958,8.9258326e-07,71.524963,80132539,1890,83284343
COMPLEMENT,southerly,1426,1372.03460,1033,1913,4,5494,1750,3396,186,2014,1,5494,183,2408,2014,110.027045,110.027045,2.0500598652,3.5590402e-05,1.4290769,1.7122066e-05,0.0378445438,1.7795517e-05,1.0000000000,1.7795517e-05,0.0378438958,6.7345171e-07,53.965395,80132539,1426,83284343
COMPLEMENT,chopped,1293,1244.06784,1100,2025,5,5771,1826,3566,187,2118,1,5771,183,2500,2118,99.764974,99.764974,2.0075538014,3.2271014e-05,1.3608025,1.5525127e-05,0.0378444834,1.6135767e-05,1.0000000000,1.6135767e-05,0.0378438958,6.1064030e-07,48.932157,80132539,1293,83284343
COMPLEMENT,away,1291,1242.14353,1102,2028,6,5777,1827,3573,188,2120,1,5777,183,2502,2120,99.610657,99.610657,2.0068817680,3.2221098e-05,1.3597497,1.5501113e-05,0.0378444825,1.6110809e-05,1.0000000000,1.6110809e-05,0.0378438958,6.0969576e-07,48.856470,80132539,1291,83284343
COMPLEMENT,marrow,1168,1123.79833,1165,2124,7,5965,1933,3766,189,2246,1,5965,183,2607,2246,90.120186,90.120186,1.9634154076,2.9151278e-05,1.2933536,1.4024245e-05,0.0378444266,1.4575852e-05,1.0000000000,1.4575852e-05,0.0378438958,5.5160701e-07,44.201670,80132539,1168,83284343
COMPLEMENT,own,97728,94070.96446,43,85,8,296,228,161,195,89,10,301,195,355,89,7075.724594,7075.724594,1.9468063958,2.4361865e-03,11.6982171,1.1734258e-03,0.0374480545,1.2059365e-03,0.9995601968,1.2195795e-03,0.0374040926,4.5637335e-05,3657.035538,80132539,97771,83284343
COMPLEMENT,worldwide,963,926.55633,1300,2324,9,6261,2119,4108,190,2490,1,6261,183,2809,2490,74.302766,74.302766,1.8796372988,2.4034891e-05,1.1743809,1.1562798e-05,0.0378443334,1.2017590e-05,1.0000000000,1.2017590e-05,0.0378438958,4.5479242e-07,36.443672,80132539,963,83284343
COMPLEMENT,least,120572,116074.51241,33,65,10,241,200,130,196,73,11,246,196,315,73,8601.584919,8601.584919,1.8409526458,3.0047906e-03,12.9522954,1.4477151e-03,0.0373343153,1.4830822e-03,0.9994363395,1.5046572e-03,0.0372802353,5.6125609e-05,4497.487592,80132539,120640,83284343
COMPLEMENT,later,2626,2527.58409,705,1348,11,4016,1363,2431,194,1396,9,4016,194,1898,1396,191.419605,191.419605,1.8380506056,6.5539266e-05,1.9205162,3.1530536e-05,0.0374644152,3.2453429e-05,0.9996193376,3.2770708e-05,0.0374632335,1.2281642e-06,98.415914,80132539,2627,83284343
