l1,l2,f,E11,r_log_likelihood,r_log_likelihood_tt,r_odds_ratio_disc,r_Dice,r_t_score,r_p_joint,r_p1_given2,r_p2_given1,r_p1_given2_simple,r_p2_given1_simple,r_p1_given2_margin,r_p2_given1_margin,r_expect_diff,am_log_likelihood,am_log_likelihood_tt,am_odds_ratio_disc,am_Dice,am_t_score,am_p_joint,am_p1_given2,am_p2_given1,am_p1_given2_simple,am_p2_given1_simple,am_p1_given2_margin,am_p2_given1_margin,am_expect_diff,f1,f2,N
COMPLEMENT,albeit,15764,15170.3153,149,288,1,388,238,274,70,214,5,389,68,285,214,1178.6653,1178.66534,2.248447553,0.0003933708,4.7284919,0.00018927927,0.0376607548,0.0001957722,0.9998097292,0.0001967241,0.0376536250,0.0000074088,593.68471,80132539,15767,83284343
COMPLEMENT,yearly,2218,2134.0622,406,689,2,1036,523,727,66,531,1,1036,64,591,531,171.1369,171.13686,2.241851815,0.0000553568,1.7822828,0.00002663166,0.0378449037,0.0000276791,1.0000000000,0.0000276791,0.0378438958,0.0000010475,83.93776,80132539,2218,83284343
COMPLEMENT,preferably,4110,3955.4237,316,563,3,781,409,548,72,412,6,782,69,483,412,305.0297,305.02970,2.032575896,0.0001025748,2.4111369,0.00004934901,0.0376025021,0.0000509727,0.9997567502,0.0000512900,0.0376006460,0.0000019290,154.57626,80132539,4111,83284343
COMPLEMENT,sparsely,1281,1232.5220,519,842,4,1343,641,946,67,693,1,1343,64,739,693,98.8391,98.83907,2.003505914,0.0000319715,1.3544732,0.00001538104,0.0378444779,0.0000159860,1.0000000000,0.0000159860,0.0378438958,0.0000006050,48.47803,80132539,1281,83284343
COMPLEMENT,increasingly,390385,375763.3314,28,55,5,54,61,32,71,34,8,58,71,75,34,28441.6431,28441.64308,1.988313946,0.0096962260,23.4018599,0.00468737563,0.0376157213,0.0048216113,0.9995954351,0.0048717413,0.0374393309,0.0001824686,14621.66861,80132539,390543,83284343
COMPLEMENT,alternately,3588,3453.1783,337,594,6,831,436,578,73,436,7,832,70,507,436,265.0234,265.02341,1.973591365,0.0000895476,2.2507835,0.00004308133,0.0375668856,0.0000444585,0.9997213709,0.0000447758,0.0375652667,0.0000016825,134.82174,80132539,3589,83284343
NEGATED,necessarily,41042,2046.6357,7,13,7,32,11,153,1,18,998,32,1,11,18,210533.4249,210533.42491,1.908844246,0.0256041623,192.4858121,0.00049279371,0.7215233171,0.0128590309,0.7588986890,0.0130217488,0.7210547932,0.0123723951,38995.36427,3151804,54081,83284343
COMPLEMENT,legendarily,981,943.8751,581,924,8,1436,704,1048,68,765,1,1436,64,810,765,75.6916,75.69161,1.887675981,0.0000244841,1.1853056,0.00001177892,0.0378443416,0.0000122422,1.0000000000,0.0000122422,0.0378438958,0.0000004633,37.12486,80132539,981,83284343
COMPLEMENT,second-most,869,836.1137,619,971,9,1489,732,1112,69,796,1,1489,64,838,796,67.0499,67.04991,1.835054657,0.0000216888,1.1155929,0.00001043413,0.0378442907,0.0000108445,1.0000000000,0.0000108445,0.0378438958,0.0000004104,32.88635,80132539,869,83284343
COMPLEMENT,presumably,7186,6917.9024,247,451,10,596,328,413,77,321,10,598,74,396,321,512.7182,512.71822,1.798093678,0.0001793368,3.1626369,0.00008628272,0.0372907869,0.0000884073,0.9994436718,0.0000896764,0.0372875676,0.0000033457,268.09761,80132539,7190,83284343
NEGATED,exactly,42021,2250.7279,9,17,11,30,10,150,2,16,1002,31,2,10,16,205058.8282,205058.82820,1.792573172,0.0261708890,194.0105608,0.00050454862,0.6691780055,0.0131145629,0.7065440360,0.0133323646,0.6687001402,0.0126182568,39770.27214,3151804,59474,83284343
COMPLEMENT,unseasonably,2038,1961.8363,442,737,12,1078,546,757,74,554,9,1078,72,613,554,146.5568,146.55680,1.727980729,0.0000508644,1.6871200,0.00002447039,0.0373543739,0.0000251156,0.9995095635,0.0000254329,0.0373534593,0.0000009505,76.16370,80132539,2039,83284343
NEGATED,that,165327,9442.8467,1,1,13,7,2,57,3,7,1003,11,3,3,7,778276.8427,778276.84268,1.721254489,0.0972132919,383.3805497,0.00198509100,0.6266109374,0.0514040369,0.6625774985,0.0524547212,0.6247336027,0.0494587079,155884.15327,3151804,249521,83284343
COMPLEMENT,relatively,611608,588945.3729,23,45,14,40,51,19,75,27,15,40,79,60,27,42509.4500,42509.45000,1.683346082,0.0151491896,28.9783513,0.00734361319,0.0372979080,0.0074731812,0.9991798860,0.0076324550,0.0370237818,0.0002828143,22662.62707,80132539,612110,83284343
