l1,l2,f,E11,r_log_likelihood,r_log_likelihood_tt,r_odds_ratio_disc,r_Dice,r_t_score,r_p1_given2,r_p2_given1,r_p1_given2_simple,r_p2_given1_simple,r_p1_given2_margin,r_p2_given1_margin,r_expect_diff,am_log_likelihood,am_log_likelihood_tt,am_odds_ratio_disc,am_Dice,am_t_score,am_p1_given2,am_p2_given1,am_p1_given2_simple,am_p2_given1_simple,am_p1_given2_margin,am_p2_given1_margin,am_expect_diff,f1,f2,N
NEGATIVE,early,5218,837.4100710,2,3,5,7,3,1,3,1630,8,1,3,3,16799.341132,16799.3411322,1.7652970839,0.03583938899,60.64298399,0.7636849527,0.01796156207,0.9070050408,0.01828086955,0.7614444514,0.01534706651,4380.5899290,285435,5753,1960936
NEGATIVE,over,37,6.4046659,219,417,19,1861,206,2,663,2439,1861,2,326,663,106.258205,106.2582052,1.4676613247,0.00025921346,5.02984194,0.6953641042,0.00012544886,0.8409090909,0.00012962671,0.6953485015,0.00010718845,30.5953341,285435,44,1960936
NEGATIVE,late,11139,2036.5382068,1,1,32,2,1,3,1,2821,2,3,1,1,30025.747968,30025.7479680,1.3768247237,0.07440235651,86.24536465,0.6552693351,0.03732246915,0.7961546709,0.03902464659,0.6505940814,0.03188978854,9102.4617932,285435,13991,1960936
NEGATIVE,risk-free,20,3.9301359,423,765,66,2722,343,4,1050,3069,2722,4,529,1050,48.386751,48.3867510,1.2053580497,0.00014012373,3.59333085,0.5951883464,0.00006589064,0.7407407407,0.00007006849,0.5951801513,0.00005629956,16.0698641,285435,27,1960936
NEGATIVE,shabby,94,18.6317554,109,209,65,980,100,5,333,3089,980,5,158,333,224.839157,224.8391571,1.2063837815,0.00065834860,7.77364087,0.5888528479,0.00030902947,0.7343750000,0.00032932191,0.5888144106,0.00026404696,75.3682446,285435,128,1960936
NEGATIVE,demoralizing,70,14.4104984,153,294,89,1206,134,6,421,3157,1206,6,206,421,159.198195,159.1981953,1.1471029382,0.00049030939,6.64421627,0.5615384675,0.00022793147,0.7070707071,0.00024523972,0.5615101176,0.00019475363,55.5895016,285435,99,1960936
NEGATIVE,alone,566,119.9419257,21,41,100,181,24,7,57,3206,181,7,32,57,1239.199277,1239.1992766,1.1101713550,0.00395446082,18.74921933,0.5415601821,0.00182895453,0.6868932039,0.00198293832,0.5413326145,0.00156273083,446.0580743,285435,824,1960936
NEGATIVE,fancy,780,172.3437379,15,29,128,137,20,8,40,3249,138,8,24,40,1615.121597,1615.1215971,1.0551748924,0.00544276548,21.75758438,0.5135332623,0.00249154928,0.6587837838,0.00273267119,0.5132231944,0.00212887790,607.6562621,285435,1184,1960936
NEGATIVE,opportune,27,5.9679842,374,684,130,2263,291,9,881,3250,2263,9,439,881,55.829166,55.8291658,1.0466389806,0.00018915776,4.04761333,0.5129867217,0.00008623675,0.6585365854,0.00009459246,0.5129759959,0.00007368408,21.0320158,285435,41,1960936
NEGATIVE,foolproof,29,6.6957871,366,672,169,2166,280,10,843,3279,2166,10,416,843,56.523418,56.5234182,0.9954605221,0.00020316588,4.14178835,0.4848855677,0.00009145309,0.6304347826,0.00010159931,0.4848741932,0.00007814113,22.3042129,285435,46,1960936
NEGATIVE,aggravating,112,26.7831485,118,227,200,864,90,11,299,3296,864,11,143,299,208.054165,208.0541651,0.9596031311,0.00078426155,8.05223560,0.4631785241,0.00034941133,0.6086956522,0.00039238355,0.4631350627,0.00029855081,85.2168515,285435,184,1960936
NEGATIVE,effectual,21,5.0946206,505,902,219,2643,365,12,1059,3300,2643,12,533,1059,38.235732,38.2357318,0.9397356169,0.00014712579,3.47083833,0.4544475218,0.00006521621,0.6000000000,0.00007357192,0.4544394106,0.00005572330,15.9053794,285435,35,1960936
NEGATIVE,pressing,28,6.8413477,405,736,226,2219,296,13,874,3305,2219,13,437,874,50.478983,50.4789830,0.9334847633,0.00019615948,3.99860943,0.4501948818,0.00008675600,0.5957446809,0.00009809589,0.4501840914,0.00007412774,21.1586523,285435,47,1960936
