l1,l2,f,E11,r_log_likelihood,r_log_likelihood_tt,r_odds_ratio_disc,r_Dice,r_t_score,r_p1_given2,r_p2_given1,r_p1_given2_simple,r_p2_given1_simple,r_p1_given2_margin,r_p2_given1_margin,r_expect_diff,am_log_likelihood,am_log_likelihood_tt,am_odds_ratio_disc,am_Dice,am_t_score,am_p1_given2,am_p2_given1,am_p1_given2_simple,am_p2_given1_simple,am_p1_given2_margin,am_p2_given1_margin,am_expect_diff,f1,f2,N
NEGATIVE,ever_simple,207,30.1310420,76,133,1,305,86,1,180,1,305,1,105,180,797.9737252,797.9737252,3.3869999997,1.4493667e-03,12.29324238,0.8545296163,7.2520889e-04,1.0000000000,7.2520889e-04,0.8544394106,6.1964706e-04,176.8689580,285435,207,1960936
NEGATIVE,ever_enough,147,21.3974066,112,187,2,465,132,2,277,1,465,1,156,277,566.6505784,566.6505784,3.2386825714,1.0294766e-03,10.35952730,0.8545034677,5.1500342e-04,1.0000000000,5.1500342e-04,0.8544394106,4.4003922e-04,125.6025934,285435,147,1960936
NEGATIVE,ever_certain,143,20.8151643,118,194,3,481,133,3,287,1,481,1,162,287,551.2298021,551.2298021,3.2267363630,1.0014777e-03,10.21760926,0.8545017246,5.0098972e-04,1.0000000000,5.0098972e-04,0.8544394106,4.2806536e-04,122.1848357,285435,143,1960936
NEGATIVE,entirely_certain,62,9.0247565,269,424,6,1218,324,4,697,1,1219,1,392,697,238.9797021,238.9797021,2.8656411922,4.3433031e-04,6.72786265,0.8544664267,2.1721233e-04,1.0000000000,2.1721233e-04,0.8544394106,1.8559477e-04,52.9752435,285435,62,1960936
NEGATIVE,ever_black,56,8.1513930,307,475,7,1358,363,5,803,1,1358,1,451,803,215.8516282,215.8516282,2.8218004917,3.9230659e-04,6.39403906,0.8544638122,1.9619178e-04,1.0000000000,1.9619178e-04,0.8544394106,1.6763399e-04,47.8486070,285435,56,1960936
NEGATIVE,ever_happy,48,6.9869083,360,556,10,1561,415,6,940,1,1561,1,526,940,185.0145316,185.0145316,2.7554816082,3.3627221e-04,5.91972988,0.8544603261,1.6816438e-04,1.0000000000,1.6816438e-04,0.8544394106,1.4368627e-04,41.0130917,285435,48,1960936
NEGATIVE,ever_sick,39,5.6768630,458,690,12,1936,508,7,1153,1,1936,1,637,1153,150.3232561,150.3232561,2.6663232695,2.7322979e-04,5.33597241,0.8544564044,1.3663356e-04,1.0000000000,1.3663356e-04,0.8544394106,1.1674510e-04,33.3231370,285435,39,1960936
NEGATIVE,there_much,39,5.6768630,458,690,12,1936,508,7,1153,1,1936,1,637,1153,150.3232561,150.3232561,2.6663232695,2.7322979e-04,5.33597241,0.8544564044,1.3663356e-04,1.0000000000,1.3663356e-04,0.8544394106,1.1674510e-04,33.3231370,285435,39,1960936
NEGATIVE,ever_alone,38,5.5313024,474,712,14,1998,523,9,1196,1,1998,1,665,1196,146.4686999,146.4686999,2.6551853816,2.6622483e-04,5.26711827,0.8544559686,1.3313013e-04,1.0000000000,1.3313013e-04,0.8544394106,1.1375163e-04,32.4686976,285435,38,1960936
NEGATIVE,ever_dull,37,5.3857418,482,722,15,2054,544,10,1226,1,2054,1,680,1226,142.6141497,142.6141497,2.6437543982,2.5921982e-04,5.19735203,0.8544555329,1.2962671e-04,1.0000000000,1.2962671e-04,0.8544394106,1.1075817e-04,31.6142582,285435,37,1960936
